sep=;
"No.";"Time [s]";"I [cd]";"Irel [%]"
1;0;61515.2;0.00
2;10;61525.2;0.02
3;20;61515.2;0.00
4;30;61535.2;0.03
5;40;61505.2;-0.02
6;50;61495.2;-0.03
7;60;61485.2;-0.05
8;70;61495.2;-0.03
9;80;61495.2;-0.03
10;90;61485.2;-0.05
11;100;61475.2;-0.07
12;110;61465.3;-0.08
13;120;61455.3;-0.10
14;130;61445.3;-0.12
15;140.016;61465.3;-0.08
16;150.016;61465.3;-0.08
17;160.016;61435.3;-0.13
18;170.016;61435.3;-0.13
19;180.016;61405.3;-0.18
20;190.016;61405.3;-0.18
21;200.016;61395.3;-0.20
22;210.016;61365.3;-0.25
23;220.016;61355.3;-0.26
24;230.016;61355.3;-0.26
25;240.016;61345.3;-0.28
26;250.031;61325.3;-0.31
27;260.031;61335.3;-0.30
28;270.031;61315.3;-0.33
29;280.031;61285.3;-0.38
30;290.031;61265.3;-0.41
31;300.031;61265.3;-0.41
32;310.031;61235.3;-0.46
33;320.031;61235.3;-0.46
34;330.031;61215.3;-0.50
35;340.031;61205.3;-0.51
36;350.031;61165.3;-0.58
37;360.031;61185.3;-0.55
38;370.047;61155.3;-0.59
39;380.047;61145.3;-0.61
40;390.047;61145.3;-0.61
41;400.047;61125.3;-0.64
42;410.047;61115.3;-0.66
43;420.047;61105.3;-0.68
44;430.047;61095.3;-0.69
45;440.047;61065.3;-0.74
46;450.047;61065.3;-0.74
47;460.047;61045.4;-0.78
48;470.047;61045.4;-0.78
49;480.047;61005.4;-0.84
50;490.047;60995.4;-0.86
51;500.047;60995.4;-0.86
52;510.047;60985.4;-0.88
53;520.047;60965.4;-0.91
54;530.063;60945.4;-0.94
55;540.063;60945.4;-0.94
56;550.063;60905.4;-1.01
57;560.063;60905.4;-1.01
58;570.063;60895.4;-1.02
59;580.063;60875.4;-1.06
60;590.063;60875.4;-1.06
61;600.063;60855.4;-1.09
62;610.063;60845.4;-1.11
63;620.063;60835.4;-1.12
64;630.063;60835.4;-1.12
65;640.063;60815.4;-1.16
66;650.078;60805.4;-1.17
67;660.078;60795.4;-1.19
68;670.078;60785.4;-1.21
69;680.078;60775.4;-1.22
70;690.094;60755.4;-1.26
71;700.094;60745.4;-1.27
72;710.094;60725.4;-1.31
73;720.094;60735.4;-1.29
74;730.094;60735.4;-1.29
75;740.094;60715.4;-1.32
76;750.094;60695.4;-1.35
77;760.094;60705.4;-1.34
78;770.094;60675.4;-1.39
79;780.094;60685.4;-1.37
80;790.094;60655.4;-1.42
81;800.094;60635.5;-1.45
82;810.094;60635.5;-1.45
83;820.094;60605.5;-1.50
84;830.094;60635.5;-1.45
85;840.094;60625.5;-1.47
86;850.094;60615.5;-1.49
87;860.094;60595.5;-1.52
88;870.094;60575.5;-1.55
89;880.094;60565.5;-1.57
90;890.094;60565.5;-1.57
91;900.094;60545.5;-1.60
92;910.094;60545.5;-1.60
93;920.109;60535.5;-1.62
94;930.125;60525.5;-1.64
95;940.125;60515.5;-1.65
96;950.125;60505.5;-1.67
97;960.125;60505.5;-1.67
