sep=;
"Name:";"OV1 DOM HL LED LOW (OPT ASSY-LED) LH #1 2025-03-31"
"Number:";""
"Report:";"JO WON JIN"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(LMT #01 GO H-1300)"
"Voltage:";"13.2127 V";"Date:";"2025-03-31 ¿ÀÈÄ 9:30:00"
"Current:";"3.02555 A";"File:";"OV1 DOM HL LED LOW (OPT ASSY-LED) LH #1 2025-03-31"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"B50L";"-";"350";"252.539";"-3.43";"0.57";"OK";"252.539";"-3.43";"0.57";"252.539";"-3.43";"0.57"
"BR";"-";"1750";"325.322";"2.5";"1";"OK";"325.322";"2.5";"1";"325.322";"2.5";"1"
"75R";"10100";"-";"21374.870";"1.15";"-0.57";"OK";"21374.870";"1.15";"-0.57";"21374.870";"1.15";"-0.57"
"75L";"-";"10600";"1901.544";"-3.43";"-0.57";"OK";"1901.544";"-3.43";"-0.57";"1901.544";"-3.43";"-0.57"
"50L";"-";"18500";"7830.121";"-3.43";"-0.86";"OK";"7830.121";"-3.43";"-0.86";"7830.121";"-3.43";"-0.86"
"50R";"10100";"-";"28563.140";"1.72";"-0.86";"OK";"28563.140";"1.72";"-0.86";"28563.140";"1.72";"-0.86"
"50V";"5100";"-";"18225.630";"0";"-0.86";"OK";"18225.630";"0";"-0.86";"18225.630";"0";"-0.86"
"25L";"1700";"-";"11737.180";"-9";"-1.72";"OK";"11737.180";"-9";"-1.72";"11737.180";"-9";"-1.72"
"25R";"1700";"-";"12536.990";"9";"-1.72";"OK";"12536.990";"9";"-1.72";"12536.990";"9";"-1.72"
"1";"-";"625";"156.163";"-8";"4";"OK";"156.163";"-8";"4";"156.163";"-8";"4"
"2";"-";"625";"180.857";"0";"4";"OK";"180.857";"0";"4";"180.857";"0";"4"
"3";"-";"625";"141.766";"8";"4";"OK";"141.766";"8";"4";"141.766";"8";"4"
"4";"-";"625";"220.347";"-4";"2";"OK";"220.347";"-4";"2";"220.347";"-4";"2"
"5";"-";"625";"224.546";"0";"2";"OK";"224.546";"0";"2";"224.546";"0";"2"
"6";"-";"625";"214.549";"4";"2";"OK";"214.549";"4";"2";"214.549";"4";"2"
"7";"65";"625";"229.945";"-8";"0";"OK";"229.945";"-8";"0";"229.945";"-8";"0"
"8";"125";"625";"259.138";"-4";"0";"OK";"259.138";"-4";"0";"259.138";"-4";"0"
"ZONE III";"-";"625";"(139.499) 337.268";"(8) 0";"(3.6) 0";"OK";"139.499";"8";"3.6";"337.268";"0";"0"
"ZONE IV";"2500";"-";"(6978.325) 31077.990";"(-5.15) 1.6";"(-0.86) -1.12";"OK";"6978.325";"-5.15";"-0.86";"31077.990";"1.6";"-1.12"
"ZONE I";"-";"2*50R";"(6107.802) 29150.420";"(9) 1.5";"(-5) -1.72";"OK";"6107.802";"9";"-5";"29150.420";"1.5";"-1.72"
