sep=;
"No.";"Time [s]";"I [cd]";"Irel [%]"
1;0;13026.9;8.56
2;10;13016.9;8.48
3;20;12996.9;8.30
4;30;12986.9;8.22
5;40;12976.9;8.13
6;50;12956.9;7.96
7;60.016;12946.9;7.88
8;70.016;12926.9;7.71
9;80.016;12916.9;7.62
10;90.016;12896.9;7.45
11;100.016;12886.9;7.36
12;110.016;12876.9;7.28
13;120.016;12856.9;7.11
14;130.016;12836.9;6.93
15;140.016;12836.9;6.93
16;150.016;12826.9;6.85
17;160.016;12816.9;6.76
18;170.016;12796.9;6.59
19;180.016;12786.9;6.51
20;190.016;12776.9;6.42
21;200.016;12756.9;6.25
22;210.016;12736.9;6.08
23;220.016;12736.9;6.08
24;230.016;12717.0;5.91
25;240.016;12707.0;5.82
26;250.016;12697.0;5.74
27;260.016;12677.0;5.57
28;270.016;12677.0;5.57
29;280.016;12657.0;5.39
30;290.016;12647.0;5.31
31;300.016;12627.0;5.14
32;310.016;12627.0;5.14
33;320.016;12617.0;5.05
34;330.016;12597.0;4.88
35;340.016;12587.0;4.79
36;350.016;12577.0;4.71
37;360.016;12567.0;4.62
38;370.016;12557.0;4.54
39;380.016;12547.0;4.45
40;390.016;12537.0;4.37
41;400.016;12527.0;4.28
42;410.016;12507.0;4.11
43;420.016;12507.0;4.11
44;430.016;12497.0;4.02
45;440.016;12487.0;3.94
46;450.016;12467.0;3.77
47;460.016;12457.0;3.68
48;470.016;12447.0;3.60
49;480.016;12447.0;3.60
50;490.016;12427.0;3.42
51;500.016;12417.0;3.34
52;510.016;12407.0;3.25
53;520.016;12397.0;3.17
54;530.016;12387.0;3.08
55;540.016;12387.0;3.08
56;550.016;12377.0;3.00
57;560.016;12367.0;2.91
58;570.016;12357.0;2.83
59;580.016;12347.0;2.74
60;590.016;12337.0;2.65
61;600.016;12327.0;2.57
62;610.016;12327.0;2.57
63;620.031;12317.0;2.48
64;630.031;12307.1;2.40
65;640.031;12287.1;2.23
66;650.031;12287.1;2.23
67;660.031;12277.1;2.14
68;670.031;12267.1;2.05
69;680.031;12267.1;2.05
70;690.031;12257.1;1.97
71;700.031;12247.1;1.88
72;710.031;12247.1;1.88
73;720.031;12227.1;1.71
74;730.031;12227.1;1.71
75;740.031;12217.1;1.63
76;750.031;12207.1;1.54
77;760.031;12197.1;1.46
78;770.031;12197.1;1.46
79;780.031;12187.1;1.37
80;790.031;12177.1;1.28
81;800.031;12177.1;1.28
82;810.031;12167.1;1.20
83;820.031;12157.1;1.11
84;830.031;12157.1;1.11
85;840.031;12137.1;0.94
86;850.031;12137.1;0.94
87;860.031;12127.1;0.86
88;870.031;12117.1;0.77
89;880.031;12117.1;0.77
90;890.031;12107.1;0.68
91;900.031;12107.1;0.68
92;910.031;12087.1;0.51
93;920.031;12087.1;0.51
94;930.031;12097.1;0.60
95;940.047;12077.1;0.43
96;950.047;12077.1;0.43
97;960.047;12067.1;0.34
98;970.047;12057.1;0.26
99;980.047;12057.1;0.26
100;990.047;12057.1;0.26
101;1000.047;12047.1;0.17
102;1010.047;12047.1;0.17
103;1020.047;12037.1;0.09
104;1030.047;12027.1;0.00
105;1040.047;12017.1;-0.09
106;1050.047;12017.1;-0.09
107;1060.047;12007.1;-0.17
108;1070.047;11997.1;-0.26
109;1080.047;11997.1;-0.26
110;1090.047;11997.1;-0.26
111;1100.047;11997.1;-0.26
112;1110.047;11987.1;-0.34
113;1120.047;11977.1;-0.43
114;1130.047;11967.1;-0.51
115;1140.047;11967.1;-0.51
116;1150.062;11957.1;-0.60
117;1160.062;11957.1;-0.60
118;1170.062;11947.1;-0.68
119;1180.062;11957.1;-0.60
120;1190.062;11937.1;-0.77
121;1200.062;11947.1;-0.68
122;1210.062;11927.1;-0.86
123;1220.062;11927.1;-0.86
124;1230.062;11917.1;-0.94
125;1240.062;11927.1;-0.86
126;1250.062;11917.1;-0.94
127;1260.062;11907.1;-1.03
128;1270.062;11907.1;-1.03
129;1280.062;11897.1;-1.11
130;1290.062;11897.1;-1.11
131;1300.062;11887.2;-1.20
132;1310.062;11897.1;-1.11
133;1320.062;11887.2;-1.20
134;1330.062;11877.2;-1.28
135;1340.062;11877.2;-1.28
136;1350.062;11877.2;-1.28
137;1360.062;11867.2;-1.37
138;1370.062;11867.2;-1.37
139;1380.062;11857.2;-1.46
140;1390.062;11857.2;-1.46
141;1400.062;11857.2;-1.46
142;1410.062;11847.2;-1.54
143;1420.062;11847.2;-1.54
144;1430.062;11837.2;-1.63
145;1440.062;11837.2;-1.63
146;1450.062;11827.2;-1.71
147;1460.062;11837.2;-1.63
148;1470.062;11827.2;-1.71
149;1480.062;11827.2;-1.71
150;1490.062;11817.2;-1.80
151;1500.062;11807.2;-1.88
152;1510.062;11817.2;-1.80
153;1520.062;11807.2;-1.88
154;1530.062;11807.2;-1.88
155;1540.062;11797.2;-1.97
156;1550.062;11797.2;-1.97
157;1560.062;11797.2;-1.97
158;1570.062;11797.2;-1.97
159;1580.062;11787.2;-2.05
160;1590.062;11787.2;-2.05
161;1600.062;11787.2;-2.05
162;1610.062;11777.2;-2.14
163;1620.062;11777.2;-2.14
164;1630.078;11777.2;-2.14
165;1640.094;11767.2;-2.23
166;1650.094;11767.2;-2.23
167;1660.094;11767.2;-2.23
168;1670.094;11767.2;-2.23
169;1680.094;11757.2;-2.31
170;1690.094;11757.2;-2.31
171;1700.094;11757.2;-2.31
172;1710.109;11737.2;-2.48
173;1720.109;11747.2;-2.40
174;1730.109;11737.2;-2.48
175;1740.109;11737.2;-2.48
176;1750.109;11717.2;-2.65
177;1760.125;11737.2;-2.48
178;1770.125;11727.2;-2.57
179;1780.125;11727.2;-2.57
180;1790.125;11727.2;-2.57
181;1800.125;11717.2;-2.65
182;1810.125;11727.2;-2.57
183;1820.125;11717.2;-2.65
184;1830.125;11717.2;-2.65
185;1840.125;11707.2;-2.74
186;1850.141;11717.2;-2.65
187;1860.141;11707.2;-2.74
188;1870.141;11687.2;-2.91
189;1880.141;11707.2;-2.74
190;1890.141;11697.2;-2.83
191;1900.141;11697.2;-2.83
192;1910.141;11687.2;-2.91
193;1920.141;11697.2;-2.83
194;1930.156;11687.2;-2.91
195;1940.156;11687.2;-2.91
196;1950.156;11687.2;-2.91
197;1960.156;11677.2;-3.00
198;1970.156;11687.2;-2.91
199;1980.156;11677.2;-3.00
200;1990.156;11677.2;-3.00
