sep=;
"Name:";"OV1 DOM HL LED LOW (OPT ASSY-LED) LH #2 2025-04-02"
"Number:";""
"Report:";"JO WON JIN"
"Test no.:";""
"Lamp type:";"LED"
"Lamp No:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(LMT #01 GO H-1300)"
"Voltage:";"13.2129 V";"Date:";"2025-04-02 ¿ÀÈÄ 8:51:03"
"Current:";"2.88333 A";"File:";"OV1 DOM HL LED LOW (OPT ASSY-LED) LH #2 2025-04-02"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"B50L";"-";"350";"234.244";"-3.43";"0.57";"OK";"234.244";"-3.43";"0.57";"234.244";"-3.43";"0.57"
"BR";"-";"1750";"306.826";"2.5";"1";"OK";"306.826";"2.5";"1";"306.826";"2.5";"1"
"75R";"10100";"-";"24254.180";"1.15";"-0.57";"OK";"24254.180";"1.15";"-0.57";"24254.180";"1.15";"-0.57"
"75L";"-";"10600";"4618.891";"-3.43";"-0.57";"OK";"4618.891";"-3.43";"-0.57";"4618.891";"-3.43";"-0.57"
"50L";"-";"18500";"9987.603";"-3.43";"-0.86";"OK";"9987.603";"-3.43";"-0.86";"9987.603";"-3.43";"-0.86"
"50R";"10100";"-";"29972.800";"1.72";"-0.86";"OK";"29972.800";"1.72";"-0.86";"29972.800";"1.72";"-0.86"
"50V";"5100";"-";"21434.860";"0";"-0.86";"OK";"21434.860";"0";"-0.86";"21434.860";"0";"-0.86"
"25L";"1700";"-";"11407.260";"-9";"-1.72";"OK";"11407.260";"-9";"-1.72";"11407.260";"-9";"-1.72"
"25R";"1700";"-";"11657.200";"9";"-1.72";"OK";"11657.200";"9";"-1.72";"11657.200";"9";"-1.72"
"1";"-";"625";"146.965";"-8";"4";"OK";"146.965";"-8";"4";"146.965";"-8";"4"
"2";"-";"625";"173.958";"0";"4";"OK";"173.958";"0";"4";"173.958";"0";"4"
"3";"-";"625";"137.467";"8";"4";"OK";"137.467";"8";"4";"137.467";"8";"4"
"4";"-";"625";"202.551";"-4";"2";"OK";"202.551";"-4";"2";"202.551";"-4";"2"
"5";"-";"625";"213.649";"0";"2";"OK";"213.649";"0";"2";"213.649";"0";"2"
"6";"-";"625";"196.953";"4";"2";"OK";"196.953";"4";"2";"196.953";"4";"2"
"7";"65";"625";"250.240";"-8";"0";"OK";"250.240";"-8";"0";"250.240";"-8";"0"
"8";"125";"625";"272.535";"-4";"0";"OK";"272.535";"-4";"0";"272.535";"-4";"0"
"ZONE III";"-";"625";"(132.517) 349.916";"(8) 0";"(3.6) 0";"OK";"132.517";"8";"3.6";"349.916";"0";"0"
"ZONE IV";"2500";"-";"(8432.513) 30752.620";"(-5.15) 1.6";"(-0.86) -1.12";"OK";"8432.513";"-5.15";"-0.86";"30752.620";"1.6";"-1.12"
"ZONE I";"-";"2*50R";"(5792.052) 28263.220";"(9) 1.6";"(-5) -1.72";"OK";"5792.052";"9";"-5";"28263.220";"1.6";"-1.72"
