sep=;
"No.";"Time [s]";"I [cd]";"Irel [%]"
1;0;13816.7;2.52
2;10;13796.7;2.37
3;20;13796.7;2.37
4;30;13776.7;2.21
5;40.015;13766.7;2.14
6;50.015;13756.7;2.06
7;60.015;13746.7;1.98
8;70.015;13736.7;1.91
9;80.015;13726.7;1.83
10;90.015;13716.7;1.76
11;100.015;13696.7;1.60
12;110.015;13686.7;1.53
13;120.015;13676.7;1.45
14;130.015;13666.7;1.37
15;140.015;13656.7;1.30
16;150.015;13646.7;1.22
17;160.015;13636.7;1.15
18;170.015;13626.7;1.07
19;180.015;13616.7;0.99
20;190.015;13606.7;0.92
21;200.015;13596.7;0.84
22;210.015;13586.7;0.76
23;220.015;13576.7;0.69
24;230.015;13576.7;0.69
25;240.015;13556.8;0.53
26;250.015;13546.8;0.46
27;260.015;13546.8;0.46
28;270.015;13536.8;0.38
29;280.015;13526.8;0.31
30;290.015;13526.8;0.31
31;300.015;13516.8;0.23
32;310.015;13496.8;0.08
33;320.015;13496.8;0.08
34;330.015;13486.8;0.00
35;340.015;13476.8;-0.08
36;350.015;13466.8;-0.15
37;360.015;13466.8;-0.15
38;370.015;13466.8;-0.15
39;380.015;13446.8;-0.31
40;390.015;13446.8;-0.31
41;400.031;13436.8;-0.38
42;410.031;13436.8;-0.38
43;420.031;13426.8;-0.46
44;430.031;13416.8;-0.53
45;440.031;13416.8;-0.53
46;450.031;13406.8;-0.61
47;460.031;13396.8;-0.69
48;470.031;13396.8;-0.69
49;480.031;13386.8;-0.76
50;490.031;13376.8;-0.84
51;500.031;13376.8;-0.84
52;510.031;13366.8;-0.92
53;520.031;13366.8;-0.92
54;530.031;13356.8;-0.99
55;540.046;13346.8;-1.07
56;550.062;13346.8;-1.07
57;560.062;13336.8;-1.15
58;570.062;13336.8;-1.15
59;580.062;13336.8;-1.15
60;590.062;13316.8;-1.30
61;600.062;13316.8;-1.30
62;610.062;13316.8;-1.30
63;620.062;13316.8;-1.30
64;630.062;13306.8;-1.37
65;640.062;13306.8;-1.37
66;650.062;13306.8;-1.37
67;660.062;13296.8;-1.45
68;670.062;13286.8;-1.53
69;680.062;13286.8;-1.53
70;690.062;13286.8;-1.53
71;700.062;13276.8;-1.60
72;710.062;13276.8;-1.60
73;720.062;13276.8;-1.60
74;730.062;13276.8;-1.60
75;740.062;13256.8;-1.76
76;750.062;13256.8;-1.76
77;760.062;13266.8;-1.68
78;770.062;13256.8;-1.76
79;780.062;13256.8;-1.76
80;790.062;13246.8;-1.83
81;800.062;13246.8;-1.83
82;810.062;13246.8;-1.83
83;820.062;13236.8;-1.91
84;830.062;13236.8;-1.91
85;840.062;13236.8;-1.91
86;850.062;13226.8;-1.98
87;860.062;13226.8;-1.98
88;870.062;13216.8;-2.06
89;880.062;13216.8;-2.06
90;890.062;13216.8;-2.06
91;900.062;13206.8;-2.14
92;910.062;13206.8;-2.14
93;920.062;13206.8;-2.14
94;930.062;13196.8;-2.21
95;940.062;13196.8;-2.21
96;950.062;13186.8;-2.29
97;960.062;13196.8;-2.21
98;970.062;13186.8;-2.29
99;980.062;13186.8;-2.29
100;990.062;13186.8;-2.29
101;1000.062;13176.8;-2.37
102;1010.062;13176.8;-2.37
103;1020.062;13176.8;-2.37
104;1030.062;13166.8;-2.44
105;1040.062;13166.8;-2.44
106;1050.062;13166.8;-2.44
107;1060.062;13156.8;-2.52
108;1070.062;13166.8;-2.44
109;1080.062;13156.8;-2.52
110;1090.062;13146.8;-2.60
111;1100.062;13146.8;-2.60
112;1110.062;13136.9;-2.67
113;1120.062;13146.8;-2.60
114;1130.062;13136.9;-2.67
115;1140.062;13136.9;-2.67
116;1150.062;13136.9;-2.67
117;1160.062;13136.9;-2.67
118;1170.062;13126.9;-2.75
119;1180.062;13126.9;-2.75
120;1190.062;13126.9;-2.75
121;1200.062;13116.9;-2.82
122;1210.062;13116.9;-2.82
123;1220.062;13116.9;-2.82
124;1230.062;13116.9;-2.82
125;1240.062;13116.9;-2.82
126;1250.062;13106.9;-2.90
127;1260.062;13106.9;-2.90
128;1270.062;13096.9;-2.98
129;1280.062;13106.9;-2.90
130;1290.062;13096.9;-2.98
