sep=;
"No.";"Time [s]";"I [cd]";"Irel [%]"
1;0;63694.7;0.00
2;10;63674.7;-0.03
3;20;63634.7;-0.10
4;30;63594.7;-0.16
5;40;63604.7;-0.14
6;50;63574.7;-0.19
7;60;63554.8;-0.23
8;70;63544.8;-0.24
9;80;63534.8;-0.26
10;90;63514.8;-0.29
11;100;63504.8;-0.31
12;110;63474.8;-0.35
13;120;63464.8;-0.37
14;130;63494.8;-0.32
15;140;63424.8;-0.43
16;150.015;63384.8;-0.50
17;160.015;63354.8;-0.55
18;170.015;63334.8;-0.58
19;180.015;63374.8;-0.51
20;190.015;63334.8;-0.58
21;200.015;63304.8;-0.63
22;210.015;63244.8;-0.72
23;220.015;63264.8;-0.69
24;230.015;63254.8;-0.71
25;240.015;63224.8;-0.76
26;250.015;63214.8;-0.77
27;260.015;63174.8;-0.84
28;270.031;63154.8;-0.87
29;280.031;63174.8;-0.84
30;290.031;63154.8;-0.87
31;300.031;63104.9;-0.95
32;310.031;63134.8;-0.90
33;320.031;63114.9;-0.93
34;330.031;63064.9;-1.01
35;340.031;63054.9;-1.03
36;350.031;63014.9;-1.09
37;360.031;63034.9;-1.06
38;370.031;63004.9;-1.11
39;380.047;62984.9;-1.14
40;390.047;62954.9;-1.19
41;400.047;62954.9;-1.19
42;410.047;62924.9;-1.24
43;420.062;62904.9;-1.27
44;430.062;62894.9;-1.29
45;440.062;62874.9;-1.32
46;450.062;62874.9;-1.32
47;460.062;62854.9;-1.35
48;470.062;62854.9;-1.35
49;480.062;62814.9;-1.42
50;490.062;62774.9;-1.48
51;500.062;62784.9;-1.46
52;510.062;62814.9;-1.42
53;520.062;62784.9;-1.46
54;530.062;62774.9;-1.48
55;540.062;62734.9;-1.54
56;550.078;62695.0;-1.61
57;560.078;62695.0;-1.61
58;570.078;62675.0;-1.64
59;580.078;62695.0;-1.61
60;590.078;62625.0;-1.72
61;600.078;62615.0;-1.74
62;610.078;62625.0;-1.72
63;620.093;62615.0;-1.74
64;630.093;62575.0;-1.80
65;640.093;62595.0;-1.77
66;650.093;62555.0;-1.83
67;660.093;62555.0;-1.83
68;670.093;62525.0;-1.88
69;680.093;62545.0;-1.85
70;690.109;62505.0;-1.91
71;700.109;62505.0;-1.91
72;710.109;62505.0;-1.91
73;720.109;62495.0;-1.93
74;730.125;62485.0;-1.95
75;740.125;62465.0;-1.98
76;750.125;62455.0;-1.99
77;760.125;62425.0;-2.04
78;770.125;62425.0;-2.04
79;780.125;62425.0;-2.04
80;790.125;62415.0;-2.06
81;800.125;62375.0;-2.12
82;810.125;62355.0;-2.15
83;820.156;62345.0;-2.17
84;830.156;62285.1;-2.27
85;840.156;62325.0;-2.20
86;850.156;62275.1;-2.28
87;860.156;62305.0;-2.24
88;870.156;62295.1;-2.25
89;880.156;62285.1;-2.27
90;890.156;62275.1;-2.28
91;900.156;62255.1;-2.32
92;910.156;62255.1;-2.32
93;920.156;62235.1;-2.35
94;930.156;62215.1;-2.38
95;940.156;62225.1;-2.36
96;950.156;62195.1;-2.41
97;960.156;62175.1;-2.44
