sep=;
"Name:";"OV1 DOM HL LED LOW (OPT ASSY-LED) RH #2 2025-04-02"
"Number:";""
"Report:";"JO WON JIN"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(LMT #01 GO H-1300)"
"Voltage:";"13.2131 V";"Date:";"2025-04-03 ¿ÀÀü 2:02:47"
"Current:";"2.97180 A";"File:";"OV1 DOM HL LED LOW (OPT ASSY-LED) RH #2 2025-04-02"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"B50L";"-";"350";"202.651";"-3.43";"0.57";"OK";"202.651";"-3.43";"0.57";"202.651";"-3.43";"0.57"
"BR";"-";"1750";"236.943";"2.5";"1";"OK";"236.943";"2.5";"1";"236.943";"2.5";"1"
"75R";"10100";"-";"14146.600";"1.15";"-0.57";"OK";"14146.600";"1.15";"-0.57";"14146.600";"1.15";"-0.57"
"75L";"-";"10600";"1568.624";"-3.43";"-0.57";"OK";"1568.624";"-3.43";"-0.57";"1568.624";"-3.43";"-0.57"
"50L";"-";"18500";"5017.795";"-3.43";"-0.86";"OK";"5017.795";"-3.43";"-0.86";"5017.795";"-3.43";"-0.86"
"50R";"10100";"-";"22694.550";"1.72";"-0.86";"OK";"22694.550";"1.72";"-0.86";"22694.550";"1.72";"-0.86"
"50V";"5100";"-";"10917.380";"0";"-0.86";"OK";"10917.380";"0";"-0.86";"10917.380";"0";"-0.86"
"25L";"1700";"-";"9887.627";"-9";"-1.72";"OK";"9887.627";"-9";"-1.72";"9887.627";"-9";"-1.72"
"25R";"1700";"-";"12087.100";"9";"-1.72";"OK";"12087.100";"9";"-1.72";"12087.100";"9";"-1.72"
"1";"-";"625";"129.269";"-8";"4";"OK";"129.269";"-8";"4";"129.269";"-8";"4"
"2";"-";"625";"184.056";"0";"4";"OK";"184.056";"0";"4";"184.056";"0";"4"
"3";"-";"625";"190.554";"8";"4";"OK";"190.554";"8";"4";"190.554";"8";"4"
"4";"-";"625";"186.555";"-4";"2";"OK";"186.555";"-4";"2";"186.555";"-4";"2"
"5";"-";"625";"205.451";"0";"2";"OK";"205.451";"0";"2";"205.451";"0";"2"
"6";"-";"625";"199.152";"4";"2";"OK";"199.152";"4";"2";"199.152";"4";"2"
"7";"65";"625";"215.648";"-8";"0";"OK";"215.648";"-8";"0";"215.648";"-8";"0"
"8";"125";"625";"230.045";"-4";"0";"OK";"230.045";"-4";"0";"230.045";"-4";"0"
"ZONE III";"-";"625";"(130.094) 313.262";"(-8) 0";"(4) 0";"OK";"130.094";"-8";"4";"313.262";"0";"0"
"ZONE IV";"2500";"-";"(4268.975) 24634.090";"(-4.9) 1.7";"(-0.86) -1.12";"OK";"4268.975";"-4.9";"-0.86";"24634.090";"1.7";"-1.12"
"ZONE I";"-";"2*50R";"(6291.859) 23171.860";"(-9) 1.6";"(-5) -1.72";"OK";"6291.859";"-9";"-5";"23171.860";"1.6";"-1.72"
