sep=;
"No.";"Time [s]";"I [cd]";"Irel [%]"
1;0;11967.1;0.00
2;10;11977.1;0.08
3;20;11997.1;0.25
4;30;11987.1;0.17
5;40;11997.1;0.25
6;50;12017.1;0.42
7;60.016;12007.1;0.33
8;70.016;12017.1;0.42
9;80.016;12017.1;0.42
10;90.016;12017.1;0.42
11;100.016;12037.1;0.58
12;110.016;12027.1;0.50
13;120.016;12037.1;0.58
14;130.016;12037.1;0.58
15;140.016;12037.1;0.58
16;150.016;12047.1;0.67
17;160.016;12047.1;0.67
18;170.016;12057.1;0.75
19;180.016;12047.1;0.67
20;190.016;12057.1;0.75
21;200.016;12047.1;0.67
22;210.016;12057.1;0.75
23;220.016;12047.1;0.67
24;230.016;12067.1;0.84
25;240.016;12057.1;0.75
26;250.016;12067.1;0.84
27;260.016;12057.1;0.75
28;270.016;12057.1;0.75
29;280.016;12067.1;0.84
30;290.016;12057.1;0.75
31;300.016;12077.1;0.92
32;310.031;12067.1;0.84
33;320.031;12077.1;0.92
34;330.031;12067.1;0.84
35;340.031;12067.1;0.84
36;350.031;12067.1;0.84
37;360.031;12057.1;0.75
38;370.031;12057.1;0.75
39;380.031;12077.1;0.92
40;390.031;12077.1;0.92
41;400.031;12067.1;0.84
42;410.031;12087.1;1.00
43;420.031;12077.1;0.92
44;430.031;12067.1;0.84
45;440.031;12077.1;0.92
46;450.031;12067.1;0.84
47;460.031;12067.1;0.84
48;470.031;12097.1;1.09
49;480.031;12087.1;1.00
50;490.031;12077.1;0.92
51;500.031;12067.1;0.84
52;510.031;12087.1;1.00
53;520.031;12077.1;0.92
54;530.047;12067.1;0.84
55;540.047;12077.1;0.92
56;550.047;12077.1;0.92
57;560.047;12077.1;0.92
58;570.047;12067.1;0.84
59;580.047;12087.1;1.00
60;590.047;12077.1;0.92
61;600.047;12077.1;0.92
62;610.047;12067.1;0.84
63;620.047;12087.1;1.00
64;630.047;12087.1;1.00
65;640.047;12077.1;0.92
66;650.047;12067.1;0.84
67;660.047;12067.1;0.84
68;670.047;12077.1;0.92
69;680.047;12067.1;0.84
70;690.047;12067.1;0.84
71;700.047;12067.1;0.84
72;710.047;12087.1;1.00
73;720.047;12087.1;1.00
74;730.047;12077.1;0.92
75;740.047;12077.1;0.92
76;750.047;12077.1;0.92
77;760.047;12067.1;0.84
78;770.047;12077.1;0.92
79;780.047;12077.1;0.92
80;790.047;12067.1;0.84
81;800.047;12067.1;0.84
82;810.047;12057.1;0.75
83;820.047;12057.1;0.75
84;830.047;12087.1;1.00
85;840.047;12077.1;0.92
86;850.047;12077.1;0.92
87;860.047;12087.1;1.00
88;870.047;12067.1;0.84
89;880.047;12067.1;0.84
90;890.062;12067.1;0.84
91;900.062;12077.1;0.92
92;910.062;12067.1;0.84
93;920.062;12067.1;0.84
94;930.062;12057.1;0.75
95;940.062;12057.1;0.75
96;950.062;12057.1;0.75
97;960.062;12047.1;0.67
