sep=;
"Name:";"OV1 DOM HL LED LOW (STD ASSY-LED) LH #1 2025-03-31"
"Number:";""
"Report:";"JO WON JIN"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(LMT #01 GO H-1300)"
"Voltage:";"13.2119 V";"Date:";"2025-03-31 ¿ÀÈÄ 7:25:39"
"Current:";"1.53627 A";"File:";"OV1 DOM HL LED LOW (STD ASSY-LED) LH #1 2025-03-31"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"B50L";"-";"350";"216.148";"-3.43";"0.57";"OK";"216.148";"-3.43";"0.57";"216.148";"-3.43";"0.57"
"BR";"-";"1750";"175.858";"2.5";"1";"OK";"175.858";"2.5";"1";"175.858";"2.5";"1"
"75R";"10100";"-";"12756.940";"1.15";"-0.57";"OK";"12756.940";"1.15";"-0.57";"12756.940";"1.15";"-0.57"
"75L";"-";"10600";"2248.460";"-3.43";"-0.57";"OK";"2248.460";"-3.43";"-0.57";"2248.460";"-3.43";"-0.57"
"50L";"-";"18500";"7679.157";"-3.43";"-0.86";"OK";"7679.157";"-3.43";"-0.86";"7679.157";"-3.43";"-0.86"
"50R";"10100";"-";"28253.220";"1.72";"-0.86";"OK";"28253.220";"1.72";"-0.86";"28253.220";"1.72";"-0.86"
"50V";"5100";"-";"20974.960";"0";"-0.86";"OK";"20974.960";"0";"-0.86";"20974.960";"0";"-0.86"
"25L";"1700";"-";"12746.940";"-9";"-1.72";"OK";"12746.940";"-9";"-1.72";"12746.940";"-9";"-1.72"
"25R";"1700";"-";"12546.990";"9";"-1.72";"OK";"12546.990";"9";"-1.72";"12546.990";"9";"-1.72"
"1";"-";"625";"215.548";"-8";"4";"OK";"215.548";"-8";"4";"215.548";"-8";"4"
"2";"-";"625";"208.850";"0";"4";"OK";"208.850";"0";"4";"208.850";"0";"4"
"3";"-";"625";"147.965";"8";"4";"OK";"147.965";"8";"4";"147.965";"8";"4"
"4";"-";"625";"263.737";"-4";"2";"OK";"263.737";"-4";"2";"263.737";"-4";"2"
"5";"-";"625";"205.151";"0";"2";"OK";"205.151";"0";"2";"205.151";"0";"2"
"6";"-";"625";"151.164";"4";"2";"OK";"151.164";"4";"2";"151.164";"4";"2"
"7";"65";"625";"292.030";"-8";"0";"OK";"292.030";"-8";"0";"292.030";"-8";"0"
"8";"125";"625";"452.491";"-4";"0";"OK";"452.491";"-4";"0";"452.491";"-4";"0"
"ZONE III";"-";"625";"(97.591) 469.887";"(5.4) -0.2";"(1.6) 0";"OK";"97.591";"5.4";"1.6";"469.887";"-0.2";"0"
"ZONE IV";"2500";"-";"(6389.774) 44047.000";"(-5.15) 0.3";"(-0.86) -1.72";"OK";"6389.774";"-5.15";"-0.86";"44047.000";"0.3";"-1.72"
"ZONE I";"-";"2*50R";"(3903.323) 44140.180";"(-9) 0.4";"(-5) -1.8";"OK";"3903.323";"-9";"-5";"44140.180";"0.4";"-1.8"
