sep=;
"No.";"Time [s]";"I [cd]";"Irel [%]"
1;0;52513.190;0.00
2;10.016;52473.210;-0.08
3;20.016;52553.180;0.08
4;30.016;52513.190;0.00
5;40.016;52543.180;0.06
6;50.016;52593.170;0.15
7;60.016;52553.180;0.08
8;70.016;52513.190;0.00
9;80.016;52463.210;-0.10
10;90.016;52573.170;0.11
11;100.016;52503.200;-0.02
12;110.016;52583.170;0.13
13;120.016;52563.180;0.10
14;130.016;52513.190;0.00
15;140.016;52513.190;0.00
16;150.016;52523.190;0.02
17;160.016;52593.170;0.15
18;170.016;52573.170;0.11
19;180.016;52583.170;0.13
20;190.016;52593.170;0.15
21;200.016;52533.190;0.04
22;210.016;52553.180;0.08
23;220.016;52563.180;0.10
24;230.016;52523.190;0.02
25;240.016;52523.190;0.02
26;250.016;52573.170;0.11
27;260.016;52593.170;0.15
28;270.016;52553.180;0.08
29;280.016;52563.180;0.10
30;290.016;52543.180;0.06
31;300.016;52543.180;0.06
32;310.016;52493.200;-0.04
33;320.016;52583.170;0.13
34;330.016;52553.180;0.08
35;340.016;52473.210;-0.08
36;350.016;52473.210;-0.08
37;360.016;52573.170;0.11
38;370.016;52573.170;0.11
39;380.016;52573.170;0.11
40;390.016;52503.200;-0.02
41;400.016;52533.190;0.04
42;410.016;52573.170;0.11
43;420.016;52533.190;0.04
44;430.016;52523.190;0.02
45;440.016;52513.190;0.00
46;450.016;52533.190;0.04
47;460.016;52493.200;-0.04
48;470.016;52503.200;-0.02
49;480.016;52563.180;0.10
50;490.016;52603.160;0.17
51;500.016;52563.180;0.10
52;510.016;52593.170;0.15
53;520.016;52563.180;0.10
54;530.016;52583.170;0.13
55;540.016;52563.180;0.10
56;550.016;52543.180;0.06
57;560.016;52543.180;0.06
58;570.016;52473.210;-0.08
59;580.016;52503.200;-0.02
60;590.016;52633.160;0.23
61;600.016;52573.170;0.11
62;610.016;52583.170;0.13
63;620.016;52553.180;0.08
64;630.016;52533.190;0.04
65;640.016;52583.170;0.13
66;650.016;52583.170;0.13
67;660.016;52543.180;0.06
68;670.016;52493.200;-0.04
69;680.016;52473.210;-0.08
70;690.016;52493.200;-0.04
71;700.016;52523.190;0.02
72;710.016;52553.180;0.08
73;720.016;52563.180;0.10
74;730.016;52573.170;0.11
75;740.016;52553.180;0.08
76;750.016;52513.190;0.00
77;760.016;52513.190;0.00
78;770.016;52483.200;-0.06
79;780.016;52543.180;0.06
80;790.016;52533.190;0.04
81;800.016;52553.180;0.08
82;810.016;52473.210;-0.08
83;820.016;52543.180;0.06
84;830.016;52503.200;-0.02
85;840.016;52553.180;0.08
86;850.016;52593.170;0.15
87;860.016;52623.160;0.21
88;870.016;52583.170;0.13
89;880.016;52573.170;0.11
90;890.016;52543.180;0.06
91;900.016;52523.190;0.02
92;910.016;52523.190;0.02
93;920.016;52543.180;0.06
94;930.016;52533.190;0.04
95;940.016;52573.170;0.11
96;950.016;52513.190;0.00
97;960.016;52513.190;0.00
