sep=;
"No.";"Time [s]";"I [cd]";"Irel [%]"
1;0;10546.630;0.00
2;10;10545.630;-0.01
3;20;10565.620;0.18
4;30;10578.610;0.30
5;40;10577.610;0.29
6;50;10588.610;0.40
7;60;10593.610;0.45
8;70;10609.600;0.60
9;80;10639.590;0.88
10;90;10629.600;0.79
11;100;10638.590;0.87
12;110;10636.600;0.85
13;120;10641.590;0.90
14;130;10636.600;0.85
15;140;10646.590;0.95
16;150;10650.590;0.99
17;160;10658.590;1.06
18;170;10657.590;1.05
19;180;10669.580;1.17
20;190;10652.590;1.00
21;200;10657.590;1.05
22;210;10672.580;1.19
23;220;10674.580;1.21
24;230;10681.580;1.28
25;240;10673.580;1.20
26;250;10690.580;1.37
27;260;10680.580;1.27
28;270;10675.580;1.22
29;280;10692.580;1.38
30;290;10688.580;1.35
31;300;10689.580;1.36
32;310;10695.580;1.41
33;320;10690.580;1.37
34;330;10693.580;1.39
35;340;10693.580;1.39
36;350;10681.580;1.28
37;360;10700.580;1.46
38;370;10703.570;1.49
39;380;10705.570;1.51
40;390;10688.580;1.35
41;400;10705.570;1.51
42;410;10696.580;1.42
43;420;10688.580;1.35
44;430;10690.580;1.37
45;440;10692.580;1.38
46;450;10692.580;1.38
47;460;10724.570;1.69
48;470;10704.570;1.50
49;480;10701.580;1.47
50;490;10711.570;1.56
51;500;10714.570;1.59
52;510;10706.570;1.52
53;520;10701.580;1.47
54;530;10700.580;1.46
55;540;10721.570;1.66
56;550;10708.570;1.54
57;560;10709.570;1.55
58;570;10717.570;1.62
59;580;10711.570;1.56
60;590;10709.570;1.55
61;600;10708.570;1.54
62;610;10699.580;1.45
63;620;10700.580;1.46
64;630;10716.570;1.61
65;640;10723.570;1.68
66;650;10721.570;1.66
67;660;10720.570;1.65
68;670;10705.570;1.51
69;680;10714.570;1.59
70;690;10721.570;1.66
71;700;10718.570;1.63
72;710;10699.580;1.45
73;720;10706.570;1.52
74;730;10715.570;1.60
75;740;10725.570;1.70
76;750;10721.570;1.66
77;760;10728.570;1.73
78;770;10730.570;1.74
79;780;10727.570;1.72
80;790;10722.570;1.67
81;800;10736.560;1.80
82;810;10728.570;1.73
83;820;10717.570;1.62
84;830;10712.570;1.57
85;840;10721.570;1.66
86;850;10720.570;1.65
87;860;10712.570;1.57
88;870.016;10737.560;1.81
89;880.016;10737.560;1.81
90;890.016;10725.570;1.70
91;900.016;10729.570;1.73
92;910.016;10730.570;1.74
93;920.016;10724.570;1.69
94;930.032;10720.570;1.65
95;940.032;10722.570;1.67
96;950.032;10718.570;1.63
97;960.032;10750.560;1.93
