sep=;
"Name:";"OV1 DOM HL LED LOW (STD ASSY-LED) LH #1 2025-01-18"
"Number:";""
"Report:";"Kim Jin Mo"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL CORP.(LAB #3 LMT GO-H1660)"
"Voltage:";"13.2159 V";"Date:";"2025-01-18 ¿ÀÀü 8:45:15"
"Current:";"1.48881 A";"File:";"OV1 DOM HL LED LOW (STD ASSY-LED) LH #1 2025-01-18"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"B50L";"-";"350";"219.6297";"-3.43";"0.57";"OK";"219.6297";"-3.43";"0.57";"219.6297";"-3.43";"0.57"
"BR";"-";"1750";"177.0434";"2.5";"1";"OK";"177.0434";"2.5";"1";"177.0434";"2.5";"1"
"75R";"10100";"-";"15114.1600";"1.15";"-0.57";"OK";"15114.1600";"1.15";"-0.57";"15114.1600";"1.15";"-0.57"
"75L";"-";"10600";"1690.4590";"-3.43";"-0.57";"OK";"1690.4590";"-3.43";"-0.57";"1690.4590";"-3.43";"-0.57"
"50L";"-";"18500";"6416.9460";"-3.43";"-0.86";"OK";"6416.9460";"-3.43";"-0.86";"6416.9460";"-3.43";"-0.86"
"50R";"10100";"-";"27431.2200";"1.72";"-0.86";"OK";"27431.2200";"1.72";"-0.86";"27431.2200";"1.72";"-0.86"
"50V";"5100";"-";"23252.5600";"0";"-0.86";"OK";"23252.5600";"0";"-0.86";"23252.5600";"0";"-0.86"
"25L";"1700";"-";"12372.0400";"-9";"-1.72";"OK";"12372.0400";"-9";"-1.72";"12372.0400";"-9";"-1.72"
"25R";"1700";"-";"11321.3800";"9";"-1.72";"OK";"11321.3800";"9";"-1.72";"11321.3800";"9";"-1.72"
"1";"-";"625";"259.4170";"-8";"4";"OK";"259.4170";"-8";"4";"259.4170";"-8";"4"
"2";"-";"625";"264.3154";"0";"4";"OK";"264.3154";"0";"4";"264.3154";"0";"4"
"3";"-";"625";"210.7326";"8";"4";"OK";"210.7326";"8";"4";"210.7326";"8";"4"
"4";"-";"625";"220.5294";"-4";"2";"OK";"220.5294";"-4";"2";"220.5294";"-4";"2"
"5";"-";"625";"180.7422";"0";"2";"OK";"180.7422";"0";"2";"180.7422";"0";"2"
"6";"-";"625";"126.9594";"4";"2";"OK";"126.9594";"4";"2";"126.9594";"4";"2"
"7";"65";"625";"204.6345";"-8";"0";"OK";"204.6345";"-8";"0";"204.6345";"-8";"0"
"8";"125";"625";"289.0075";"-4";"0";"OK";"289.0075";"-4";"0";"289.0075";"-4";"0"
"ZONE III";"-";"625";"(83.1221) 436.3088";"(8) 0";"(2) 0";"OK";"83.1221";"8";"2";"436.3088";"0";"0"
"ZONE IV";"2500";"-";"(5686.1530) 41796.9200";"(-5.15) 0.55";"(-0.86) -1.72";"OK";"5686.1530";"-5.15";"-0.86";"41796.9200";"0.55";"-1.72"
"ZONE I";"-";"2*50R";"(4894.8600) 41768.1300";"(-9) 0.6";"(-5) -1.72";"OK";"4894.8600";"-9";"-5";"41768.1300";"0.6";"-1.72"
