sep=;
"Name:";"OV1 DOM HL LED T-SIG (STD ASSY-LED) LH #1 1MIN COLOR 2025-01-18"
"Number:";""
"Report:";"Kim Jin Mo"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL CORP.(LAB #3 LMT GO-H1660)"
"Voltage:";"13.5175 V";"Date:";"2025-01-18 ¿ÀÈÄ 12:07:59"
"Current:";"1.66498 A";"File:";"OV1 DOM HL LED T-SIG (STD ASSY-LED) LH #1 1MIN COLOR 2025-01-18"

"No.";"Functions";"H[¡Æ]";"V[¡Æ]";"x";"y";"Tc";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1";"10U - 5L";"-5";"10";"0.5729";"0.4202";"1710";"OK";"338.0";"";"";"338.0";"";""
"2";"10U - 5R";"5";"10";"0.5728";"0.4203";"1711";"OK";"276.0";"";"";"276.0";"";""
"3";"5U - 20L";"-20";"5";"0.5730";"0.4202";"1710";"OK";"267.0";"";"";"267.0";"";""
"4";"5U - 10L";"-10";"5";"0.5733";"0.4199";"1706";"OK";"408.8";"";"";"408.8";"";""
"5";"5U - V";"0";"5";"0.5733";"0.4198";"1706";"OK";"435.3";"";"";"435.3";"";""
"6";"5U - 10R";"10";"5";"0.5731";"0.4200";"1708";"OK";"285.1";"";"";"285.1";"";""
"7";"5U - 20R";"20";"5";"0.5728";"0.4202";"1711";"OK";"142.3";"";"";"142.3";"";""
"8";"H - 10L";"-10";"0";"0.5735";"0.4197";"1704";"OK";"418.8";"";"";"418.8";"";""
"9";"H - 5L";"-5";"0";"0.5736";"0.4196";"1703";"OK";"471.9";"";"";"471.9";"";""
"10";"HV";"0";"0";"0.5736";"0.4196";"1703";"OK";"472.4";"";"";"472.4";"";""
"11";"H - 5R";"5";"0";"0.5735";"0.4196";"1704";"OK";"411.6";"";"";"411.6";"";""
"12";"H - 10R";"10";"0";"0.5734";"0.4196";"1705";"OK";"319.9";"";"";"319.9";"";""
"13";"5D - 20L";"-20";"-5";"0.5732";"0.4199";"1707";"OK";"212.9";"";"";"212.9";"";""
"14";"5D - 10L";"-10";"-5";"0.5735";"0.4196";"1703";"OK";"323.9";"";"";"323.9";"";""
"15";"5D - V";"0";"-5";"0.5736";"0.4195";"1702";"OK";"362.1";"";"";"362.1";"";""
"16";"5D - 10R";"10";"-5";"0.5735";"0.4195";"1703";"OK";"284.1";"";"";"284.1";"";""
"17";"5D - 20R";"20";"-5";"0.5732";"0.4197";"1706";"OK";"124.9";"";"";"124.9";"";""
"18";"10D - 5L";"-5";"-10";"0.5734";"0.4196";"1704";"OK";"221.0";"";"";"221.0";"";""
"19";"10D - 5R";"5";"-10";"0.5735";"0.4195";"1703";"OK";"210.4";"";"";"210.4";"";""
