sep=;
"Name:";"OV1 DOM HL LED T-SIG (STD ASSY-LED) LH #1 2025-01-18"
"Number:";""
"Report:";"Kim Jin Mo"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL CORP.(LAB #3 LMT GO-H1660)"
"Voltage:";"13.5166 V";"Date:";"2025-01-18 ¿ÀÈÄ 12:55:02"
"Current:";"1.64706 A";"File:";"OV1 DOM HL LED T-SIG (STD ASSY-LED) LH #1 2025-01-18"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1min H-V";"-";"-";"471.7534";"0";"0";"OK";"471.7534";"0";"0";"471.7534";"0";"0"
"30min H-V";"-";"-";"457.5849";"0";"0";"OK";"457.5849";"0";"0";"457.5849";"0";"0"
"10U - 5L";"35";"1000";"317.0565";"-5";"10";"OK";"317.0565";"-5";"10";"317.0565";"-5";"10"
"10U - 5R";"35";"1000";"260.2378";"5";"10";"OK";"260.2378";"5";"10";"260.2378";"5";"10"
"5U - 20L";"17.5";"1000";"253.0813";"-20";"5";"OK";"253.0813";"-20";"5";"253.0813";"-20";"5"
"5U - 10L";"35";"1000";"388.4050";"-10";"5";"OK";"388.4050";"-10";"5";"388.4050";"-10";"5"
"5U - V";"122.5";"1000";"413.5613";"0";"5";"OK";"413.5613";"0";"5";"413.5613";"0";"5"
"5U - 10R";"35";"1000";"271.0811";"10";"5";"OK";"271.0811";"10";"5";"271.0811";"10";"5"
"5U - 20R";"17.5";"1000";"135.7935";"20";"5";"OK";"135.7935";"20";"5";"135.7935";"20";"5"
"H - 10L";"61.25";"1000";"404.5253";"-10";"0";"OK";"404.5253";"-10";"0";"404.5253";"-10";"0"
"H - 5L";"157.5";"1000";"456.5728";"-5";"0";"OK";"456.5728";"-5";"0";"456.5728";"-5";"0"
"HV";"175";"1000";"457.1873";"0";"0";"OK";"457.1873";"0";"0";"457.1873";"0";"0"
"H - 5R";"157.5";"1000";"397.6940";"5";"0";"OK";"397.6940";"5";"0";"397.6940";"5";"0"
"H - 10R";"61.25";"1000";"308.7794";"10";"0";"OK";"308.7794";"10";"0";"308.7794";"10";"0"
"5D - 20L";"17.5";"1000";"205.0819";"-20";"-5";"OK";"205.0819";"-20";"-5";"205.0819";"-20";"-5"
"5D - 10L";"35";"1000";"315.7914";"-10";"-5";"OK";"315.7914";"-10";"-5";"315.7914";"-10";"-5"
"5D - V";"122.5";"1000";"355.2247";"0";"-5";"OK";"355.2247";"0";"-5";"355.2247";"0";"-5"
"5D - 10R";"35";"1000";"278.7075";"10";"-5";"OK";"278.7075";"10";"-5";"278.7075";"10";"-5"
"5D - 20R";"17.5";"1000";"121.8781";"20";"-5";"OK";"121.8781";"20";"-5";"121.8781";"20";"-5"
"10D - 5L";"35";"1000";"215.6360";"-5";"-10";"OK";"215.6360";"-5";"-10";"215.6360";"-5";"-10"
"10D - 5R";"35";"1000";"206.3108";"5";"-10";"OK";"206.3108";"5";"-10";"206.3108";"5";"-10"
"MIN/MAX";"0.3";"1000";"(3.5830) 475.8508";"(45) -2.9";"(-15) 1.6";"OK";"3.5830";"45";"-15";"475.8508";"-2.9";"1.6"
