sep=;
"Name:";"OV1 DOM HL LED T-SIG (STD ASSY-LED) LH #1 COLOR 2025-01-18"
"Number:";""
"Report:";"Kim Jin Mo"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL CORP.(LAB #3 LMT GO-H1660)"
"Voltage:";"13.5168 V";"Date:";"2025-01-18 ¿ÀÈÄ 12:58:16"
"Current:";"1.65332 A";"File:";"OV1 DOM HL LED T-SIG (STD ASSY-LED) LH #1 COLOR 2025-01-18"

"No.";"Functions";"H[¡Æ]";"V[¡Æ]";"x";"y";"Tc";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1";"10U - 5L";"-5";"10";"0.5734";"0.4192";"1702";"OK";"316.8";"";"";"316.8";"";""
"2";"10U - 5R";"5";"10";"0.5733";"0.4193";"1703";"OK";"260.1";"";"";"260.1";"";""
"3";"5U - 20L";"-20";"5";"0.5735";"0.4192";"1702";"OK";"253.4";"";"";"253.4";"";""
"4";"5U - 10L";"-10";"5";"0.5737";"0.4190";"1699";"OK";"388.8";"";"";"388.8";"";""
"5";"5U - V";"0";"5";"0.5737";"0.4190";"1699";"OK";"413.4";"";"";"413.4";"";""
"6";"5U - 10R";"10";"5";"0.5735";"0.4191";"1701";"OK";"271.6";"";"";"271.6";"";""
"7";"5U - 20R";"20";"5";"0.5732";"0.4193";"1704";"OK";"136.0";"";"";"136.0";"";""
"8";"H - 10L";"-10";"0";"0.5739";"0.4189";"1698";"OK";"405.8";"";"";"405.8";"";""
"9";"H - 5L";"-5";"0";"0.5739";"0.4188";"1697";"OK";"457.9";"";"";"457.9";"";""
"10";"HV";"0";"0";"0.5739";"0.4188";"1697";"OK";"458.8";"";"";"458.8";"";""
"11";"H - 5R";"5";"0";"0.5739";"0.4189";"1698";"OK";"398.8";"";"";"398.8";"";""
"12";"H - 10R";"10";"0";"0.5738";"0.4189";"1698";"OK";"309.5";"";"";"309.5";"";""
"13";"5D - 20L";"-20";"-5";"0.5736";"0.4191";"1701";"OK";"205.7";"";"";"205.7";"";""
"14";"5D - 10L";"-10";"-5";"0.5739";"0.4189";"1698";"OK";"317.4";"";"";"317.4";"";""
"15";"5D - V";"0";"-5";"0.5739";"0.4188";"1697";"OK";"357.7";"";"";"357.7";"";""
"16";"5D - 10R";"10";"-5";"0.5739";"0.4188";"1698";"OK";"280.5";"";"";"280.5";"";""
"17";"5D - 20R";"20";"-5";"0.5734";"0.4191";"1701";"OK";"122.3";"";"";"122.3";"";""
"18";"10D - 5L";"-5";"-10";"0.5737";"0.4190";"1699";"OK";"216.8";"";"";"216.8";"";""
"19";"10D - 5R";"5";"-10";"0.5738";"0.4189";"1698";"OK";"207.4";"";"";"207.4";"";""
