sep=;
"No.";"Time [s]";"I [cd]";"Irel [%]"
1;0;57516.2;0.00
2;10;57496.2;-0.04
3;20;57576.2;0.11
4;30;57436.2;-0.14
5;40;57436.2;-0.14
6;50;57436.2;-0.14
7;60;57396.2;-0.21
8;70;57396.2;-0.21
9;80;57366.2;-0.27
10;90.016;57346.2;-0.30
11;100.016;57326.2;-0.34
12;110.016;57306.3;-0.37
13;120.016;57286.3;-0.41
14;130.016;57256.3;-0.46
15;140.016;57196.3;-0.57
16;150.016;57196.3;-0.57
17;160.016;57156.3;-0.64
18;170.016;57166.3;-0.62
19;180.016;57126.3;-0.69
20;190.032;57106.3;-0.73
21;200.032;57116.3;-0.71
22;210.032;57096.3;-0.75
23;220.032;57076.3;-0.78
24;230.032;57026.3;-0.87
25;240.032;57006.3;-0.91
26;250.032;56976.3;-0.96
27;260.032;56976.3;-0.96
28;270.032;56956.3;-1.00
29;280.032;56956.3;-1.00
30;290.032;56936.3;-1.03
31;300.032;56886.3;-1.12
32;310.032;56866.4;-1.15
33;320.032;56856.4;-1.17
34;330.032;56836.4;-1.21
35;340.032;56806.4;-1.26
36;350.032;56786.4;-1.30
37;360.032;56776.4;-1.31
38;370.032;56766.4;-1.33
39;380.032;56736.4;-1.39
40;390.032;56696.4;-1.46
41;400.032;56696.4;-1.46
42;410.032;56686.4;-1.47
43;420.032;56676.4;-1.49
44;430.032;56776.4;-1.31
45;440.032;56766.4;-1.33
46;450.032;56756.4;-1.35
47;460.032;56726.4;-1.40
48;470.032;56696.4;-1.46
49;480.032;56726.4;-1.40
50;490.032;56716.4;-1.42
51;500.032;56696.4;-1.46
52;510.032;56666.4;-1.51
53;520.032;56646.4;-1.55
54;530.032;56636.4;-1.56
55;540.032;56636.4;-1.56
56;550.032;56616.4;-1.60
57;560.032;56616.4;-1.60
58;570.032;56586.4;-1.65
59;580.032;56596.4;-1.63
60;590.032;56576.4;-1.67
61;600.032;56556.4;-1.71
62;610.032;56546.4;-1.72
63;620.032;56556.4;-1.71
64;630.032;56506.4;-1.79
65;640.032;56526.4;-1.76
66;650.032;56526.4;-1.76
67;660.032;56516.4;-1.78
68;670.047;56466.5;-1.87
69;680.047;56486.4;-1.83
70;690.047;56466.5;-1.87
71;700.063;56456.5;-1.88
72;710.063;56446.5;-1.90
73;720.063;56416.5;-1.95
74;730.063;56406.5;-1.97
75;740.063;56426.5;-1.94
76;750.063;56406.5;-1.97
77;760.063;56426.5;-1.94
78;770.063;56386.5;-2.01
79;780.063;56406.5;-1.97
80;790.063;56406.5;-1.97
81;800.063;56386.5;-2.01
82;810.063;56376.5;-2.03
83;820.063;56356.5;-2.06
84;830.063;56346.5;-2.08
85;840.063;56326.5;-2.11
86;850.11;56336.5;-2.10
87;860.11;56346.5;-2.08
88;870.11;56306.5;-2.15
89;880.11;56296.5;-2.17
90;890.11;56326.5;-2.11
91;900.11;56286.5;-2.19
92;910.11;56276.5;-2.20
93;920.11;56326.5;-2.11
94;930.11;56296.5;-2.17
95;940.11;56266.5;-2.22
96;950.11;56286.5;-2.19
97;960.11;56286.5;-2.19
