sep=;
"Name:";"OV1 DOM HL LED LOW (STD ASSY-LED) LH #2 2025-04-02"
"Number:";""
"Report:";"JO WON JIN"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(LMT #01 GO H-1300)"
"Voltage:";"13.2120 V";"Date:";"2025-04-02 ¿ÀÈÄ 10:39:26"
"Current:";"1.50442 A";"File:";"OV1 DOM HL LED LOW (STD ASSY-LED) LH #2 2025-04-02"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"B50L";"-";"350";"249.340";"-3.43";"0.57";"OK";"249.340";"-3.43";"0.57";"249.340";"-3.43";"0.57"
"BR";"-";"1750";"359.814";"2.5";"1";"OK";"359.814";"2.5";"1";"359.814";"2.5";"1"
"75R";"10100";"-";"17585.780";"1.15";"-0.57";"OK";"17585.780";"1.15";"-0.57";"17585.780";"1.15";"-0.57"
"75L";"-";"10600";"1706.590";"-3.43";"-0.57";"OK";"1706.590";"-3.43";"-0.57";"1706.590";"-3.43";"-0.57"
"50L";"-";"18500";"5687.635";"-3.43";"-0.86";"OK";"5687.635";"-3.43";"-0.86";"5687.635";"-3.43";"-0.86"
"50R";"10100";"-";"28303.210";"1.72";"-0.86";"OK";"28303.210";"1.72";"-0.86";"28303.210";"1.72";"-0.86"
"50V";"5100";"-";"24804.050";"0";"-0.86";"OK";"24804.050";"0";"-0.86";"24804.050";"0";"-0.86"
"25L";"1700";"-";"6703.391";"-9";"-1.72";"OK";"6703.391";"-9";"-1.72";"6703.391";"-9";"-1.72"
"25R";"1700";"-";"7879.109";"9";"-1.72";"OK";"7879.109";"9";"-1.72";"7879.109";"9";"-1.72"
"1";"-";"625";"229.845";"-8";"4";"OK";"229.845";"-8";"4";"229.845";"-8";"4"
"2";"-";"625";"280.433";"0";"4";"OK";"280.433";"0";"4";"280.433";"0";"4"
"3";"-";"625";"178.157";"8";"4";"OK";"178.157";"8";"4";"178.157";"8";"4"
"4";"-";"625";"236.943";"-4";"2";"OK";"236.943";"-4";"2";"236.943";"-4";"2"
"5";"-";"625";"250.140";"0";"2";"OK";"250.140";"0";"2";"250.140";"0";"2"
"6";"-";"625";"233.944";"4";"2";"OK";"233.944";"4";"2";"233.944";"4";"2"
"7";"65";"625";"297.529";"-8";"0";"OK";"297.529";"-8";"0";"297.529";"-8";"0"
"8";"125";"625";"168.160";"-4";"0";"OK";"168.160";"-4";"0";"168.160";"-4";"0"
"ZONE III";"-";"625";"(20.807) 319.923";"(6.4) 0";"(4) 0";"OK";"20.807";"6.4";"4";"319.923";"0";"0"
"ZONE IV";"2500";"-";"(5317.572) 33377.380";"(-5.15) 0.35";"(-0.86) -1.52";"OK";"5317.572";"-5.15";"-0.86";"33377.380";"0.35";"-1.52"
"ZONE I";"-";"2*50R";"(4948.812) 32816.550";"(-9) 0.5";"(-2.8) -1.72";"OK";"4948.812";"-9";"-2.8";"32816.550";"0.5";"-1.72"
