sep=;
"No.";"Time [s]";"I [cd]";"Irel [%]"
1;0;57826.1;0.00
2;10;57856.1;0.05
3;20;57816.1;-0.02
4;30;57856.1;0.05
5;40;57826.1;0.00
6;50;57846.1;0.03
7;60;57806.1;-0.03
8;70;57846.1;0.03
9;80;57816.1;-0.02
10;90;57786.1;-0.07
11;100;57906.1;0.14
12;110;57866.1;0.07
13;120;57906.1;0.14
14;130;57886.1;0.10
15;140;57856.1;0.05
16;150;57886.1;0.10
17;160;57856.1;0.05
18;170;57886.1;0.10
19;180;57866.1;0.07
20;190;57846.1;0.03
21;200;57876.1;0.09
22;210;57846.1;0.03
23;220;57836.1;0.02
24;230;57876.1;0.09
25;240;57826.1;0.00
26;250;57806.1;-0.03
27;260;57926.1;0.17
28;270.015;57916.1;0.16
29;280.015;57886.1;0.10
30;290.015;57936.1;0.19
31;300.015;57906.1;0.14
32;310.015;57876.1;0.09
33;320.015;57926.1;0.17
34;330.015;57896.1;0.12
35;340.015;57876.1;0.09
36;350.015;57856.1;0.05
37;360.015;57956.1;0.22
38;370.015;57956.1;0.22
39;380.015;57906.1;0.14
40;390.015;57896.1;0.12
41;400.015;57946.1;0.21
42;410.015;57936.1;0.19
43;420.015;57896.1;0.12
44;430.015;57886.1;0.10
45;440.015;57896.1;0.12
46;450.015;57926.1;0.17
47;460.015;57886.1;0.10
48;470.015;57856.1;0.05
49;480.015;57986.1;0.28
50;490.015;57956.1;0.22
51;500.015;57926.1;0.17
52;510.015;57916.1;0.16
53;520.015;57896.1;0.12
54;530.015;57936.1;0.19
55;540.015;57906.1;0.14
56;550.015;57896.1;0.12
57;560.015;57886.1;0.10
58;570.015;57856.1;0.05
59;580.015;57896.1;0.12
60;590.015;57866.1;0.07
61;600.015;57876.1;0.09
62;610.015;57836.1;0.02
63;620.015;57836.1;0.02
64;630.015;57936.1;0.19
65;640.015;57926.1;0.17
66;650.015;57926.1;0.17
67;660.015;57886.1;0.10
68;670.015;57876.1;0.09
69;680.015;57936.1;0.19
70;690.031;57926.1;0.17
71;700.031;57916.1;0.16
72;710.031;57886.1;0.10
73;720.031;57876.1;0.09
74;730.031;57856.1;0.05
75;740.031;57846.1;0.03
76;750.046;57966.1;0.24
77;760.046;57946.1;0.21
78;770.046;57926.1;0.17
79;780.046;57916.1;0.16
80;790.046;57886.1;0.10
81;800.046;57876.1;0.09
82;810.046;57876.1;0.09
83;820.046;57896.1;0.12
84;830.046;57906.1;0.14
85;840.046;57906.1;0.14
86;850.046;57866.1;0.07
87;860.046;57856.1;0.05
88;870.062;57846.1;0.03
89;880.062;57816.1;-0.02
90;890.062;57826.1;0.00
91;900.062;57936.1;0.19
92;910.062;57926.1;0.17
93;920.062;57906.1;0.14
94;930.062;57906.1;0.14
95;940.062;57886.1;0.10
96;950.062;57886.1;0.10
97;960.062;57866.1;0.07
