sep=;
"No.";"Time [s]";"I [cd]";"Irel [%]"
1;0;10787.4;0.00
2;10;10797.4;0.09
3;20;10787.4;0.00
4;30;10797.4;0.09
5;40;10797.4;0.09
6;50;10807.4;0.19
7;60;10797.4;0.09
8;70;10807.4;0.19
9;80;10797.4;0.09
10;90;10827.4;0.37
11;100;10817.4;0.28
12;110;10827.4;0.37
13;120;10817.4;0.28
14;130;10817.4;0.28
15;140;10827.4;0.37
16;150;10817.4;0.28
17;160.016;10817.4;0.28
18;170.031;10817.4;0.28
19;180.031;10817.4;0.28
20;190.031;10817.4;0.28
21;200.031;10807.4;0.19
22;210.031;10807.4;0.19
23;220.031;10807.4;0.19
24;230.031;10797.4;0.09
25;240.031;10817.4;0.28
26;250.031;10817.4;0.28
27;260.031;10807.4;0.19
28;270.031;10807.4;0.19
29;280.031;10807.4;0.19
30;290.047;10807.4;0.19
31;300.047;10797.4;0.09
32;310.047;10807.4;0.19
33;320.047;10797.4;0.09
34;330.047;10787.4;0.00
35;340.047;10817.4;0.28
36;350.047;10807.4;0.19
37;360.047;10797.4;0.09
38;370.047;10797.4;0.09
39;380.047;10797.4;0.09
40;390.047;10797.4;0.09
41;400.047;10787.4;0.00
42;410.047;10787.4;0.00
43;420.047;10787.4;0.00
44;430.047;10787.4;0.00
45;440.047;10777.4;-0.09
46;450.047;10767.4;-0.19
47;460.047;10787.4;0.00
48;470.047;10777.4;-0.09
49;480.047;10777.4;-0.09
50;490.047;10767.4;-0.19
51;500.047;10767.4;-0.19
52;510.047;10777.4;-0.09
53;520.047;10767.4;-0.19
54;530.047;10767.4;-0.19
55;540.047;10757.4;-0.28
56;550.047;10757.4;-0.28
57;560.047;10767.4;-0.19
58;570.047;10757.4;-0.28
59;580.047;10747.4;-0.37
60;590.047;10747.4;-0.37
61;600.062;10747.4;-0.37
62;610.062;10767.4;-0.19
63;620.062;10757.4;-0.28
64;630.062;10757.4;-0.28
65;640.062;10757.4;-0.28
66;650.062;10747.4;-0.37
67;660.062;10747.4;-0.37
68;670.062;10757.4;-0.28
69;680.062;10747.4;-0.37
70;690.062;10747.4;-0.37
71;700.062;10747.4;-0.37
72;710.062;10737.4;-0.47
73;720.062;10737.4;-0.47
74;730.062;10737.4;-0.47
75;740.062;10747.4;-0.37
76;750.062;10747.4;-0.37
77;760.062;10747.4;-0.37
78;770.062;10737.4;-0.47
79;780.062;10737.4;-0.47
80;790.062;10737.4;-0.47
81;800.062;10737.4;-0.47
82;810.062;10737.4;-0.47
83;820.062;10737.4;-0.47
84;830.062;10737.4;-0.47
85;840.062;10737.4;-0.47
86;850.062;10727.4;-0.56
87;860.062;10727.4;-0.56
88;870.062;10727.4;-0.56
89;880.062;10717.4;-0.65
90;890.078;10717.4;-0.65
91;900.094;10717.4;-0.65
92;910.094;10737.4;-0.47
93;920.094;10737.4;-0.47
94;930.094;10737.4;-0.47
95;940.094;10727.4;-0.56
96;950.109;10727.4;-0.56
97;960.109;10727.4;-0.56
