sep=;
"Name:";"OV1 DOM HL LED LOW (STD ASSY-LED) RH #1 2025-03-31"
"Number:";""
"Report:";"JO WON JIN"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(LMT #01 GO H-1300)"
"Voltage:";"13.2113 V";"Date:";"2025-03-31 ¿ÀÈÄ 11:29:16"
"Current:";"1.52815 A";"File:";"OV1 DOM HL LED LOW (STD ASSY-LED) RH #1 2025-03-31"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"B50L";"-";"350";"200.152";"-3.43";"0.57";"OK";"200.152";"-3.43";"0.57";"200.152";"-3.43";"0.57"
"BR";"-";"1750";"195.153";"2.5";"1";"OK";"195.153";"2.5";"1";"195.153";"2.5";"1"
"75R";"10100";"-";"14806.450";"1.15";"-0.57";"OK";"14806.450";"1.15";"-0.57";"14806.450";"1.15";"-0.57"
"75L";"-";"10600";"2161.481";"-3.43";"-0.57";"OK";"2161.481";"-3.43";"-0.57";"2161.481";"-3.43";"-0.57"
"50L";"-";"18500";"7508.198";"-3.43";"-0.86";"OK";"7508.198";"-3.43";"-0.86";"7508.198";"-3.43";"-0.86"
"50R";"10100";"-";"28733.100";"1.72";"-0.86";"OK";"28733.100";"1.72";"-0.86";"28733.100";"1.72";"-0.86"
"50V";"5100";"-";"22084.700";"0";"-0.86";"OK";"22084.700";"0";"-0.86";"22084.700";"0";"-0.86"
"25L";"1700";"-";"12137.090";"-9";"-1.72";"OK";"12137.090";"-9";"-1.72";"12137.090";"-9";"-1.72"
"25R";"1700";"-";"10807.410";"9";"-1.72";"OK";"10807.410";"9";"-1.72";"10807.410";"9";"-1.72"
"1";"-";"625";"168.360";"-8";"4";"OK";"168.360";"-8";"4";"168.360";"-8";"4"
"2";"-";"625";"242.142";"0";"4";"OK";"242.142";"0";"4";"242.142";"0";"4"
"3";"-";"625";"230.645";"8";"4";"OK";"230.645";"8";"4";"230.645";"8";"4"
"4";"-";"625";"189.455";"-4";"2";"OK";"189.455";"-4";"2";"189.455";"-4";"2"
"5";"-";"625";"220.047";"0";"2";"OK";"220.047";"0";"2";"220.047";"0";"2"
"6";"-";"625";"256.139";"4";"2";"OK";"256.139";"4";"2";"256.139";"4";"2"
"7";"65";"625";"177.957";"-8";"0";"OK";"177.957";"-8";"0";"177.957";"-8";"0"
"8";"125";"625";"294.729";"-4";"0";"OK";"294.729";"-4";"0";"294.729";"-4";"0"
"ZONE III";"-";"625";"(94.045) 461.575";"(-8) 2.6";"(1.4) 3";"OK";"94.045";"-8";"1.4";"461.575";"2.6";"3"
"ZONE IV";"2500";"-";"(7397.354) 42211.990";"(5.15) -0.25";"(-0.86) -1.72";"OK";"7397.354";"5.15";"-0.86";"42211.990";"-0.25";"-1.72"
"ZONE I";"-";"2*50R";"(3871.508) 42314.340";"(-2.4) -0.2";"(-5) -1.8";"OK";"3871.508";"-2.4";"-5";"42314.340";"-0.2";"-1.8"
