sep=;
"Name:";"OV1 DOM HL LED LOW (STD ASSY-LED) RH #2 2025-04-02"
"Number:";""
"Report:";"JO WON JIN"
"Test no.:";""
"Lamp type:";"LED"
"Lamp No:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(LMT #01 GO H-1300)"
"Voltage:";"13.2120 V";"Date:";"2025-04-03 ¿ÀÀü 12:06:27"
"Current:";"1.47247 A";"File:";"OV1 DOM HL LED LOW (STD ASSY-LED) RH #2 2025-04-02"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"B50L";"-";"350";"206.351";"-3.43";"0.57";"OK";"206.351";"-3.43";"0.57";"206.351";"-3.43";"0.57"
"BR";"-";"1750";"228.845";"2.5";"1";"OK";"228.845";"2.5";"1";"228.845";"2.5";"1"
"75R";"10100";"-";"16705.990";"1.15";"-0.57";"OK";"16705.990";"1.15";"-0.57";"16705.990";"1.15";"-0.57"
"75L";"-";"10600";"3048.268";"-3.43";"-0.57";"OK";"3048.268";"-3.43";"-0.57";"3048.268";"-3.43";"-0.57"
"50L";"-";"18500";"9457.729";"-3.43";"-0.86";"OK";"9457.729";"-3.43";"-0.86";"9457.729";"-3.43";"-0.86"
"50R";"10100";"-";"28253.220";"1.72";"-0.86";"OK";"28253.220";"1.72";"-0.86";"28253.220";"1.72";"-0.86"
"50V";"5100";"-";"25843.800";"0";"-0.86";"OK";"25843.800";"0";"-0.86";"25843.800";"0";"-0.86"
"25L";"1700";"-";"10667.440";"-9";"-1.72";"OK";"10667.440";"-9";"-1.72";"10667.440";"-9";"-1.72"
"25R";"1700";"-";"12237.060";"9";"-1.72";"OK";"12237.060";"9";"-1.72";"12237.060";"9";"-1.72"
"1";"-";"625";"154.563";"-8";"4";"OK";"154.563";"-8";"4";"154.563";"-8";"4"
"2";"-";"625";"234.444";"0";"4";"OK";"234.444";"0";"4";"234.444";"0";"4"
"3";"-";"625";"232.044";"8";"4";"OK";"232.044";"8";"4";"232.044";"8";"4"
"4";"-";"625";"245.641";"-4";"2";"OK";"245.641";"-4";"2";"245.641";"-4";"2"
"5";"-";"625";"290.430";"0";"2";"OK";"290.430";"0";"2";"290.430";"0";"2"
"6";"-";"625";"341.718";"4";"2";"OK";"341.718";"4";"2";"341.718";"4";"2"
"7";"65";"625";"219.847";"-8";"0";"OK";"219.847";"-8";"0";"219.847";"-8";"0"
"8";"125";"625";"324.122";"-4";"0";"OK";"324.122";"-4";"0";"324.122";"-4";"0"
"ZONE III";"-";"625";"(97.973) 479.885";"(-8) 0";"(1.2) 0";"OK";"97.973";"-8";"1.2";"479.885";"0";"0"
"ZONE IV";"2500";"-";"(8931.469) 41504.810";"(-5.15) 0.8";"(-0.86) -1.72";"OK";"8931.469";"-5.15";"-0.86";"41504.810";"0.8";"-1.72"
"ZONE I";"-";"2*50R";"(4444.800) 41533.890";"(-9) 0.8";"(-5) -1.72";"OK";"4444.800";"-9";"-5";"41533.890";"0.8";"-1.72"
