sep=;
"No.";"Time [s]";"I [cd]";"Irel [%]"
1;0;57416.2;0.13
2;10;57376.2;0.05
3;20;57346.2;0.00
4;30;57316.2;-0.05
5;40;57306.3;-0.07
6;50;57256.3;-0.16
7;60;57226.3;-0.22
8;70;57206.3;-0.25
9;80;57156.3;-0.34
10;90;57126.3;-0.39
11;100;57106.3;-0.43
12;110;57056.3;-0.52
13;120;57066.3;-0.50
14;130;57036.3;-0.56
15;140;56986.3;-0.65
16;150;56976.3;-0.66
17;160;56936.3;-0.74
18;170;56936.3;-0.74
19;180;56906.3;-0.79
20;190;56846.4;-0.90
21;200;56836.4;-0.92
22;210.016;56816.4;-0.95
23;220.016;56806.4;-0.97
24;230.016;56796.4;-0.99
25;240.016;56756.4;-1.06
26;250.016;56726.4;-1.11
27;260.016;56706.4;-1.15
28;270.032;56706.4;-1.15
29;280.032;56686.4;-1.18
30;290.032;56656.4;-1.24
31;300.032;56606.4;-1.33
32;310.032;56606.4;-1.33
33;320.032;56566.4;-1.40
34;330.032;56566.4;-1.40
35;340.032;56556.4;-1.42
36;350.032;56526.4;-1.47
37;360.032;56506.4;-1.51
38;370.032;56486.4;-1.54
39;380.032;56466.5;-1.58
40;390.032;56446.5;-1.62
41;400.032;56416.5;-1.67
42;410.032;56416.5;-1.67
43;420.032;56386.5;-1.72
44;430.032;56366.5;-1.76
45;440.032;56376.5;-1.74
46;450.047;56346.5;-1.80
47;460.047;56316.5;-1.85
48;470.047;56296.5;-1.89
49;480.063;56306.5;-1.87
50;490.063;56276.5;-1.92
51;500.063;56246.5;-1.97
52;510.063;56256.5;-1.96
53;520.063;56236.5;-1.99
54;530.063;56206.5;-2.05
55;540.063;56206.5;-2.05
56;550.063;56176.5;-2.10
57;560.063;56166.5;-2.12
58;570.063;56176.5;-2.10
59;580.063;56156.5;-2.14
60;590.063;56116.5;-2.21
61;600.063;56126.5;-2.19
62;610.063;56116.5;-2.21
63;620.063;56096.5;-2.24
64;630.063;56076.5;-2.28
65;640.063;56086.5;-2.26
66;650.078;56066.5;-2.30
67;660.078;56036.6;-2.35
68;670.078;56016.6;-2.39
69;680.078;56016.6;-2.39
70;690.078;55976.6;-2.46
71;700.078;55996.6;-2.42
72;710.078;55966.6;-2.48
73;720.078;55956.6;-2.50
74;730.078;55956.6;-2.50
75;740.078;55936.6;-2.53
76;750.078;55926.6;-2.55
77;760.078;55926.6;-2.55
78;770.078;55896.6;-2.60
79;780.078;55886.6;-2.62
80;790.078;55886.6;-2.62
81;800.078;55886.6;-2.62
82;810.078;55866.6;-2.66
83;820.078;55846.6;-2.69
84;830.078;55836.6;-2.71
85;840.078;55826.6;-2.73
86;850.078;55816.6;-2.75
87;860.078;55816.6;-2.75
88;870.078;55796.6;-2.78
89;880.078;55776.6;-2.82
90;890.078;55776.6;-2.82
91;900.078;55766.6;-2.84
92;910.078;55746.6;-2.87
93;920.078;55746.6;-2.87
94;930.078;55736.6;-2.89
95;940.078;55716.6;-2.93
96;950.078;55686.6;-2.98
97;960.078;55706.6;-2.94
98;970.078;55696.6;-2.96
99;980.078;55696.6;-2.96
