sep=;
"No.";"Time [s]";"I [cd]";"Irel [%]"
1;0;6775.4;0.00
2;10;6773.4;-0.03
3;20;6773.4;-0.03
4;30;6774.4;-0.02
5;40.015;6770.4;-0.08
6;50.015;6769.4;-0.09
7;60.015;6767.4;-0.12
8;70.015;6770.4;-0.08
9;80.015;6764.4;-0.17
10;90.015;6765.4;-0.15
11;100.015;6761.4;-0.21
12;110.015;6760.4;-0.23
13;120.015;6759.4;-0.24
14;130.015;6758.4;-0.26
15;140.015;6758.4;-0.26
16;150.015;6756.4;-0.29
17;160.015;6755.4;-0.30
18;170.015;6752.4;-0.35
19;180.015;6753.4;-0.33
20;190.015;6750.4;-0.38
21;200.015;6751.4;-0.36
22;210.031;6747.4;-0.42
23;220.031;6745.4;-0.45
24;230.031;6744.4;-0.47
25;240.031;6741.4;-0.51
26;250.031;6742.4;-0.50
27;260.031;6740.4;-0.53
28;270.047;6740.4;-0.53
29;280.047;6738.4;-0.56
30;290.047;6736.4;-0.59
31;300.047;6735.4;-0.60
32;310.047;6732.4;-0.65
33;320.047;6729.4;-0.69
34;330.047;6731.4;-0.66
35;340.047;6723.4;-0.78
36;350.047;6726.4;-0.74
37;360.047;6724.4;-0.77
38;370.047;6725.4;-0.75
39;380.047;6722.4;-0.80
40;390.047;6719.4;-0.84
41;400.047;6719.4;-0.84
42;410.047;6717.4;-0.87
43;420.047;6715.4;-0.90
44;430.047;6714.4;-0.92
45;440.047;6713.4;-0.93
46;450.047;6709.4;-0.99
47;460.047;6711.4;-0.96
48;470.047;6709.4;-0.99
49;480.047;6707.4;-1.02
50;490.047;6705.4;-1.05
51;500.047;6703.4;-1.08
52;510.047;6701.4;-1.11
53;520.047;6699.4;-1.14
54;530.047;6700.4;-1.13
55;540.047;6698.4;-1.16
56;550.047;6698.4;-1.16
57;560.047;6696.4;-1.19
58;570.047;6694.4;-1.22
59;580.047;6693.4;-1.23
60;590.047;6691.4;-1.26
61;600.047;6687.4;-1.32
62;610.047;6688.4;-1.31
63;620.047;6685.4;-1.36
64;630.047;6684.4;-1.37
65;640.047;6683.4;-1.39
66;650.047;6683.4;-1.39
67;660.047;6681.4;-1.42
68;670.047;6678.4;-1.46
69;680.047;6676.4;-1.49
70;690.047;6676.4;-1.49
71;700.047;6675.4;-1.51
72;710.047;6676.4;-1.49
73;720.047;6672.4;-1.55
74;730.047;6672.4;-1.55
75;740.047;6669.4;-1.60
76;750.047;6668.4;-1.61
77;760.047;6667.4;-1.63
78;770.047;6666.4;-1.64
79;780.047;6664.4;-1.67
80;790.047;6661.4;-1.72
81;800.047;6661.4;-1.72
82;810.047;6661.4;-1.72
83;820.047;6660.4;-1.73
84;830.047;6658.4;-1.76
85;840.047;6656.4;-1.79
86;850.047;6655.4;-1.81
87;860.047;6654.4;-1.82
88;870.047;6650.4;-1.88
89;880.062;6650.4;-1.88
90;890.062;6651.4;-1.87
91;900.062;6648.4;-1.91
92;910.078;6648.4;-1.91
93;920.078;6646.4;-1.94
94;930.078;6644.4;-1.97
95;940.078;6644.4;-1.97
96;950.078;6641.4;-2.02
97;960.078;6640.4;-2.03
