sep=;
"Name:";"JW1 PE HPV DOM HL LED LOW (OPT ASSY-LED)(C MODE) LH#1 2025-09-01"
"Number:";""
"Report:";"JO WON JIN"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(LMT #01 GO H-1300)"
"Voltage:";"13.2131 V";"Date:";"2025-09-02 ¿ÀÀü 2:28:44"
"Current:";"0.00000 A";"File:";"JW1 PE HPV DOM HL LED LOW (OPT ASSY-LED)(C MODE) LH#1 2025-09-01"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"B 50L";"50";"350";"215.2483";"-3.43";"0.57";"OK";"215.2483";"-3.43";"0.57";"215.2483";"-3.43";"0.57"
"HV";"50";"625";"273.1345";"0";"0";"OK";"273.1345";"0";"0";"273.1345";"0";"0"
"BR";"50";"1750";"222.1467";"2.5";"1";"OK";"222.1467";"2.5";"1";"222.1467";"2.5";"1"
"Segment BRR";"50";"3550";"(170.5591) 326.4217";"(8) 16.7";"0.57";"OK";"170.5591";"8";"0.57";"326.4217";"16.7";"0.57"
"Segment BLL";"50";"625";"(125.8698) 166.9599";"(-15.8) -19.8";"0.57";"OK";"125.8698";"-15.8";"0.57";"166.9599";"-19.8";"0.57"
"P";"63";"-";"1473.6460";"-7";"0";"OK";"1473.6460";"-7";"0";"1473.6460";"-7";"0"
"Zone III a";"-";"625";"(62.3350) 309.9256";"(8) 0";"(4) 0.2";"OK";"62.3350";"8";"4";"309.9256";"0";"0.2"
"S50LL";"-";"-";"76.9815";"-8";"4";"OK";"76.9815";"-8";"4";"76.9815";"-8";"4"
"S50";"-";"-";"91.9779";"0";"4";"OK";"91.9779";"0";"4";"91.9779";"0";"4"
"S50RR";"-";"-";"62.0851";"8";"4";"OK";"62.0851";"8";"4";"62.0851";"8";"4"
"S100LL";"-";"-";"142.8657";"-4";"2";"OK";"142.8657";"-4";"2";"142.8657";"-4";"2"
"S100";"-";"-";"152.0635";"0";"2";"OK";"152.0635";"0";"2";"152.0635";"0";"2"
"S100RR";"-";"-";"124.1702";"4";"2";"OK";"124.1702";"4";"2";"124.1702";"4";"2"
"75R";"10100";"-";"27923.3000";"1.15";"-0.57";"OK";"27923.3000";"1.15";"-0.57";"27923.3000";"1.15";"-0.57"
"50V";"5100";"-";"25923.7800";"0";"-0.86";"OK";"25923.7800";"0";"-0.86";"25923.7800";"0";"-0.86"
"50L";"3550";"18500";"13046.8700";"-3.43";"-0.86";"OK";"13046.8700";"-3.43";"-0.86";"13046.8700";"-3.43";"-0.86"
"25LL";"1180";"-";"5381.7080";"-16";"-1.72";"OK";"5381.7080";"-16";"-1.72";"5381.7080";"-16";"-1.72"
"25RR";"1180";"-";"6526.4340";"11";"-1.72";"OK";"6526.4340";"11";"-1.72";"6526.4340";"11";"-1.72"
"Segment 10";"-";"12300";"(521.9747) 9687.6750";"(2) -1.1";"(-10) -4";"OK";"521.9747";"2";"-10";"9687.6750";"-1.1";"-4"
"MAX";"16900";"44100";"29272.9700";"0.1";"-1.15";"OK";"29272.9700";"0.1";"-1.15";"29272.9700";"0.1";"-1.15"
