sep=;
"No.";"Time [s]";"I [cd]";"Irel [%]"
1;0;6586.4;0.00
2;10;6579.4;-0.11
3;20;6574.4;-0.18
4;30;6574.4;-0.18
5;40;6569.4;-0.26
6;50;6569.4;-0.26
7;60;6570.4;-0.25
8;70;6569.4;-0.26
9;80;6569.4;-0.26
10;90.015;6570.4;-0.25
11;100.015;6569.4;-0.26
12;110.015;6567.4;-0.29
13;120.015;6566.4;-0.31
14;130.015;6568.4;-0.28
15;140.015;6567.4;-0.29
16;150.015;6565.4;-0.32
17;160.015;6564.4;-0.34
18;170.015;6563.4;-0.35
19;180.015;6562.4;-0.37
20;190.015;6564.4;-0.34
21;200.015;6562.4;-0.37
22;210.015;6560.4;-0.40
23;220.015;6557.4;-0.44
24;230.015;6563.4;-0.35
25;240.015;6560.4;-0.40
26;250.015;6560.4;-0.40
27;260.015;6558.4;-0.43
28;270.015;6559.4;-0.41
29;280.015;6554.4;-0.49
30;290.015;6556.4;-0.46
31;300.015;6557.4;-0.44
32;310.015;6551.4;-0.54
33;320.015;6553.4;-0.51
34;330.015;6554.4;-0.49
35;340.015;6554.4;-0.49
36;350.015;6549.4;-0.57
37;360.015;6553.4;-0.51
38;370.015;6551.4;-0.54
39;380.015;6550.4;-0.55
40;390.015;6549.4;-0.57
41;400.015;6550.4;-0.55
42;410.015;6550.4;-0.55
43;420.015;6549.4;-0.57
44;430.015;6548.4;-0.58
45;440.015;6547.4;-0.60
46;450.015;6547.4;-0.60
47;460.015;6548.4;-0.58
48;470.015;6549.4;-0.57
49;480.015;6546.4;-0.61
50;490.015;6545.4;-0.63
51;500.015;6546.4;-0.61
52;510.031;6543.4;-0.66
53;520.031;6541.4;-0.69
54;530.031;6543.4;-0.66
55;540.046;6545.4;-0.63
56;550.046;6542.4;-0.67
57;560.046;6542.4;-0.67
58;570.046;6544.4;-0.64
59;580.046;6543.4;-0.66
60;590.046;6542.4;-0.67
61;600.046;6540.4;-0.70
62;610.046;6542.4;-0.67
63;620.046;6539.4;-0.72
64;630.046;6539.4;-0.72
65;640.046;6539.4;-0.72
66;650.046;6539.4;-0.72
67;660.046;6539.4;-0.72
68;670.046;6536.4;-0.77
69;680.046;6533.4;-0.81
70;690.046;6533.4;-0.81
71;700.046;6532.4;-0.83
72;710.046;6534.4;-0.80
73;720.046;6534.4;-0.80
74;730.046;6535.4;-0.78
75;740.046;6533.4;-0.81
76;750.046;6532.4;-0.83
77;760.046;6533.4;-0.81
78;770.046;6533.4;-0.81
79;780.046;6532.4;-0.83
80;790.046;6532.4;-0.83
81;800.046;6530.4;-0.86
82;810.046;6528.4;-0.89
83;820.046;6530.4;-0.86
84;830.046;6527.4;-0.90
85;840.046;6527.4;-0.90
86;850.046;6531.4;-0.84
87;860.046;6527.4;-0.90
88;870.046;6526.4;-0.92
89;880.046;6529.4;-0.87
90;890.062;6527.4;-0.90
91;900.062;6524.4;-0.95
92;910.062;6524.4;-0.95
93;920.062;6525.4;-0.93
94;930.062;6524.4;-0.95
95;940.062;6526.4;-0.92
96;950.062;6524.4;-0.95
97;960.062;6523.4;-0.97
