sep=;
"Name:";"JW1 PE HPV DOM HL LED LOW (OPT ASSY-LED)(E MODE) LH#1 2025-09-01"
"Number:";""
"Report:";"JO WON JIN"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(LMT #01 GO H-1300)"
"Voltage:";"0.0000 V";"Date:";"2025-09-01 ¿ÀÈÄ 10:11:54"
"Current:";"0.00000 A";"File:";"JW1 PE HPV DOM HL LED LOW (OPT ASSY-LED)(E MODE) LH#1 2025-09-01"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"B 50L";"50";"625";"223.0465";"-3.43";"0.57";"OK";"223.0465";"-3.43";"0.57";"223.0465";"-3.43";"0.57"
"HV";"50";"-";"276.8336";"0";"0";"OK";"276.8336";"0";"0";"276.8336";"0";"0"
"BR";"50";"1750";"226.3457";"2.5";"1";"OK";"226.3457";"2.5";"1";"226.3457";"2.5";"1"
"Segment BRR";"-";"3550";"(179.3569) 342.1679";"(8) 16.6";"0.57";"OK";"179.3569";"8";"0.57";"342.1679";"16.6";"0.57"
"Segment BLL";"-";"880";"(129.4689) 173.9582";"(-15.9) -19.7";"0.57";"OK";"129.4689";"-15.9";"0.57";"173.9582";"-19.7";"0.57"
"Zone III b";"-";"880";"(61.3519) 284.2318";"(8) -0.5";"(4) 0.34";"OK";"61.3519";"8";"4";"284.2318";"-0.5";"0.34"
"S50LL";"-";"-";"77.4814";"-8";"4";"OK";"77.4814";"-8";"4";"77.4814";"-8";"4"
"S50";"-";"-";"92.5778";"0";"4";"OK";"92.5778";"0";"4";"92.5778";"0";"4"
"S50RR";"-";"-";"62.2851";"8";"4";"OK";"62.2851";"8";"4";"62.2851";"8";"4"
"S100LL";"-";"-";"144.2654";"-4";"2";"OK";"144.2654";"-4";"2";"144.2654";"-4";"2"
"S100";"-";"-";"153.4632";"0";"2";"OK";"153.4632";"0";"2";"153.4632";"0";"2"
"S100RR";"-";"0";"124.2702";"4";"2";"OK";"124.2702";"4";"2";"124.2702";"4";"2"
"75R";"15200";"-";"28083.2600";"1.15";"-0.57";"OK";"28083.2600";"1.15";"-0.57";"28083.2600";"1.15";"-0.57"
"50V";"10100";"-";"26973.5300";"0";"-0.86";"OK";"26973.5300";"0";"-0.86";"26973.5300";"0";"-0.86"
"50L";"6800";"-";"13896.6600";"-3.43";"-0.86";"OK";"13896.6600";"-3.43";"-0.86";"13896.6600";"-3.43";"-0.86"
"25LL";"1180";"-";"5449.6920";"-16";"-1.72";"OK";"5449.6920";"-16";"-1.72";"5449.6920";"-16";"-1.72"
"25RR";"1180";"-";"6509.4380";"11";"-1.72";"OK";"6509.4380";"11";"-1.72";"6509.4380";"11";"-1.72"
"Segment 10";"-";"12300";"(526.9735) 9727.6650";"(2) -1.2";"(-10) -4";"OK";"526.9735";"2";"-10";"9727.6650";"-1.2";"-4"
"MAX";"16900";"79300";"29143.0000";"0.15";"-1.1";"OK";"29143.0000";"0.15";"-1.1";"29143.0000";"0.15";"-1.1"
