sep=;
"No.";"Time [s]";"I [cd]";"Irel [%]"
1;0;59365.8;2.74
2;10;59245.8;2.53
3;20;59135.8;2.33
4;30;59095.8;2.26
5;40;58835.9;1.80
6;50;58915.9;1.94
7;60;58855.9;1.83
8;70;58745.9;1.64
9;80;58655.9;1.48
10;90;58655.9;1.48
11;100;58556.0;1.30
12;110;58466.0;1.14
13;120;58426.0;1.07
14;130;58366.0;0.96
15;140;58306.0;0.85
16;150;58276.0;0.80
17;160;58276.0;0.80
18;170;58216.0;0.69
19;180;58156.0;0.59
20;190;58126.1;0.53
21;200;58116.1;0.52
22;210;58016.1;0.34
23;220;58016.1;0.34
24;230;57956.1;0.23
25;240;57896.1;0.12
26;250;57906.1;0.14
27;260;57826.1;0.00
28;270;57796.1;-0.05
29;280.016;57766.1;-0.11
30;290.016;57746.1;-0.14
31;300.016;57686.2;-0.25
32;310.031;57666.2;-0.28
33;320.031;57626.2;-0.36
34;330.031;57586.2;-0.43
35;340.031;57586.2;-0.43
36;350.031;57556.2;-0.48
37;360.031;57516.2;-0.55
38;370.031;57486.2;-0.61
39;380.031;57456.2;-0.66
40;390.031;57486.2;-0.61
41;400.031;57446.2;-0.68
42;410.031;57426.2;-0.71
43;420.031;57366.2;-0.82
44;430.031;57346.2;-0.85
45;440.031;57326.2;-0.89
46;450.031;57316.2;-0.91
47;460.031;57296.3;-0.94
48;470.031;57256.3;-1.01
49;480.031;57256.3;-1.01
50;490.031;57236.3;-1.05
51;500.031;57206.3;-1.10
52;510.031;57196.3;-1.12
53;520.031;57176.3;-1.16
54;530.031;57156.3;-1.19
55;540.031;57126.3;-1.25
56;550.031;57086.3;-1.32
57;560.031;57086.3;-1.32
58;570.031;57066.3;-1.35
59;580.031;57056.3;-1.37
60;590.031;57006.3;-1.46
61;600.031;57006.3;-1.46
62;610.031;56996.3;-1.48
63;620.031;56966.3;-1.53
64;630.031;56946.3;-1.57
65;640.031;56936.3;-1.58
66;650.031;56916.3;-1.62
67;660.031;56876.4;-1.69
68;670.031;56896.3;-1.66
69;680.031;56866.4;-1.71
70;690.031;56856.4;-1.73
71;700.031;56806.4;-1.82
72;710.047;56806.4;-1.82
73;720.047;56766.4;-1.89
74;730.047;56796.4;-1.83
75;740.047;56756.4;-1.91
76;750.047;56766.4;-1.89
77;760.047;56736.4;-1.94
78;770.047;56716.4;-1.98
79;780.047;56696.4;-2.01
80;790.047;56676.4;-2.05
81;800.047;56666.4;-2.07
82;810.047;56666.4;-2.07
83;820.047;56636.4;-2.12
84;830.047;56636.4;-2.12
85;840.047;56616.4;-2.15
86;850.047;56606.4;-2.17
87;860.047;56606.4;-2.17
88;870.047;56586.4;-2.21
89;880.047;56566.4;-2.24
90;890.047;56526.4;-2.31
91;900.062;56516.4;-2.33
92;910.062;56516.4;-2.33
93;920.062;56506.4;-2.35
94;930.062;56486.4;-2.39
95;940.062;56486.4;-2.39
96;950.062;56436.5;-2.48
97;960.062;56476.5;-2.40
98;970.062;56416.5;-2.51
99;980.062;56416.5;-2.51
100;990.062;56396.5;-2.55
101;1000.062;56406.5;-2.53
102;1010.062;56396.5;-2.55
103;1020.062;56386.5;-2.56
104;1030.062;56396.5;-2.55
105;1040.062;56346.5;-2.64
106;1050.062;56346.5;-2.64
107;1060.062;56326.5;-2.67
108;1070.062;56336.5;-2.65
109;1080.078;56306.5;-2.71
110;1090.078;56286.5;-2.74
111;1100.078;56276.5;-2.76
112;1110.078;56266.5;-2.78
113;1120.078;56266.5;-2.78
114;1130.078;56236.5;-2.83
115;1140.078;56246.5;-2.81
116;1150.078;56226.5;-2.85
117;1160.078;56216.5;-2.87
118;1170.078;56196.5;-2.90
119;1180.078;56196.5;-2.90
120;1190.078;56186.5;-2.92
121;1200.078;56166.5;-2.96
122;1210.078;56156.5;-2.97
123;1220.078;56146.5;-2.99
