sep=;
"No.";"Time [s]";"I [cd]";"Irel [%]"
1;0;6968.3;0.00
2;10;6968.3;0.00
3;20;6970.3;0.03
4;30;6973.3;0.07
5;40;6973.3;0.07
6;50;6974.3;0.09
7;60;6968.3;0.00
8;70;6974.3;0.09
9;80;6964.3;-0.06
10;90;6969.3;0.01
11;100;6970.3;0.03
12;110;6967.3;-0.01
13;120;6964.3;-0.06
14;130;6967.3;-0.01
15;140;6962.3;-0.09
16;150;6961.3;-0.10
17;160;6956.3;-0.17
18;170;6954.3;-0.20
19;180;6955.3;-0.19
20;190;6957.3;-0.16
21;200;6952.3;-0.23
22;210;6949.3;-0.28
23;220;6950.3;-0.26
24;230;6949.3;-0.28
25;240;6947.3;-0.31
26;250;6943.3;-0.36
27;260;6940.3;-0.41
28;270;6943.3;-0.36
29;280;6942.3;-0.38
30;290;6938.3;-0.44
31;300;6939.3;-0.42
32;310;6936.3;-0.47
33;320;6937.3;-0.45
34;330;6928.3;-0.58
35;340;6928.3;-0.58
36;350;6933.3;-0.51
37;360;6930.3;-0.55
38;370;6926.3;-0.61
39;380;6927.3;-0.60
40;390;6922.3;-0.67
41;400;6922.3;-0.67
42;410;6919.3;-0.71
43;420;6919.3;-0.71
44;430;6917.3;-0.74
45;440.016;6916.3;-0.76
46;450.016;6914.3;-0.79
47;460.016;6912.3;-0.82
48;470.016;6917.3;-0.74
49;480.016;6907.3;-0.89
50;490.016;6908.3;-0.87
51;500.016;6905.3;-0.92
52;510.016;6907.3;-0.89
53;520.016;6904.3;-0.93
54;530.016;6906.3;-0.90
55;540.016;6906.3;-0.90
56;550.016;6903.3;-0.95
57;560.016;6905.3;-0.92
58;570.016;6901.3;-0.98
59;580.016;6900.3;-0.99
60;590.016;6900.3;-0.99
61;600.016;6898.3;-1.02
62;610.016;6898.3;-1.02
63;620.016;6897.3;-1.03
64;630.016;6895.3;-1.06
65;640.016;6893.3;-1.09
66;650.016;6894.3;-1.08
67;660.016;6891.3;-1.12
68;670.016;6891.3;-1.12
69;680.016;6891.3;-1.12
70;690.016;6890.3;-1.14
71;700.016;6889.3;-1.15
72;710.016;6889.3;-1.15
73;720.016;6889.3;-1.15
74;730.016;6887.3;-1.18
75;740.016;6887.3;-1.18
76;750.032;6887.3;-1.18
77;760.032;6883.3;-1.24
78;770.032;6884.3;-1.22
79;780.032;6882.3;-1.25
80;790.032;6882.3;-1.25
81;800.032;6880.3;-1.28
82;810.032;6879.3;-1.30
83;820.032;6878.3;-1.31
84;830.032;6876.4;-1.34
85;840.032;6874.4;-1.37
86;850.032;6876.4;-1.34
87;860.032;6874.4;-1.37
88;870.032;6874.4;-1.37
89;880.032;6871.4;-1.41
90;890.032;6873.4;-1.38
91;900.032;6872.4;-1.40
92;910.032;6871.4;-1.41
93;920.032;6868.4;-1.46
94;930.032;6870.4;-1.43
95;940.032;6872.4;-1.40
96;950.032;6865.4;-1.50
97;960.032;6867.4;-1.47
