sep=;
"Name:";"JW1 PE HPV DOM HL LED LOW(OPT ASSY-LED)(C MODE) LH#2 2025-09-02"
"Number:";""
"Report:";"JO WON JIN"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(LMT #01 GO H-1300)"
"Voltage:";"13.2129 V";"Date:";"2025-09-02 ¿ÀÈÄ 8:33:33"
"Current:";"0.00000 A";"File:";"JW1 PE HPV DOM HL LED LOW(OPT ASSY-LED)(C MODE) LH#2 2025-09-02"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"B 50L";"50";"350";"214.5485";"-3.43";"0.57";"OK";"214.5485";"-3.43";"0.57";"214.5485";"-3.43";"0.57"
"HV";"50";"625";"238.8427";"0";"0";"OK";"238.8427";"0";"0";"238.8427";"0";"0"
"BR";"50";"1750";"207.3502";"2.5";"1";"OK";"207.3502";"2.5";"1";"207.3502";"2.5";"1"
"Segment BRR";"50";"3550";"(172.0254) 423.1651";"(8) 16.1";"0.57";"OK";"172.0254";"8";"0.57";"423.1651";"16.1";"0.57"
"Segment BLL";"50";"625";"(124.8700) 175.7578";"(-15.7) -20";"0.57";"OK";"124.8700";"-15.7";"0.57";"175.7578";"-20";"0.57"
"P";"63";"-";"2642.3660";"-7";"0";"OK";"2642.3660";"-7";"0";"2642.3660";"-7";"0"
"Zone III a";"-";"625";"(60.9854) 275.9338";"(8) 0.2";"(4) 0.2";"OK";"60.9854";"8";"4";"275.9338";"0.2";"0.2"
"S50LL";"-";"-";"99.9760";"-8";"4";"OK";"99.9760";"-8";"4";"99.9760";"-8";"4"
"S50";"-";"-";"95.2771";"0";"4";"OK";"95.2771";"0";"4";"95.2771";"0";"4"
"S50RR";"-";"-";"60.7854";"8";"4";"OK";"60.7854";"8";"4";"60.7854";"8";"4"
"S100LL";"-";"-";"166.2601";"-4";"2";"OK";"166.2601";"-4";"2";"166.2601";"-4";"2"
"S100";"-";"-";"165.1604";"0";"2";"OK";"165.1604";"0";"2";"165.1604";"0";"2"
"S100RR";"-";"-";"120.5711";"4";"2";"OK";"120.5711";"4";"2";"120.5711";"4";"2"
"75R";"10100";"-";"28003.2800";"1.15";"-0.57";"OK";"28003.2800";"1.15";"-0.57";"28003.2800";"1.15";"-0.57"
"50V";"5100";"-";"26363.6700";"0";"-0.86";"OK";"26363.6700";"0";"-0.86";"26363.6700";"0";"-0.86"
"50L";"3550";"18500";"14576.5000";"-3.43";"-0.86";"OK";"14576.5000";"-3.43";"-0.86";"14576.5000";"-3.43";"-0.86"
"25LL";"1180";"-";"5359.7130";"-16";"-1.72";"OK";"5359.7130";"-16";"-1.72";"5359.7130";"-16";"-1.72"
"25RR";"1180";"-";"6849.3560";"11";"-1.72";"OK";"6849.3560";"11";"-1.72";"6849.3560";"11";"-1.72"
"Segment 10";"-";"12300";"(582.6602) 9523.7140";"(1.6) -0.7";"(-10) -4";"OK";"582.6602";"1.6";"-10";"9523.7140";"-0.7";"-4"
"MAX";"16900";"44100";"29792.8500";"0.1";"-1.45";"OK";"29792.8500";"0.1";"-1.45";"29792.8500";"0.1";"-1.45"
