sep=;
"No.";"Time [s]";"I [cd]";"Irel [%]"
1;0;6888.3;0.00
2;10;6886.3;-0.03
3;20;6885.3;-0.04
4;30;6884.3;-0.06
5;40;6886.3;-0.03
6;50;6885.3;-0.04
7;60;6885.3;-0.04
8;70;6878.3;-0.15
9;80;6881.3;-0.10
10;90;6873.4;-0.22
11;100;6878.3;-0.15
12;110;6880.3;-0.12
13;120;6879.3;-0.13
14;130;6872.4;-0.23
15;140;6878.3;-0.15
16;150;6872.4;-0.23
17;160;6874.4;-0.21
18;170;6875.4;-0.19
19;180;6872.4;-0.23
20;190;6873.4;-0.22
21;200.016;6873.4;-0.22
22;210.016;6869.4;-0.28
23;220.016;6867.4;-0.31
24;230.016;6867.4;-0.31
25;240.016;6868.4;-0.29
26;250.016;6863.4;-0.37
27;260.016;6867.4;-0.31
28;270.016;6865.4;-0.34
29;280.016;6862.4;-0.38
30;290.016;6863.4;-0.37
31;300.016;6864.4;-0.35
32;310.016;6860.4;-0.41
33;320.016;6858.4;-0.44
34;330.016;6866.4;-0.32
35;340.016;6856.4;-0.47
36;350.016;6858.4;-0.44
37;360.016;6858.4;-0.44
38;370.016;6863.4;-0.37
39;380.016;6853.4;-0.51
40;390.016;6854.4;-0.50
41;400.016;6858.4;-0.44
42;410.016;6854.4;-0.50
43;420.016;6855.4;-0.48
44;430.016;6853.4;-0.51
45;440.016;6851.4;-0.54
46;450.016;6851.4;-0.54
47;460.016;6851.4;-0.54
48;470.016;6850.4;-0.56
49;480.016;6849.4;-0.57
50;490.016;6849.4;-0.57
51;500.016;6847.4;-0.60
52;510.016;6850.4;-0.56
53;520.016;6848.4;-0.59
54;530.032;6845.4;-0.63
55;540.032;6846.4;-0.62
56;550.032;6846.4;-0.62
57;560.032;6843.4;-0.66
58;570.032;6843.4;-0.66
59;580.032;6845.4;-0.63
60;590.032;6841.4;-0.69
61;600.047;6843.4;-0.66
62;610.047;6841.4;-0.69
63;620.047;6845.4;-0.63
64;630.047;6840.4;-0.70
65;640.047;6841.4;-0.69
66;650.047;6839.4;-0.72
67;660.047;6838.4;-0.73
68;670.047;6839.4;-0.72
69;680.047;6838.4;-0.73
70;690.047;6837.4;-0.75
71;700.047;6837.4;-0.75
72;710.047;6837.4;-0.75
73;720.047;6835.4;-0.78
74;730.047;6837.4;-0.75
75;740.047;6834.4;-0.79
76;750.047;6832.4;-0.82
77;760.047;6834.4;-0.79
78;770.047;6834.4;-0.79
79;780.047;6833.4;-0.81
80;790.047;6830.4;-0.85
81;800.047;6830.4;-0.85
82;810.047;6829.4;-0.86
83;820.047;6831.4;-0.84
84;830.047;6830.4;-0.85
85;840.047;6826.4;-0.91
86;850.047;6829.4;-0.86
87;860.047;6826.4;-0.91
88;870.047;6827.4;-0.89
89;880.047;6827.4;-0.89
90;890.063;6825.4;-0.92
91;900.063;6823.4;-0.95
92;910.063;6824.4;-0.94
93;920.063;6821.4;-0.98
94;930.063;6823.4;-0.95
95;940.063;6822.4;-0.97
96;950.063;6821.4;-0.98
97;960.063;6823.4;-0.95
