sep=;
"Name:";"JW1 PE HPV DOM HL LED LOW(OPT ASSY-LED)(E MODE) LH#2 2025-09-02"
"Number:";""
"Report:";"JO WON JIN"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(LMT #01 GO H-1300)"
"Voltage:";"13.2131 V";"Date:";"2025-09-02 ¿ÀÈÄ 9:42:05"
"Current:";"0.00000 A";"File:";"JW1 PE HPV DOM HL LED LOW(OPT ASSY-LED)(E MODE) LH#2 2025-09-02"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"B 50L";"50";"625";"216.7480";"-3.43";"0.57";"OK";"216.7480";"-3.43";"0.57";"216.7480";"-3.43";"0.57"
"HV";"50";"-";"237.5430";"0";"0";"OK";"237.5430";"0";"0";"237.5430";"0";"0"
"BR";"50";"1750";"205.9506";"2.5";"1";"OK";"205.9506";"2.5";"1";"205.9506";"2.5";"1"
"Segment BRR";"-";"3550";"(176.5376) 446.7528";"(8) 16.2";"0.57";"OK";"176.5376";"8";"0.57";"446.7528";"16.2";"0.57"
"Segment BLL";"-";"880";"(126.8695) 182.1563";"(-15.7) -20";"0.57";"OK";"126.8695";"-15.7";"0.57";"182.1563";"-20";"0.57"
"Zone III b";"-";"880";"(59.4857) 256.9383";"(8) -0.5";"(4) 0.34";"OK";"59.4857";"8";"4";"256.9383";"-0.5";"0.34"
"S50LL";"-";"-";"100.8758";"-8";"4";"OK";"100.8758";"-8";"4";"100.8758";"-8";"4"
"S50";"-";"-";"95.8770";"0";"4";"OK";"95.8770";"0";"4";"95.8770";"0";"4"
"S50RR";"-";"-";"60.8854";"8";"4";"OK";"60.8854";"8";"4";"60.8854";"8";"4"
"S100LL";"-";"-";"167.4598";"-4";"2";"OK";"167.4598";"-4";"2";"167.4598";"-4";"2"
"S100";"-";"-";"166.9599";"0";"2";"OK";"166.9599";"0";"2";"166.9599";"0";"2"
"S100RR";"-";"0";"119.4713";"4";"2";"OK";"119.4713";"4";"2";"119.4713";"4";"2"
"75R";"15200";"-";"28123.2500";"1.15";"-0.57";"OK";"28123.2500";"1.15";"-0.57";"28123.2500";"1.15";"-0.57"
"50V";"10100";"-";"26903.5400";"0";"-0.86";"OK";"26903.5400";"0";"-0.86";"26903.5400";"0";"-0.86"
"50L";"6800";"-";"15116.3700";"-3.43";"-0.86";"OK";"15116.3700";"-3.43";"-0.86";"15116.3700";"-3.43";"-0.86"
"25LL";"1180";"-";"5391.7060";"-16";"-1.72";"OK";"5391.7060";"-16";"-1.72";"5391.7060";"-16";"-1.72"
"25RR";"1180";"-";"6801.3680";"11";"-1.72";"OK";"6801.3680";"11";"-1.72";"6801.3680";"11";"-1.72"
"Segment 10";"-";"12300";"(585.7594) 9627.6890";"(1.7) -0.9";"(-10) -4";"OK";"585.7594";"1.7";"-10";"9627.6890";"-0.9";"-4"
"MAX";"16900";"79300";"29512.9200";"0.15";"-1.4";"OK";"29512.9200";"0.15";"-1.4";"29512.9200";"0.15";"-1.4"
