sep=;
"No.";"Time [s]";"I [cd]";"Irel [%]"
1;0;63324.8;5.25
2;10;63194.8;5.02
3;20;63124.9;4.90
4;30;63024.9;4.73
5;40;62904.9;4.53
6;50;62814.9;4.37
7;60;62695.0;4.17
8;70.016;62645.0;4.08
9;80.016;62535.0;3.90
10;90.031;62455.0;3.76
11;100.031;62385.0;3.64
12;110.031;62315.0;3.52
13;120.031;62215.1;3.35
14;130.031;62165.1;3.26
15;140.031;62085.1;3.13
16;150.031;62035.1;3.04
17;160.031;61945.1;2.89
18;170.031;61895.1;2.80
19;180.031;61845.2;2.72
20;190.031;61755.2;2.56
21;200.031;61695.2;2.46
22;210.031;61635.2;2.36
23;220.031;61565.2;2.24
24;230.031;61525.2;2.17
25;240.031;61445.3;2.03
26;250.031;61415.3;1.98
27;260.031;61355.3;1.88
28;270.031;61305.3;1.79
29;280.031;61245.3;1.69
30;290.031;61195.3;1.61
31;300.031;61145.3;1.52
32;310.031;61105.3;1.45
33;320.031;61055.3;1.37
34;330.031;61005.4;1.28
35;340.031;60965.4;1.21
36;350.031;60915.4;1.13
37;360.031;60875.4;1.06
38;370.031;60835.4;0.99
39;380.031;60775.4;0.89
40;390.031;60745.4;0.84
41;400.031;60705.4;0.77
42;410.031;60675.4;0.72
43;420.031;60625.5;0.63
44;430.031;60575.5;0.55
45;440.031;60545.5;0.50
46;450.031;60525.5;0.46
47;460.031;60475.5;0.38
48;470.031;60455.5;0.34
49;480.031;60405.5;0.26
50;490.031;60385.5;0.22
51;500.031;60335.5;0.14
52;510.031;60305.5;0.09
53;520.031;60255.5;0.00
54;530.031;60245.5;-0.02
55;540.031;60215.6;-0.07
56;550.031;60195.6;-0.10
57;560.031;60165.6;-0.15
58;570.031;60125.6;-0.22
59;580.031;60085.6;-0.29
60;590.031;60055.6;-0.34
61;600.031;60035.6;-0.38
62;610.031;59995.6;-0.44
63;620.031;59955.6;-0.51
64;630.031;59955.6;-0.51
65;640.031;59925.6;-0.56
66;650.031;59895.6;-0.62
67;660.031;59865.6;-0.67
68;670.031;59835.6;-0.72
69;680.031;59815.6;-0.75
70;690.031;59795.7;-0.79
71;700.031;59765.7;-0.84
72;710.031;59735.7;-0.89
73;720.031;59715.7;-0.92
74;730.031;59725.7;-0.91
75;740.031;59705.7;-0.94
76;750.031;59685.7;-0.97
77;760.031;59665.7;-1.01
78;770.031;59635.7;-1.06
79;780.031;59615.7;-1.09
80;790.031;59595.7;-1.13
81;800.031;59575.7;-1.16
82;810.031;59545.7;-1.21
83;820.031;59525.7;-1.25
84;830.031;59505.7;-1.28
85;840.031;59485.7;-1.32
86;850.031;59475.7;-1.33
87;860.031;59465.7;-1.35
88;870.031;59425.7;-1.42
89;880.031;59415.7;-1.44
90;890.031;59395.7;-1.47
91;900.031;59355.8;-1.54
92;910.031;59335.8;-1.57
93;920.031;59335.8;-1.57
94;930.031;59305.8;-1.62
95;940.031;59285.8;-1.66
96;950.031;59275.8;-1.67
97;960.031;59265.8;-1.69
98;970.031;59235.8;-1.74
99;980.031;59215.8;-1.78
100;990.031;59205.8;-1.79
101;1000.031;59185.8;-1.83
102;1010.031;59165.8;-1.86
103;1020.031;59155.8;-1.88
104;1030.031;59125.8;-1.93
105;1040.031;59115.8;-1.95
106;1050.031;59105.8;-1.96
107;1060.031;59085.8;-2.00
108;1070.031;59075.8;-2.02
109;1080.031;59055.8;-2.05
110;1090.031;59045.8;-2.07
111;1100.031;59035.8;-2.08
112;1110.031;59005.8;-2.14
113;1120.031;59005.8;-2.14
114;1130.031;58985.8;-2.17
115;1140.031;58965.9;-2.20
116;1150.031;58945.9;-2.24
117;1160.031;58945.9;-2.24
118;1170.031;58925.9;-2.27
119;1180.031;58915.9;-2.29
120;1190.031;58895.9;-2.32
121;1200.031;58875.9;-2.36
122;1210.031;58865.9;-2.37
123;1220.031;58845.9;-2.41
124;1230.031;58835.9;-2.43
125;1240.031;58815.9;-2.46
126;1250.031;58795.9;-2.49
127;1260.031;58795.9;-2.49
128;1270.031;58785.9;-2.51
129;1280.031;58765.9;-2.55
130;1290.031;58755.9;-2.56
131;1300.031;58755.9;-2.56
132;1310.031;58735.9;-2.60
133;1320.031;58725.9;-2.61
134;1330.031;58695.9;-2.67
135;1340.031;58695.9;-2.67
136;1350.031;58685.9;-2.68
137;1360.031;58665.9;-2.72
138;1370.031;58655.9;-2.73
139;1380.031;58635.9;-2.77
140;1390.031;58625.9;-2.78
141;1400.031;58615.9;-2.80
142;1410.031;58615.9;-2.80
143;1420.031;58585.9;-2.85
144;1430.031;58585.9;-2.85
145;1440.031;58575.9;-2.87
146;1450.031;58556.0;-2.90
147;1460.031;58546.0;-2.92
148;1470.031;58536.0;-2.94
149;1480.047;58516.0;-2.97
