sep=;
"No.";"Time [s]";"I [cd]";"Irel [%]"
1;0;9857.6;0.00
2;10;9847.6;-0.10
3;20.047;9857.6;0.00
4;30.047;9847.6;-0.10
5;40.047;9847.6;-0.10
6;50.047;9837.6;-0.21
7;60.047;9837.6;-0.21
8;70.047;9837.6;-0.21
9;80.047;9837.6;-0.21
10;90.063;9837.6;-0.21
11;100.063;9827.6;-0.31
12;110.063;9837.6;-0.21
13;120.063;9837.6;-0.21
14;130.063;9827.6;-0.31
15;140.063;9827.6;-0.31
16;150.063;9827.6;-0.31
17;160.063;9817.6;-0.41
18;170.063;9817.6;-0.41
19;180.063;9817.6;-0.41
20;190.063;9817.6;-0.41
21;200.063;9817.6;-0.41
22;210.063;9807.6;-0.51
23;220.063;9817.6;-0.41
24;230.063;9807.6;-0.51
25;240.063;9807.6;-0.51
26;250.063;9807.6;-0.51
27;260.063;9807.6;-0.51
28;270.063;9807.6;-0.51
29;280.063;9807.6;-0.51
30;290.063;9807.6;-0.51
31;300.063;9807.6;-0.51
32;310.063;9797.6;-0.62
33;320.063;9797.6;-0.62
34;330.063;9797.6;-0.62
35;340.063;9797.6;-0.62
36;350.063;9797.6;-0.62
37;360.063;9797.6;-0.62
38;370.063;9787.7;-0.72
39;380.063;9787.7;-0.72
40;390.063;9787.7;-0.72
41;400.078;9787.7;-0.72
42;410.078;9787.7;-0.72
43;420.078;9787.7;-0.72
44;430.078;9787.7;-0.72
45;440.094;9787.7;-0.72
46;450.094;9787.7;-0.72
47;460.094;9777.7;-0.82
48;470.094;9787.7;-0.72
49;480.109;9777.7;-0.82
50;490.109;9777.7;-0.82
51;500.125;9777.7;-0.82
52;510.125;9777.7;-0.82
53;520.125;9777.7;-0.82
54;530.125;9777.7;-0.82
55;540.125;9777.7;-0.82
56;550.125;9767.7;-0.92
57;560.125;9777.7;-0.82
58;570.125;9767.7;-0.92
59;580.125;9767.7;-0.92
60;590.125;9767.7;-0.92
61;600.125;9767.7;-0.92
62;610.125;9767.7;-0.92
63;620.125;9767.7;-0.92
64;630.125;9767.7;-0.92
65;640.125;9767.7;-0.92
66;650.141;9757.7;-1.03
67;660.141;9757.7;-1.03
68;670.141;9757.7;-1.03
69;680.141;9757.7;-1.03
70;690.141;9767.7;-0.92
71;700.141;9757.7;-1.03
72;710.141;9757.7;-1.03
73;720.141;9757.7;-1.03
74;730.141;9757.7;-1.03
75;740.141;9757.7;-1.03
76;750.141;9757.7;-1.03
77;760.141;9757.7;-1.03
78;770.141;9757.7;-1.03
79;780.141;9757.7;-1.03
80;790.141;9747.7;-1.13
81;800.141;9757.7;-1.03
82;810.141;9747.7;-1.13
83;820.141;9757.7;-1.03
84;830.141;9747.7;-1.13
85;840.141;9747.7;-1.13
86;850.141;9747.7;-1.13
87;860.141;9747.7;-1.13
88;870.141;9747.7;-1.13
89;880.141;9737.7;-1.23
90;890.141;9747.7;-1.13
91;900.141;9747.7;-1.13
92;910.141;9737.7;-1.23
93;920.141;9747.7;-1.13
94;930.141;9737.7;-1.23
95;940.141;9737.7;-1.23
96;950.141;9737.7;-1.23
97;960.141;9737.7;-1.23
