sep=;
"Name:";"JW1 PE HPV DOM HL LED LOW (OPT ASSY-LED)(C MODE) RH#1 2025-09-01"
"Number:";""
"Report:";"JO WON JIN"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(LMT #01 GO H-1300)"
"Voltage:";"0.0000 V";"Date:";"2025-09-01 ¿ÀÈÄ 9:33:14"
"Current:";"0.00000 A";"File:";"JW1 PE HPV DOM HL LED LOW (OPT ASSY-LED)(C MODE) RH#1 2025-09-01"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"B 50L";"50";"350";"160.1616";"-3.43";"0.57";"OK";"160.1616";"-3.43";"0.57";"160.1616";"-3.43";"0.57"
"HV";"50";"625";"212.3490";"0";"0";"OK";"212.3490";"0";"0";"212.3490";"0";"0"
"BR";"50";"1750";"232.4442";"2.5";"1";"OK";"232.4442";"2.5";"1";"232.4442";"2.5";"1"
"Segment BRR";"50";"3550";"(238.1228) 661.5012";"(8) 14.7";"0.57";"OK";"238.1228";"8";"0.57";"661.5012";"14.7";"0.57"
"Segment BLL";"50";"625";"(60.7854) 112.8729";"(-19.6) -8";"0.57";"OK";"60.7854";"-19.6";"0.57";"112.8729";"-8";"0.57"
"P";"63";"-";"288.0309";"-7";"0";"OK";"288.0309";"-7";"0";"288.0309";"-7";"0"
"Zone III a";"-";"625";"(50.0880) 269.9352";"(-8) -1";"(4) 0";"OK";"50.0880";"-8";"4";"269.9352";"-1";"0"
"S50LL";"-";"-";"49.8880";"-8";"4";"OK";"49.8880";"-8";"4";"49.8880";"-8";"4"
"S50";"-";"-";"86.7792";"0";"4";"OK";"86.7792";"0";"4";"86.7792";"0";"4"
"S50RR";"-";"-";"100.0760";"8";"4";"OK";"100.0760";"8";"4";"100.0760";"8";"4"
"S100LL";"-";"-";"109.3737";"-4";"2";"OK";"109.3737";"-4";"2";"109.3737";"-4";"2"
"S100";"-";"-";"148.7643";"0";"2";"OK";"148.7643";"0";"2";"148.7643";"0";"2"
"S100RR";"-";"-";"187.8549";"4";"2";"OK";"187.8549";"4";"2";"187.8549";"4";"2"
"75R";"10100";"-";"22614.5700";"1.15";"-0.57";"OK";"22614.5700";"1.15";"-0.57";"22614.5700";"1.15";"-0.57"
"50V";"5100";"-";"22474.6100";"0";"-0.86";"OK";"22474.6100";"0";"-0.86";"22474.6100";"0";"-0.86"
"50L";"3550";"18500";"13346.8000";"-3.43";"-0.86";"OK";"13346.8000";"-3.43";"-0.86";"13346.8000";"-3.43";"-0.86"
"25LL";"1180";"-";"2921.2990";"-16";"-1.72";"OK";"2921.2990";"-16";"-1.72";"2921.2990";"-16";"-1.72"
"25RR";"1180";"-";"9637.6870";"11";"-1.72";"OK";"9637.6870";"11";"-1.72";"9637.6870";"11";"-1.72"
"Segment 10";"-";"12300";"(511.1773) 9947.6120";"(-4.5) 1.4";"(-10) -4";"OK";"511.1773";"-4.5";"-10";"9947.6120";"1.4";"-4"
"MAX";"16900";"44100";"29450.9300";"0.4";"-1.55";"OK";"29450.9300";"0.4";"-1.55";"29450.9300";"0.4";"-1.55"
