sep=;
"No.";"Time [s]";"I [cd]";"Irel [%]"
1;0;9777.7;0.00
2;10;9787.7;0.10
3;20;9777.7;0.00
4;30;9787.7;0.10
5;40;9777.7;0.00
6;50;9787.7;0.10
7;60;9797.6;0.21
8;70.015;9777.7;0.00
9;80.015;9767.7;-0.10
10;90.015;9777.7;0.00
11;100.015;9787.7;0.10
12;110.015;9777.7;0.00
13;120.015;9777.7;0.00
14;130.015;9777.7;0.00
15;140.015;9777.7;0.00
16;150.015;9777.7;0.00
17;160.015;9777.7;0.00
18;170.015;9777.7;0.00
19;180.015;9767.7;-0.10
20;190.015;9767.7;-0.10
21;200.015;9767.7;-0.10
22;210.015;9767.7;-0.10
23;220.031;9767.7;-0.10
24;230.031;9767.7;-0.10
25;240.031;9767.7;-0.10
26;250.031;9767.7;-0.10
27;260.031;9767.7;-0.10
28;270.031;9767.7;-0.10
29;280.031;9767.7;-0.10
30;290.031;9757.7;-0.21
31;300.031;9767.7;-0.10
32;310.031;9767.7;-0.10
33;320.031;9767.7;-0.10
34;330.031;9757.7;-0.21
35;340.031;9757.7;-0.21
36;350.047;9757.7;-0.21
37;360.047;9767.7;-0.10
38;370.062;9767.7;-0.10
39;380.078;9757.7;-0.21
40;390.078;9757.7;-0.21
41;400.078;9757.7;-0.21
42;410.078;9757.7;-0.21
43;420.078;9757.7;-0.21
44;430.078;9757.7;-0.21
45;440.078;9757.7;-0.21
46;450.078;9757.7;-0.21
47;460.078;9757.7;-0.21
48;470.078;9757.7;-0.21
49;480.078;9747.7;-0.31
50;490.078;9757.7;-0.21
51;500.078;9757.7;-0.21
52;510.078;9757.7;-0.21
53;520.078;9757.7;-0.21
54;530.078;9747.7;-0.31
55;540.078;9747.7;-0.31
56;550.078;9747.7;-0.31
57;560.078;9757.7;-0.21
58;570.078;9747.7;-0.31
59;580.078;9747.7;-0.31
60;590.078;9747.7;-0.31
61;600.078;9747.7;-0.31
62;610.078;9747.7;-0.31
63;620.078;9747.7;-0.31
64;630.078;9747.7;-0.31
65;640.078;9747.7;-0.31
66;650.078;9747.7;-0.31
67;660.078;9747.7;-0.31
68;670.078;9747.7;-0.31
69;680.078;9747.7;-0.31
70;690.078;9747.7;-0.31
71;700.078;9747.7;-0.31
72;710.078;9747.7;-0.31
73;720.078;9747.7;-0.31
74;730.078;9747.7;-0.31
75;740.078;9747.7;-0.31
76;750.078;9747.7;-0.31
77;760.078;9737.7;-0.41
78;770.078;9747.7;-0.31
79;780.078;9747.7;-0.31
80;790.078;9737.7;-0.41
81;800.078;9737.7;-0.41
82;810.094;9737.7;-0.41
83;820.094;9737.7;-0.41
84;830.094;9737.7;-0.41
85;840.094;9737.7;-0.41
86;850.094;9737.7;-0.41
87;860.094;9737.7;-0.41
88;870.094;9737.7;-0.41
89;880.094;9737.7;-0.41
90;890.094;9737.7;-0.41
91;900.094;9737.7;-0.41
92;910.094;9737.7;-0.41
93;920.094;9737.7;-0.41
94;930.094;9737.7;-0.41
95;940.094;9737.7;-0.41
96;950.094;9737.7;-0.41
97;960.094;9737.7;-0.41
