sep=;
"Name:";"JW1 PE HPV DOM HL LED LOW (OPT ASSY-LED)(E MODE) RH#1 2025-09-01"
"Number:";""
"Report:";"JO WON JIN"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(LMT #01 GO H-1300)"
"Voltage:";"0.0000 V";"Date:";"2025-09-01 ¿ÀÈÄ 10:11:54"
"Current:";"0.00000 A";"File:";"JW1 PE HPV DOM HL LED LOW (OPT ASSY-LED)(E MODE) RH#1 2025-09-01"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"B 50L";"50";"625";"162.7609";"-3.43";"0.57";"OK";"162.7609";"-3.43";"0.57";"162.7609";"-3.43";"0.57"
"HV";"50";"-";"218.0477";"0";"0";"OK";"218.0477";"0";"0";"218.0477";"0";"0"
"BR";"50";"1750";"236.8431";"2.5";"1";"OK";"236.8431";"2.5";"1";"236.8431";"2.5";"1"
"Segment BRR";"-";"3550";"(258.2380) 709.1798";"(8) 14.6";"0.57";"OK";"258.2380";"8";"0.57";"709.1798";"14.6";"0.57"
"Segment BLL";"-";"880";"(62.4850) 114.5725";"(-19.7) -8";"0.57";"OK";"62.4850";"-19.7";"0.57";"114.5725";"-8";"0.57"
"Zone III b";"-";"880";"(50.3479) 232.5442";"(-8) -0.5";"(3.94) 0.34";"OK";"50.3479";"-8";"3.94";"232.5442";"-0.5";"0.34"
"S50LL";"-";"-";"50.4879";"-8";"4";"OK";"50.4879";"-8";"4";"50.4879";"-8";"4"
"S50";"-";"-";"87.8789";"0";"4";"OK";"87.8789";"0";"4";"87.8789";"0";"4"
"S50RR";"-";"-";"101.0757";"8";"4";"OK";"101.0757";"8";"4";"101.0757";"8";"4"
"S100LL";"-";"-";"110.5735";"-4";"2";"OK";"110.5735";"-4";"2";"110.5735";"-4";"2"
"S100";"-";"-";"150.3639";"0";"2";"OK";"150.3639";"0";"2";"150.3639";"0";"2"
"S100RR";"-";"0";"188.2548";"4";"2";"OK";"188.2548";"4";"2";"188.2548";"4";"2"
"75R";"15200";"-";"22954.4900";"1.15";"-0.57";"OK";"22954.4900";"1.15";"-0.57";"22954.4900";"1.15";"-0.57"
"50V";"10100";"-";"23014.4800";"0";"-0.86";"OK";"23014.4800";"0";"-0.86";"23014.4800";"0";"-0.86"
"50L";"6800";"-";"13726.7100";"-3.43";"-0.86";"OK";"13726.7100";"-3.43";"-0.86";"13726.7100";"-3.43";"-0.86"
"25LL";"1180";"-";"2961.2890";"-16";"-1.72";"OK";"2961.2890";"-16";"-1.72";"2961.2890";"-16";"-1.72"
"25RR";"1180";"-";"9727.6650";"11";"-1.72";"OK";"9727.6650";"11";"-1.72";"9727.6650";"11";"-1.72"
"Segment 10";"-";"12300";"(516.2761) 10017.6000";"(-4.5) 1.5";"(-10) -4";"OK";"516.2761";"-4.5";"-10";"10017.6000";"1.5";"-4"
"MAX";"16900";"79300";"29740.8600";"0.4";"-1.55";"OK";"29740.8600";"0.4";"-1.55";"29740.8600";"0.4";"-1.55"
