sep=;
"No.";"Time [s]";"I [cd]";"Irel [%]"
1;0;63854.7;4.99
2;10;63744.7;4.80
3;20;63634.7;4.62
4;30;63504.8;4.40
5;40;63454.8;4.31
6;50;63364.8;4.16
7;60;63234.8;3.94
8;70;63134.8;3.77
9;80;63054.9;3.63
10;90;63004.9;3.55
11;100;62894.9;3.36
12;110;62764.9;3.14
13;120;62744.9;3.11
14;130;62685.0;3.01
15;140;62555.0;2.79
16;150;62515.0;2.72
17;160.015;62435.0;2.59
18;170.015;62355.0;2.45
19;180.015;62305.0;2.37
20;190.015;62225.1;2.23
21;200.015;62195.1;2.18
22;210.031;62135.1;2.08
23;220.047;62095.1;2.01
24;230.047;61985.1;1.83
25;240.047;61955.1;1.78
26;250.047;61885.1;1.66
27;260.047;61855.2;1.61
28;270.047;61805.2;1.52
29;280.047;61735.2;1.40
30;290.047;61655.2;1.27
31;300.047;61645.2;1.25
32;310.047;61585.2;1.15
33;320.047;61525.2;1.05
34;330.047;61525.2;1.05
35;340.047;61435.3;0.90
36;350.047;61395.3;0.83
37;360.047;61385.3;0.81
38;370.047;61315.3;0.69
39;380.047;61285.3;0.64
40;390.047;61235.3;0.56
41;400.047;61225.3;0.54
42;410.047;61185.3;0.47
43;420.047;61135.3;0.39
44;430.047;61065.3;0.27
45;440.047;61055.3;0.25
46;450.047;61015.4;0.19
47;460.047;60965.4;0.10
48;470.047;60935.4;0.05
49;480.047;60925.4;0.03
50;490.047;60905.4;0.00
51;500.047;60875.4;-0.05
52;510.047;60815.4;-0.15
53;520.047;60785.4;-0.20
54;530.047;60735.4;-0.29
55;540.047;60725.4;-0.30
56;550.047;60685.4;-0.37
57;560.047;60655.4;-0.42
58;570.047;60655.4;-0.42
59;580.062;60615.5;-0.49
60;590.062;60575.5;-0.56
61;600.062;60545.5;-0.61
62;610.062;60505.5;-0.68
63;620.062;60505.5;-0.68
64;630.062;60495.5;-0.69
65;640.062;60405.5;-0.85
66;650.062;60425.5;-0.81
67;660.062;60425.5;-0.81
68;670.062;60365.5;-0.91
69;680.062;60345.5;-0.95
70;690.062;60325.5;-0.98
71;700.062;60325.5;-0.98
72;710.062;60285.5;-1.05
73;720.062;60255.5;-1.10
74;730.062;60225.5;-1.15
75;740.062;60205.6;-1.18
76;750.062;60195.6;-1.20
77;760.062;60205.6;-1.18
78;770.062;60125.6;-1.32
79;780.062;60115.6;-1.34
80;790.062;60105.6;-1.35
81;800.062;60085.6;-1.39
82;810.062;60045.6;-1.45
83;820.062;60065.6;-1.42
84;830.078;60015.6;-1.50
85;840.078;60015.6;-1.50
86;850.078;59995.6;-1.54
87;860.094;59965.6;-1.59
88;870.094;59955.6;-1.61
89;880.094;59935.6;-1.64
90;890.094;59905.6;-1.69
91;900.094;59915.6;-1.67
92;910.094;59875.6;-1.74
93;920.094;59875.6;-1.74
94;930.094;59845.6;-1.79
95;940.094;59815.6;-1.84
96;950.094;59825.6;-1.83
97;960.094;59785.7;-1.89
98;970.094;59785.7;-1.89
99;980.094;59755.7;-1.94
100;990.094;59755.7;-1.94
101;1000.094;59745.7;-1.96
102;1010.094;59725.7;-1.99
103;1020.094;59695.7;-2.05
104;1030.094;59665.7;-2.10
105;1040.094;59665.7;-2.10
106;1050.094;59635.7;-2.15
107;1060.094;59645.7;-2.13
108;1070.094;59625.7;-2.16
109;1080.094;59615.7;-2.18
110;1090.094;59585.7;-2.23
111;1100.094;59595.7;-2.21
112;1110.094;59555.7;-2.28
113;1120.094;59545.7;-2.30
114;1130.094;59545.7;-2.30
115;1140.094;59515.7;-2.35
116;1150.094;59525.7;-2.33
117;1160.094;59485.7;-2.40
118;1170.109;59475.7;-2.42
119;1180.109;59455.7;-2.45
120;1190.109;59465.7;-2.43
121;1200.109;59425.7;-2.50
122;1210.109;59425.7;-2.50
123;1220.109;59395.7;-2.55
124;1230.125;59415.7;-2.52
125;1240.125;59385.8;-2.57
126;1250.125;59375.8;-2.59
127;1260.14;59375.8;-2.59
128;1270.14;59335.8;-2.65
129;1280.14;59335.8;-2.65
130;1290.14;59305.8;-2.70
131;1300.14;59295.8;-2.72
132;1310.14;59285.8;-2.74
133;1320.14;59275.8;-2.76
134;1330.14;59265.8;-2.77
135;1340.14;59265.8;-2.77
136;1350.14;59245.8;-2.81
137;1360.14;59225.8;-2.84
138;1370.14;59245.8;-2.81
139;1380.14;59205.8;-2.87
140;1390.14;59185.8;-2.91
141;1400.14;59185.8;-2.91
142;1410.14;59165.8;-2.94
143;1420.14;59165.8;-2.94
144;1430.14;59155.8;-2.96
145;1440.14;59135.8;-2.99
146;1450.14;59135.8;-2.99
