sep=;
"No.";"Time [s]";"I [cd]";"Irel [%]"
1;0;10297.5;0.00
2;10;10297.5;0.00
3;20;10287.5;-0.10
4;30;10287.5;-0.10
5;40;10287.5;-0.10
6;50;10277.5;-0.20
7;60;10277.5;-0.20
8;70;10277.5;-0.20
9;80;10277.5;-0.20
10;90;10277.5;-0.20
11;100;10267.5;-0.30
12;110.016;10267.5;-0.30
13;120.016;10267.5;-0.30
14;130.016;10257.5;-0.40
15;140.016;10257.5;-0.40
16;150.016;10257.5;-0.40
17;160.016;10247.5;-0.50
18;170.016;10247.5;-0.50
19;180.016;10247.5;-0.50
20;190.016;10247.5;-0.50
21;200.016;10237.5;-0.60
22;210.016;10237.5;-0.60
23;220.016;10237.5;-0.60
24;230.032;10227.5;-0.69
25;240.032;10227.5;-0.69
26;250.032;10227.5;-0.69
27;260.032;10227.5;-0.69
28;270.032;10217.6;-0.79
29;280.032;10217.6;-0.79
30;290.032;10217.6;-0.79
31;300.032;10217.6;-0.79
32;310.032;10217.6;-0.79
33;320.032;10207.6;-0.89
34;330.032;10207.6;-0.89
35;340.032;10207.6;-0.89
36;350.032;10197.6;-0.99
37;360.032;10197.6;-0.99
38;370.032;10197.6;-0.99
39;380.032;10197.6;-0.99
40;390.032;10197.6;-0.99
41;400.032;10187.6;-1.09
42;410.032;10187.6;-1.09
43;420.032;10187.6;-1.09
44;430.032;10187.6;-1.09
45;440.032;10177.6;-1.19
46;450.032;10177.6;-1.19
47;460.032;10177.6;-1.19
48;470.032;10177.6;-1.19
49;480.032;10177.6;-1.19
50;490.032;10177.6;-1.19
51;500.047;10167.6;-1.29
52;510.047;10167.6;-1.29
53;520.047;10157.6;-1.39
54;530.047;10157.6;-1.39
55;540.047;10157.6;-1.39
56;550.047;10157.6;-1.39
57;560.047;10147.6;-1.49
58;570.047;10147.6;-1.49
59;580.047;10147.6;-1.49
60;590.047;10147.6;-1.49
61;600.047;10147.6;-1.49
62;610.047;10147.6;-1.49
63;620.047;10137.6;-1.59
64;630.047;10137.6;-1.59
65;640.047;10137.6;-1.59
66;650.063;10137.6;-1.59
67;660.063;10127.6;-1.69
68;670.063;10137.6;-1.59
69;680.063;10127.6;-1.69
70;690.063;10127.6;-1.69
71;700.079;10127.6;-1.69
72;710.079;10117.6;-1.79
73;720.079;10117.6;-1.79
74;730.079;10117.6;-1.79
75;740.079;10117.6;-1.79
76;750.079;10117.6;-1.79
77;760.079;10107.6;-1.88
78;770.079;10117.6;-1.79
79;780.079;10107.6;-1.88
80;790.079;10107.6;-1.88
81;800.079;10107.6;-1.88
82;810.079;10107.6;-1.88
83;820.079;10097.6;-1.98
84;830.094;10097.6;-1.98
85;840.094;10097.6;-1.98
86;850.094;10097.6;-1.98
87;860.094;10087.6;-2.08
88;870.094;10087.6;-2.08
89;880.094;10087.6;-2.08
90;890.094;10087.6;-2.08
91;900.094;10087.6;-2.08
92;910.094;10087.6;-2.08
93;920.094;10077.6;-2.18
94;930.094;10077.6;-2.18
95;940.094;10077.6;-2.18
96;950.094;10077.6;-2.18
97;960.094;10077.6;-2.18
