sep=;
"Name:";"JW1 PE HPV DOM HL LED LOW(OPT ASSY-LED)(C MODE) RH#2 2025-09-02"
"Number:";""
"Report:";"JO WON JIN"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(LMT #01 GO H-1300)"
"Voltage:";"13.2129 V";"Date:";"2025-09-03 ¿ÀÀü 1:41:28"
"Current:";"0.00000 A";"File:";"JW1 PE HPV DOM HL LED LOW(OPT ASSY-LED)(C MODE) RH#2 2025-09-02"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"B 50L";"50";"350";"166.7600";"-3.43";"0.57";"OK";"166.7600";"-3.43";"0.57";"166.7600";"-3.43";"0.57"
"HV";"50";"625";"231.3445";"0";"0";"OK";"231.3445";"0";"0";"231.3445";"0";"0"
"BR";"50";"1750";"242.6418";"2.5";"1";"OK";"242.6418";"2.5";"1";"242.6418";"2.5";"1"
"Segment BRR";"50";"3550";"(285.9314) 730.1248";"(8) 14.5";"0.57";"OK";"285.9314";"8";"0.57";"730.1248";"14.5";"0.57"
"Segment BLL";"50";"625";"(60.5855) 118.1165";"(-19.8) -8";"0.57";"OK";"60.5855";"-19.8";"0.57";"118.1165";"-8";"0.57"
"P";"63";"-";"346.9167";"-7";"0";"OK";"346.9167";"-7";"0";"346.9167";"-7";"0"
"Zone III a";"-";"625";"(51.1477) 289.9304";"(-8) -0.7";"(4) 0";"OK";"51.1477";"-8";"4";"289.9304";"-0.7";"0"
"S50LL";"-";"-";"51.8876";"-8";"4";"OK";"51.8876";"-8";"4";"51.8876";"-8";"4"
"S50";"-";"-";"90.1784";"0";"4";"OK";"90.1784";"0";"4";"90.1784";"0";"4"
"S50RR";"-";"-";"103.1752";"8";"4";"OK";"103.1752";"8";"4";"103.1752";"8";"4"
"S100LL";"-";"-";"112.6730";"-4";"2";"OK";"112.6730";"-4";"2";"112.6730";"-4";"2"
"S100";"-";"-";"153.2632";"0";"2";"OK";"153.2632";"0";"2";"153.2632";"0";"2"
"S100RR";"-";"-";"190.8542";"4";"2";"OK";"190.8542";"4";"2";"190.8542";"4";"2"
"75R";"10100";"-";"22204.6700";"1.15";"-0.57";"OK";"22204.6700";"1.15";"-0.57";"22204.6700";"1.15";"-0.57"
"50V";"5100";"-";"22364.6300";"0";"-0.86";"OK";"22364.6300";"0";"-0.86";"22364.6300";"0";"-0.86"
"50L";"3550";"18500";"12696.9500";"-3.43";"-0.86";"OK";"12696.9500";"-3.43";"-0.86";"12696.9500";"-3.43";"-0.86"
"25LL";"1180";"-";"2940.2940";"-16";"-1.72";"OK";"2940.2940";"-16";"-1.72";"2940.2940";"-16";"-1.72"
"25RR";"1180";"-";"10047.5900";"11";"-1.72";"OK";"10047.5900";"11";"-1.72";"10047.5900";"11";"-1.72"
"Segment 10";"-";"12300";"(492.4818) 9767.6550";"(-4.5) 1.5";"(-10) -4";"OK";"492.4818";"-4.5";"-10";"9767.6550";"1.5";"-4"
"MAX";"16900";"44100";"30112.7700";"0.45";"-1.55";"OK";"30112.7700";"0.45";"-1.55";"30112.7700";"0.45";"-1.55"
