sep=;
"No.";"Time [s]";"I [cd]";"Irel [%]"
1;0;10057.6;0.00
2;10;10067.6;0.10
3;20;10057.6;0.00
4;30;10057.6;0.00
5;40;10057.6;0.00
6;50;10057.6;0.00
7;60;10047.6;-0.10
8;70;10047.6;-0.10
9;80;10047.6;-0.10
10;90;10047.6;-0.10
11;100;10047.6;-0.10
12;110;10037.6;-0.20
13;120;10047.6;-0.10
14;130;10037.6;-0.20
15;140;10037.6;-0.20
16;150;10027.6;-0.30
17;160;10027.6;-0.30
18;170;10027.6;-0.30
19;180;10027.6;-0.30
20;190;10037.6;-0.20
21;200;10027.6;-0.30
22;210;10027.6;-0.30
23;220.015;10027.6;-0.30
24;230.015;10027.6;-0.30
25;240.015;10017.6;-0.40
26;250.015;10017.6;-0.40
27;260.015;10017.6;-0.40
28;270.015;10007.6;-0.50
29;280.015;10017.6;-0.40
30;290.015;10017.6;-0.40
31;300.015;10017.6;-0.40
32;310.015;10017.6;-0.40
33;320.015;10007.6;-0.50
34;330.015;10007.6;-0.50
35;340.015;10007.6;-0.50
36;350.015;10007.6;-0.50
37;360.031;10007.6;-0.50
38;370.031;10007.6;-0.50
39;380.031;10007.6;-0.50
40;390.031;9997.6;-0.60
41;400.031;9997.6;-0.60
42;410.031;10007.6;-0.50
43;420.031;9997.6;-0.60
44;430.031;9997.6;-0.60
45;440.031;9997.6;-0.60
46;450.031;9997.6;-0.60
47;460.031;9997.6;-0.60
48;470.031;9987.6;-0.70
49;480.031;9987.6;-0.70
50;490.031;9987.6;-0.70
51;500.031;9987.6;-0.70
52;510.031;9987.6;-0.70
53;520.031;9987.6;-0.70
54;530.031;9987.6;-0.70
55;540.031;9977.6;-0.80
56;550.031;9977.6;-0.80
57;560.031;9987.6;-0.70
58;570.031;9977.6;-0.80
59;580.031;9977.6;-0.80
60;590.031;9977.6;-0.80
61;600.031;9977.6;-0.80
62;610.031;9977.6;-0.80
63;620.031;9977.6;-0.80
64;630.031;9977.6;-0.80
65;640.031;9967.6;-0.91
66;650.031;9967.6;-0.91
67;660.031;9967.6;-0.91
68;670.031;9967.6;-0.91
69;680.031;9967.6;-0.91
70;690.031;9967.6;-0.91
71;700.031;9967.6;-0.91
72;710.031;9967.6;-0.91
73;720.031;9967.6;-0.91
74;730.031;9967.6;-0.91
75;740.031;9967.6;-0.91
76;750.031;9967.6;-0.91
77;760.031;9957.6;-1.01
78;770.047;9957.6;-1.01
79;780.047;9957.6;-1.01
80;790.047;9957.6;-1.01
81;800.047;9957.6;-1.01
82;810.047;9947.6;-1.11
83;820.047;9957.6;-1.01
84;830.047;9957.6;-1.01
85;840.047;9947.6;-1.11
86;850.047;9957.6;-1.01
87;860.047;9947.6;-1.11
88;870.047;9947.6;-1.11
89;880.047;9947.6;-1.11
90;890.047;9947.6;-1.11
91;900.047;9947.6;-1.11
92;910.047;9947.6;-1.11
93;920.047;9947.6;-1.11
94;930.047;9947.6;-1.11
95;940.047;9947.6;-1.11
96;950.047;9937.6;-1.21
97;960.047;9947.6;-1.11
