sep=;
"Name:";"JW1 PE HPV DOM HL LED LOW(OPT ASSY-LED)(E MODE) RH#2 2025-09-02"
"Number:";""
"Report:";"JO WON JIN"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(LMT #01 GO H-1300)"
"Voltage:";"13.2129 V";"Date:";"2025-09-03 ¿ÀÀü 2:46:41"
"Current:";"0.00000 A";"File:";"JW1 PE HPV DOM HL LED LOW(OPT ASSY-LED)(E MODE) RH#2 2025-09-02"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"B 50L";"50";"625";"169.5593";"-3.43";"0.57";"OK";"169.5593";"-3.43";"0.57";"169.5593";"-3.43";"0.57"
"HV";"50";"-";"234.3438";"0";"0";"OK";"234.3438";"0";"0";"234.3438";"0";"0"
"BR";"50";"1750";"247.9405";"2.5";"1";"OK";"247.9405";"2.5";"1";"247.9405";"2.5";"1"
"Segment BRR";"-";"3550";"(354.7149) 866.7919";"(8) 14.4";"0.57";"OK";"354.7149";"8";"0.57";"866.7919";"14.4";"0.57"
"Segment BLL";"-";"880";"(63.6847) 117.2719";"(-19.8) -8";"0.57";"OK";"63.6847";"-19.8";"0.57";"117.2719";"-8";"0.57"
"Zone III b";"-";"880";"(50.5279) 235.4235";"(-8) -0.5";"(4) 0.34";"OK";"50.5279";"-8";"4";"235.4235";"-0.5";"0.34"
"S50LL";"-";"-";"51.7876";"-8";"4";"OK";"51.7876";"-8";"4";"51.7876";"-8";"4"
"S50";"-";"-";"90.5783";"0";"4";"OK";"90.5783";"0";"4";"90.5783";"0";"4"
"S50RR";"-";"-";"104.5749";"8";"4";"OK";"104.5749";"8";"4";"104.5749";"8";"4"
"S100LL";"-";"-";"113.7727";"-4";"2";"OK";"113.7727";"-4";"2";"113.7727";"-4";"2"
"S100";"-";"-";"154.9628";"0";"2";"OK";"154.9628";"0";"2";"154.9628";"0";"2"
"S100RR";"-";"0";"200.1519";"4";"2";"OK";"200.1519";"4";"2";"200.1519";"4";"2"
"75R";"15200";"-";"22224.6700";"1.15";"-0.57";"OK";"22224.6700";"1.15";"-0.57";"22224.6700";"1.15";"-0.57"
"50V";"10100";"-";"22784.5300";"0";"-0.86";"OK";"22784.5300";"0";"-0.86";"22784.5300";"0";"-0.86"
"50L";"6800";"-";"13396.7800";"-3.43";"-0.86";"OK";"13396.7800";"-3.43";"-0.86";"13396.7800";"-3.43";"-0.86"
"25LL";"1180";"-";"2984.2840";"-16";"-1.72";"OK";"2984.2840";"-16";"-1.72";"2984.2840";"-16";"-1.72"
"25RR";"1180";"-";"10147.5600";"11";"-1.72";"OK";"10147.5600";"11";"-1.72";"10147.5600";"11";"-1.72"
"Segment 10";"-";"12300";"(561.9651) 9864.6330";"1.8";"(-10) -4.2";"OK";"561.9651";"1.8";"-10";"9864.6330";"1.8";"-4.2"
"MAX";"16900";"79300";"29842.8400";"0.45";"-1.55";"OK";"29842.8400";"0.45";"-1.55";"29842.8400";"0.45";"-1.55"
