sep=;
"No.";"Time [s]";"I [cd]";"Irel [%]"
1;0;53437.2;0.00
2;10;53387.2;-0.10
3;20;53367.2;-0.13
4;30;53337.2;-0.19
5;40;53317.2;-0.23
6;50;53287.2;-0.29
7;60;53257.2;-0.34
8;70;53237.2;-0.38
9;80;53217.2;-0.42
10;90;53197.2;-0.46
11;100;53167.2;-0.52
12;110;53157.2;-0.53
13;120;53127.3;-0.59
14;130;53107.3;-0.63
15;140;53087.3;-0.67
16;150;53067.3;-0.71
17;160;53057.3;-0.73
18;170;53027.3;-0.78
19;180;53017.3;-0.80
20;190;53007.3;-0.82
21;200;52987.3;-0.86
22;210;52957.3;-0.92
23;220;52957.3;-0.92
24;230;52927.3;-0.97
25;240;52917.3;-0.99
26;250;52897.3;-1.03
27;260;52887.3;-1.05
28;270;52877.3;-1.07
29;280;52857.3;-1.11
30;290;52847.3;-1.13
31;300;52837.3;-1.15
32;310;52807.3;-1.20
33;320;52807.3;-1.20
34;330.016;52797.3;-1.22
35;340.016;52787.3;-1.24
36;350.016;52767.3;-1.28
37;360.016;52767.3;-1.28
38;370.016;52757.3;-1.30
39;380.016;52737.3;-1.34
40;390.016;52737.3;-1.34
41;400.016;52717.4;-1.38
42;410.016;52697.4;-1.41
43;420.016;52707.4;-1.39
44;430.031;52677.4;-1.45
45;440.031;52687.4;-1.43
46;450.031;52667.4;-1.47
47;460.031;52647.4;-1.51
48;470.031;52657.4;-1.49
49;480.031;52637.4;-1.53
50;490.031;52637.4;-1.53
51;500.031;52617.4;-1.57
52;510.031;52607.4;-1.59
53;520.031;52597.4;-1.60
54;530.031;52597.4;-1.60
55;540.031;52587.4;-1.62
56;550.031;52587.4;-1.62
57;560.031;52567.4;-1.66
58;570.031;52567.4;-1.66
59;580.031;52547.4;-1.70
60;590.031;52537.4;-1.72
61;600.031;52537.4;-1.72
62;610.031;52537.4;-1.72
63;620.047;52517.4;-1.76
64;630.047;52527.4;-1.74
65;640.047;52517.4;-1.76
66;650.047;52507.4;-1.78
67;660.047;52497.4;-1.80
68;670.047;52487.4;-1.82
69;680.063;52487.4;-1.82
70;690.063;52477.4;-1.83
71;700.063;52467.4;-1.85
72;710.063;52467.4;-1.85
73;720.063;52457.4;-1.87
74;730.063;52457.4;-1.87
75;740.063;52447.4;-1.89
76;750.063;52447.4;-1.89
77;760.063;52427.4;-1.93
78;770.063;52417.4;-1.95
79;780.063;52437.4;-1.91
80;790.063;52407.4;-1.97
81;800.063;52407.4;-1.97
82;810.063;52397.4;-1.99
83;820.063;52407.4;-1.97
84;830.063;52397.4;-1.99
85;840.063;52387.4;-2.01
86;850.063;52377.4;-2.03
87;860.063;52377.4;-2.03
88;870.063;52377.4;-2.03
89;880.063;52367.4;-2.04
90;890.063;52357.4;-2.06
91;900.078;52367.4;-2.04
92;910.078;52357.4;-2.06
93;920.078;52347.4;-2.08
94;930.078;52347.4;-2.08
95;940.078;52347.4;-2.08
96;950.078;52337.4;-2.10
97;960.078;52327.4;-2.12
