sep=;
"No.";"Time [s]";"I [cd]";"Irel [%]"
1;0;8977.8;0.00
2;10;8977.8;0.00
3;20;8967.8;-0.11
4;30;8967.8;-0.11
5;40;8967.8;-0.11
6;50;8957.9;-0.23
7;60;8957.9;-0.23
8;70;8957.9;-0.23
9;80;8957.9;-0.23
10;90;8947.9;-0.34
11;100;8947.9;-0.34
12;110;8947.9;-0.34
13;120;8947.9;-0.34
14;130;8937.9;-0.46
15;140;8937.9;-0.46
16;150;8937.9;-0.46
17;160;8927.9;-0.57
18;170;8927.9;-0.57
19;180;8927.9;-0.57
20;190;8917.9;-0.68
21;200;8917.9;-0.68
22;210;8917.9;-0.68
23;220;8917.9;-0.68
24;230;8917.9;-0.68
25;240.016;8917.9;-0.68
26;250.016;8907.9;-0.80
27;260.016;8907.9;-0.80
28;270.016;8897.9;-0.91
29;280.016;8897.9;-0.91
30;290.016;8897.9;-0.91
31;300.016;8897.9;-0.91
32;310.016;8887.9;-1.03
33;320.016;8887.9;-1.03
34;330.016;8887.9;-1.03
35;340.016;8887.9;-1.03
36;350.016;8877.9;-1.14
37;360.016;8877.9;-1.14
38;370.016;8877.9;-1.14
39;380.016;8867.9;-1.25
40;390.016;8867.9;-1.25
41;400.016;8867.9;-1.25
42;410.016;8867.9;-1.25
43;420.016;8867.9;-1.25
44;430.016;8857.9;-1.37
45;440.016;8857.9;-1.37
46;450.016;8857.9;-1.37
47;460.016;8847.9;-1.48
48;470.016;8847.9;-1.48
49;480.016;8847.9;-1.48
50;490.016;8847.9;-1.48
51;500.016;8847.9;-1.48
52;510.016;8837.9;-1.59
53;520.016;8837.9;-1.59
54;530.016;8837.9;-1.59
55;540.016;8837.9;-1.59
56;550.016;8837.9;-1.59
57;560.016;8837.9;-1.59
58;570.031;8827.9;-1.71
59;580.031;8827.9;-1.71
60;590.031;8827.9;-1.71
61;600.031;8827.9;-1.71
62;610.031;8827.9;-1.71
63;620.031;8817.9;-1.82
64;630.031;8817.9;-1.82
65;640.031;8817.9;-1.82
66;650.031;8817.9;-1.82
67;660.031;8817.9;-1.82
68;670.031;8807.9;-1.94
69;680.031;8807.9;-1.94
70;690.031;8807.9;-1.94
71;700.031;8807.9;-1.94
72;710.031;8807.9;-1.94
73;720.031;8807.9;-1.94
74;730.031;8797.9;-2.05
75;740.031;8797.9;-2.05
76;750.031;8797.9;-2.05
77;760.031;8797.9;-2.05
78;770.031;8797.9;-2.05
79;780.031;8797.9;-2.05
80;790.031;8797.9;-2.05
81;800.031;8797.9;-2.05
82;810.031;8787.9;-2.16
83;820.031;8787.9;-2.16
84;830.031;8787.9;-2.16
85;840.031;8787.9;-2.16
86;850.031;8787.9;-2.16
87;860.047;8787.9;-2.16
88;870.047;8787.9;-2.16
89;880.047;8787.9;-2.16
90;890.047;8787.9;-2.16
91;900.047;8787.9;-2.16
92;910.047;8787.9;-2.16
93;920.047;8787.9;-2.16
94;930.047;8777.9;-2.28
95;940.047;8777.9;-2.28
96;950.047;8777.9;-2.28
97;960.047;8777.9;-2.28
