sep=;
"Name:";"JW1 PE HPV DOM HL LED LOW(STD ASSY-LED) LH#2 2025-09-04"
"Number:";""
"Report:";"JO WON JIN"
"Test no.:";""
"Lamp type:";"LED"
"Lamp No:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(LMT #01 GO H-1300)"
"Voltage:";"13.2136 V";"Date:";"2025-09-04 ¿ÀÈÄ 10:42:43"
"Current:";"0.00000 A";"File:";"JW1 PE HPV DOM HL LED LOW(STD ASSY-LED) LH#2 2025-09-04"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"B50L";"-";"350";"243.6415";"-3.43";"0.57";"OK";"243.6415";"-3.43";"0.57";"243.6415";"-3.43";"0.57"
"BR";"-";"1750";"213.6487";"2.5";"1";"OK";"213.6487";"2.5";"1";"213.6487";"2.5";"1"
"75R";"10100";"-";"25813.8000";"1.15";"-0.57";"OK";"25813.8000";"1.15";"-0.57";"25813.8000";"1.15";"-0.57"
"75L";"-";"10600";"1076.7420";"-3.43";"-0.57";"OK";"1076.7420";"-3.43";"-0.57";"1076.7420";"-3.43";"-0.57"
"50L";"-";"18500";"11237.3000";"-3.43";"-0.86";"OK";"11237.3000";"-3.43";"-0.86";"11237.3000";"-3.43";"-0.86"
"50R";"10100";"-";"26743.5800";"1.72";"-0.86";"OK";"26743.5800";"1.72";"-0.86";"26743.5800";"1.72";"-0.86"
"50V";"5100";"-";"19005.4400";"0";"-0.86";"OK";"19005.4400";"0";"-0.86";"19005.4400";"0";"-0.86"
"25L";"1700";"-";"10947.3700";"-9";"-1.72";"OK";"10947.3700";"-9";"-1.72";"10947.3700";"-9";"-1.72"
"25R";"1700";"-";"8827.8810";"9";"-1.72";"OK";"8827.8810";"9";"-1.72";"8827.8810";"9";"-1.72"
"1";"-";"625";"136.0674";"-8";"4";"OK";"136.0674";"-8";"4";"136.0674";"-8";"4"
"2";"-";"625";"108.2740";"0";"4";"OK";"108.2740";"0";"4";"108.2740";"0";"4"
"3";"-";"625";"131.6684";"8";"4";"OK";"131.6684";"8";"4";"131.6684";"8";"4"
"4";"-";"625";"200.2519";"-4";"2";"OK";"200.2519";"-4";"2";"200.2519";"-4";"2"
"5";"-";"625";"173.5583";"0";"2";"OK";"173.5583";"0";"2";"173.5583";"0";"2"
"6";"-";"625";"151.6636";"4";"2";"OK";"151.6636";"4";"2";"151.6636";"4";"2"
"7";"65";"625";"327.8213";"-8";"0";"OK";"327.8213";"-8";"0";"327.8213";"-8";"0"
"8";"125";"625";"190.9542";"-4";"0";"OK";"190.9542";"-4";"0";"190.9542";"-4";"0"
"ZONE III";"-";"625";"(102.7753) 310.7254";"(2.4) -5.6";"(4) 0.8";"OK";"102.7753";"2.4";"4";"310.7254";"-5.6";"0.8"
"ZONE IV";"2500";"-";"(14806.4500) 30188.7500";"(-3.95) -0.1";"(-0.86) -1.72";"OK";"14806.4500";"-3.95";"-0.86";"30188.7500";"-0.1";"-1.72"
"ZONE I";"-";"2*50R";"(4933.0160) 30156.7600";"(9) -0.1";"(-5) -1.8";"OK";"4933.0160";"9";"-5";"30156.7600";"-0.1";"-1.8"
