sep=;
"No.";"Time [s]";"I [cd]";"Irel [%]"
1;0;11837.2;0.00
2;10;11837.2;0.00
3;20;11847.2;0.09
4;30;11837.2;0.00
5;40;11827.2;-0.09
6;50;11827.2;-0.09
7;60;11837.2;0.00
8;70.016;11827.2;-0.09
9;80.016;11827.2;-0.09
10;90.016;11827.2;-0.09
11;100.016;11817.2;-0.17
12;110.016;11817.2;-0.17
13;120.016;11807.2;-0.26
14;130.016;11817.2;-0.17
15;140.016;11807.2;-0.26
16;150.016;11797.2;-0.34
17;160.016;11797.2;-0.34
18;170.016;11797.2;-0.34
19;180.016;11807.2;-0.26
20;190.016;11797.2;-0.34
21;200.016;11797.2;-0.34
22;210.016;11777.2;-0.52
23;220.016;11787.2;-0.43
24;230.016;11777.2;-0.52
25;240.016;11787.2;-0.43
26;250.016;11767.2;-0.60
27;260.016;11777.2;-0.52
28;270.016;11767.2;-0.60
29;280.016;11777.2;-0.52
30;290.016;11767.2;-0.60
31;300.016;11747.2;-0.78
32;310.016;11767.2;-0.60
33;320.031;11757.2;-0.69
34;330.031;11747.2;-0.78
35;340.031;11747.2;-0.78
36;350.031;11747.2;-0.78
37;360.031;11747.2;-0.78
38;370.031;11737.2;-0.86
39;380.031;11727.2;-0.95
40;390.031;11737.2;-0.86
41;400.031;11737.2;-0.86
42;410.031;11727.2;-0.95
43;420.031;11727.2;-0.95
44;430.031;11717.2;-1.03
45;440.031;11717.2;-1.03
46;450.031;11717.2;-1.03
47;460.031;11717.2;-1.03
48;470.031;11717.2;-1.03
49;480.031;11717.2;-1.03
50;490.031;11707.2;-1.12
51;500.031;11707.2;-1.12
52;510.031;11697.2;-1.21
53;520.031;11707.2;-1.12
54;530.031;11697.2;-1.21
55;540.031;11697.2;-1.21
56;550.031;11687.2;-1.29
57;560.031;11687.2;-1.29
58;570.031;11697.2;-1.21
59;580.031;11687.2;-1.29
60;590.031;11687.2;-1.29
61;600.031;11687.2;-1.29
62;610.031;11687.2;-1.29
63;620.031;11677.2;-1.38
64;630.031;11677.2;-1.38
65;640.031;11657.2;-1.55
66;650.031;11667.2;-1.46
67;660.031;11667.2;-1.46
68;670.031;11677.2;-1.38
69;680.031;11667.2;-1.46
70;690.031;11657.2;-1.55
71;700.031;11657.2;-1.55
72;710.031;11657.2;-1.55
73;720.031;11657.2;-1.55
74;730.031;11657.2;-1.55
75;740.031;11657.2;-1.55
76;750.031;11647.2;-1.64
77;760.031;11647.2;-1.64
78;770.031;11647.2;-1.64
79;780.031;11647.2;-1.64
80;790.031;11637.2;-1.72
81;800.031;11637.2;-1.72
82;810.031;11637.2;-1.72
83;820.031;11637.2;-1.72
84;830.031;11627.2;-1.81
85;840.031;11637.2;-1.72
86;850.031;11637.2;-1.72
87;860.031;11627.2;-1.81
88;870.031;11627.2;-1.81
89;880.031;11627.2;-1.81
90;890.031;11627.2;-1.81
91;900.031;11617.2;-1.89
92;910.031;11627.2;-1.81
93;920.031;11617.2;-1.89
94;930.031;11617.2;-1.89
95;940.031;11617.2;-1.89
96;950.031;11617.2;-1.89
97;960.031;11607.2;-1.98
