sep=;
"Name:";"JW1 PE HPV DOM HL LED LOW(STD ASSY-LED) RH#1 2025-09-04"
"Number:";""
"Report:";"JO WON JIN"
"Test no.:";""
"Lamp type:";"LED"
"Lamp No:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(LMT #01 GO H-1300)"
"Voltage:";"13.2132 V";"Date:";"2025-09-04 ¿ÀÈÄ 8:58:08"
"Current:";"0.00000 A";"File:";"JW1 PE HPV DOM HL LED LOW(STD ASSY-LED) RH#1 2025-09-04"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"B50L";"-";"350";"154.3629";"-3.43";"0.57";"OK";"154.3629";"-3.43";"0.57";"154.3629";"-3.43";"0.57"
"BR";"-";"1750";"192.3538";"2.5";"1";"OK";"192.3538";"2.5";"1";"192.3538";"2.5";"1"
"75R";"10100";"-";"21084.9400";"1.15";"-0.57";"OK";"21084.9400";"1.15";"-0.57";"21084.9400";"1.15";"-0.57"
"75L";"-";"10600";"1888.5470";"-3.43";"-0.57";"OK";"1888.5470";"-3.43";"-0.57";"1888.5470";"-3.43";"-0.57"
"50L";"-";"18500";"12067.1000";"-3.43";"-0.86";"OK";"12067.1000";"-3.43";"-0.86";"12067.1000";"-3.43";"-0.86"
"50R";"10100";"-";"27223.4600";"1.72";"-0.86";"OK";"27223.4600";"1.72";"-0.86";"27223.4600";"1.72";"-0.86"
"50V";"5100";"-";"19885.2300";"0";"-0.86";"OK";"19885.2300";"0";"-0.86";"19885.2300";"0";"-0.86"
"25L";"1700";"-";"7457.2100";"-9";"-1.72";"OK";"7457.2100";"-9";"-1.72";"7457.2100";"-9";"-1.72"
"25R";"1700";"-";"11597.2200";"9";"-1.72";"OK";"11597.2200";"9";"-1.72";"11597.2200";"9";"-1.72"
"1";"-";"625";"76.1817";"-8";"4";"OK";"76.1817";"-8";"4";"76.1817";"-8";"4"
"2";"-";"625";"83.3800";"0";"4";"OK";"83.3800";"0";"4";"83.3800";"0";"4"
"3";"-";"625";"150.4639";"8";"4";"OK";"150.4639";"8";"4";"150.4639";"8";"4"
"4";"-";"625";"134.2678";"-4";"2";"OK";"134.2678";"-4";"2";"134.2678";"-4";"2"
"5";"-";"625";"137.4670";"0";"2";"OK";"137.4670";"0";"2";"137.4670";"0";"2"
"6";"-";"625";"154.9628";"4";"2";"OK";"154.9628";"4";"2";"154.9628";"4";"2"
"7";"65";"625";"447.6925";"-8";"0";"OK";"447.6925";"-8";"0";"447.6925";"-8";"0"
"8";"125";"625";"219.7473";"-4";"0";"OK";"219.7473";"-4";"0";"219.7473";"-4";"0"
"ZONE III";"-";"625";"(72.8025) 259.9376";"(-8) -1.2";"(3.8) 0";"OK";"72.8025";"-8";"3.8";"259.9376";"-1.2";"0"
"ZONE IV";"2500";"-";"(12514.0000) 27930.2900";"(-3.3) 1.8";"(-0.86) -1.12";"OK";"12514.0000";"-3.3";"-0.86";"27930.2900";"1.8";"-1.12"
"ZONE I";"-";"2*50R";"(4712.8690) 26083.7400";"(-9) 0.8";"(-5) -1.72";"OK";"4712.8690";"-9";"-5";"26083.7400";"0.8";"-1.72"
