sep=;
"No.";"Time [s]";"I [cd]";"Irel [%]"
1;0;62575.0;0.00
2;10;62635.0;0.10
3;20;62565.0;-0.02
4;30;62465.0;-0.18
5;40;62435.0;-0.23
6;50;62415.0;-0.26
7;60;62415.0;-0.26
8;70;62325.0;-0.41
9;80;62355.0;-0.36
10;90;62295.1;-0.46
11;100;62275.1;-0.49
12;110.016;62275.1;-0.49
13;120.016;62215.1;-0.59
14;130.016;62175.1;-0.65
15;140.016;62165.1;-0.67
16;150.016;62105.1;-0.77
17;160.016;62085.1;-0.80
18;170.016;62105.1;-0.77
19;180.016;62085.1;-0.80
20;190.016;62085.1;-0.80
21;200.016;62055.1;-0.85
22;210.016;61985.1;-0.96
23;220.016;61985.1;-0.96
24;230.016;61965.1;-0.99
25;240.016;61955.1;-1.01
26;250.016;61955.1;-1.01
27;260.016;61935.1;-1.04
28;270.016;61915.1;-1.08
29;280.016;61895.1;-1.11
30;290.032;61885.1;-1.13
31;300.032;61865.2;-1.16
32;310.032;61825.2;-1.22
33;320.032;61795.2;-1.27
34;330.032;61825.2;-1.22
35;340.047;61775.2;-1.30
36;350.047;61785.2;-1.29
37;360.047;61765.2;-1.32
38;370.047;61755.2;-1.34
39;380.047;61735.2;-1.37
40;390.047;61725.2;-1.39
41;400.047;61775.2;-1.30
42;410.047;61695.2;-1.44
43;420.047;61705.2;-1.42
44;430.047;61705.2;-1.42
45;440.047;61665.2;-1.48
46;450.047;61645.2;-1.52
47;460.047;61655.2;-1.50
48;470.047;61655.2;-1.50
49;480.047;61625.2;-1.55
50;490.047;61625.2;-1.55
51;500.047;61605.2;-1.58
52;510.047;61605.2;-1.58
53;520.047;61605.2;-1.58
54;530.047;61595.2;-1.60
55;540.047;61585.2;-1.61
56;550.047;61565.2;-1.65
57;560.047;61555.2;-1.66
58;570.047;61555.2;-1.66
59;580.047;61525.2;-1.71
60;590.047;61515.2;-1.73
61;600.047;61535.2;-1.70
62;610.047;61535.2;-1.70
63;620.047;61515.2;-1.73
64;630.047;61495.2;-1.76
65;640.047;61515.2;-1.73
66;650.047;61485.2;-1.78
67;660.047;61475.2;-1.79
68;670.047;61465.3;-1.81
69;680.047;61465.3;-1.81
70;690.047;61445.3;-1.84
71;700.047;61455.3;-1.83
72;710.047;61455.3;-1.83
73;720.047;61445.3;-1.84
74;730.047;61445.3;-1.84
75;740.047;61435.3;-1.86
76;750.047;61425.3;-1.88
77;760.047;61405.3;-1.91
78;770.047;61365.3;-1.97
79;780.047;61385.3;-1.94
80;790.047;61395.3;-1.92
81;800.047;61405.3;-1.91
82;810.047;61405.3;-1.91
83;820.047;61375.3;-1.96
84;830.047;61365.3;-1.97
85;840.047;61385.3;-1.94
86;850.047;61375.3;-1.96
87;860.047;61375.3;-1.96
88;870.047;61375.3;-1.96
89;880.047;61355.3;-1.99
90;890.047;61355.3;-1.99
91;900.047;61345.3;-2.01
92;910.047;61355.3;-1.99
93;920.047;61345.3;-2.01
94;930.047;61335.3;-2.02
95;940.047;61325.3;-2.04
96;950.047;61305.3;-2.07
97;960.047;61325.3;-2.04
