sep=;
"Name:";"JW1 PE HPV DOM HL LED LOW(STD ASSY-LED) RH#2 2025-09-02"
"Number:";""
"Report:";"JO WON JIN"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(LMT #01 GO H-1300)"
"Voltage:";"13.2130 V";"Date:";"2025-09-03 ¿ÀÀü 4:42:09"
"Current:";"0.00000 A";"File:";"JW1 PE HPV DOM HL LED LOW(STD ASSY-LED) RH#2 2025-09-02"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"B50L";"-";"350";"169.4593";"-3.43";"0.57";"OK";"169.4593";"-3.43";"0.57";"169.4593";"-3.43";"0.57"
"BR";"-";"1750";"211.6492";"2.5";"1";"OK";"211.6492";"2.5";"1";"211.6492";"2.5";"1"
"75R";"10100";"-";"20535.0700";"1.15";"-0.57";"OK";"20535.0700";"1.15";"-0.57";"20535.0700";"1.15";"-0.57"
"75L";"-";"10600";"1146.7250";"-3.43";"-0.57";"OK";"1146.7250";"-3.43";"-0.57";"1146.7250";"-3.43";"-0.57"
"50L";"-";"18500";"11147.3200";"-3.43";"-0.86";"OK";"11147.3200";"-3.43";"-0.86";"11147.3200";"-3.43";"-0.86"
"50R";"10100";"-";"26633.6100";"1.72";"-0.86";"OK";"26633.6100";"1.72";"-0.86";"26633.6100";"1.72";"-0.86"
"50V";"5100";"-";"18465.5700";"0";"-0.86";"OK";"18465.5700";"0";"-0.86";"18465.5700";"0";"-0.86"
"25L";"1700";"-";"7389.2270";"-9";"-1.72";"OK";"7389.2270";"-9";"-1.72";"7389.2270";"-9";"-1.72"
"25R";"1700";"-";"11527.2300";"9";"-1.72";"OK";"11527.2300";"9";"-1.72";"11527.2300";"9";"-1.72"
"1";"-";"625";"83.4800";"-8";"4";"OK";"83.4800";"-8";"4";"83.4800";"-8";"4"
"2";"-";"625";"97.4766";"0";"4";"OK";"97.4766";"0";"4";"97.4766";"0";"4"
"3";"-";"625";"165.1604";"8";"4";"OK";"165.1604";"8";"4";"165.1604";"8";"4"
"4";"-";"625";"143.3656";"-4";"2";"OK";"143.3656";"-4";"2";"143.3656";"-4";"2"
"5";"-";"625";"138.1668";"0";"2";"OK";"138.1668";"0";"2";"138.1668";"0";"2"
"6";"-";"625";"176.5576";"4";"2";"OK";"176.5576";"4";"2";"176.5576";"4";"2"
"7";"65";"625";"379.3090";"-8";"0";"OK";"379.3090";"-8";"0";"379.3090";"-8";"0"
"8";"125";"625";"239.5425";"-4";"0";"OK";"239.5425";"-4";"0";"239.5425";"-4";"0"
"ZONE III";"-";"625";"(80.1208) 279.9328";"(-8) -0.9";"(3.8) 0";"OK";"80.1208";"-8";"3.8";"279.9328";"-0.9";"0"
"ZONE IV";"2500";"-";"(11451.2500) 27643.3700";"(-3.4) 2";"(-0.86) -1.12";"OK";"11451.2500";"-3.4";"-0.86";"27643.3700";"2";"-1.12"
"ZONE I";"-";"2*50R";"(4693.0740) 26073.7400";"(-9) 0.8";"(-5) -1.72";"OK";"4693.0740";"-9";"-5";"26073.7400";"0.8";"-1.72"
