sep=;
"No.";"Time [s]";"I [cd]";"Irel [%]"
1;0;62834.9;0.00
2;10;62804.9;-0.05
3;20;62764.9;-0.11
4;30;62734.9;-0.16
5;40;62695.0;-0.23
6;50;62665.0;-0.28
7;60;62635.0;-0.33
8;70.016;62605.0;-0.37
9;80.016;62585.0;-0.41
10;90.016;62555.0;-0.46
11;100.016;62505.0;-0.54
12;110.016;62505.0;-0.54
13;120.016;62455.0;-0.62
14;130.016;62455.0;-0.62
15;140.016;62415.0;-0.68
16;150.016;62405.0;-0.70
17;160.016;62365.0;-0.76
18;170.016;62355.0;-0.78
19;180.016;62325.0;-0.83
20;190.016;62325.0;-0.83
21;200.016;62295.1;-0.88
22;210.016;62285.1;-0.89
23;220.016;62245.1;-0.96
24;230.016;62245.1;-0.96
25;240.016;62215.1;-1.01
26;250.016;62185.1;-1.06
27;260.016;62165.1;-1.09
28;270.016;62145.1;-1.12
29;280.016;62135.1;-1.14
30;290.016;62125.1;-1.15
31;300.016;62105.1;-1.19
32;310.016;62085.1;-1.22
33;320.016;62085.1;-1.22
34;330.016;62055.1;-1.27
35;340.016;62045.1;-1.28
36;350.016;62035.1;-1.30
37;360.016;62005.1;-1.35
38;370.016;62005.1;-1.35
39;380.016;62005.1;-1.35
40;390.016;61995.1;-1.37
41;400.016;61975.1;-1.40
42;410.016;61955.1;-1.43
43;420.016;61945.1;-1.45
44;430.016;61945.1;-1.45
45;440.016;61925.1;-1.48
46;450.016;61905.1;-1.51
47;460.016;61895.1;-1.53
48;470.016;61885.1;-1.54
49;480.016;61875.2;-1.56
50;490.016;61865.2;-1.58
51;500.016;61855.2;-1.59
52;510.016;61835.2;-1.63
53;520.016;61825.2;-1.64
54;530.016;61825.2;-1.64
55;540.016;61825.2;-1.64
56;550.016;61815.2;-1.66
57;560.016;61785.2;-1.71
58;570.016;61805.2;-1.67
59;580.016;61785.2;-1.71
60;590.016;61775.2;-1.72
61;600.016;61765.2;-1.74
62;610.016;61755.2;-1.76
63;620.032;61745.2;-1.77
64;630.047;61735.2;-1.79
65;640.047;61755.2;-1.76
66;650.047;61715.2;-1.82
67;660.047;61715.2;-1.82
68;670.047;61715.2;-1.82
69;680.047;61685.2;-1.87
70;690.047;61705.2;-1.84
71;700.047;61675.2;-1.89
72;710.047;61685.2;-1.87
73;720.047;61665.2;-1.90
74;730.047;61655.2;-1.92
75;740.047;61655.2;-1.92
76;750.047;61645.2;-1.93
77;760.047;61635.2;-1.95
78;770.047;61635.2;-1.95
79;780.047;61625.2;-1.97
80;790.047;61615.2;-1.98
81;800.047;61605.2;-2.00
82;810.047;61615.2;-1.98
83;820.047;61595.2;-2.02
84;830.047;61595.2;-2.02
85;840.047;61585.2;-2.03
86;850.047;61575.2;-2.05
87;860.047;61565.2;-2.06
88;870.047;61565.2;-2.06
89;880.063;61565.2;-2.06
90;890.063;61555.2;-2.08
91;900.063;61545.2;-2.10
92;910.063;61545.2;-2.10
93;920.063;61535.2;-2.11
94;930.063;61525.2;-2.13
95;940.063;61515.2;-2.15
96;950.063;61515.2;-2.15
97;960.063;61515.2;-2.15
