sep=;
"No.";"Time [s]";"I [cd]";"Irel [%]"
1;0;11627.2;0.00
2;10;11627.2;0.00
3;20;11627.2;0.00
4;30;11627.2;0.00
5;40;11627.2;0.00
6;50.016;11617.2;-0.09
7;60.016;11617.2;-0.09
8;70.016;11607.2;-0.18
9;80.016;11617.2;-0.09
10;90.016;11607.2;-0.18
11;100.032;11597.2;-0.26
12;110.032;11597.2;-0.26
13;120.032;11607.2;-0.18
14;130.032;11597.2;-0.26
15;140.032;11597.2;-0.26
16;150.032;11587.2;-0.35
17;160.032;11587.2;-0.35
18;170.032;11587.2;-0.35
19;180.032;11587.2;-0.35
20;190.032;11587.2;-0.35
21;200.032;11577.2;-0.44
22;210.032;11577.2;-0.44
23;220.032;11577.2;-0.44
24;230.032;11567.2;-0.53
25;240.032;11567.2;-0.53
26;250.032;11557.2;-0.61
27;260.032;11557.2;-0.61
28;270.032;11557.2;-0.61
29;280.032;11547.2;-0.70
30;290.032;11547.2;-0.70
31;300.032;11547.2;-0.70
32;310.032;11547.2;-0.70
33;320.032;11537.2;-0.79
34;330.032;11537.2;-0.79
35;340.032;11537.2;-0.79
36;350.032;11537.2;-0.79
37;360.032;11527.2;-0.88
38;370.032;11527.2;-0.88
39;380.032;11527.2;-0.88
40;390.032;11527.2;-0.88
41;400.032;11527.2;-0.88
42;410.032;11517.2;-0.96
43;420.032;11517.2;-0.96
44;430.032;11517.2;-0.96
45;440.032;11507.2;-1.05
46;450.032;11507.2;-1.05
47;460.032;11507.2;-1.05
48;470.032;11507.2;-1.05
49;480.032;11497.2;-1.14
50;490.032;11497.2;-1.14
51;500.032;11487.2;-1.23
52;510.032;11497.2;-1.14
53;520.032;11487.2;-1.23
54;530.032;11487.2;-1.23
55;540.032;11487.2;-1.23
56;550.032;11477.3;-1.32
57;560.032;11477.3;-1.32
58;570.032;11487.2;-1.23
59;580.032;11477.3;-1.32
60;590.032;11467.3;-1.40
61;600.032;11467.3;-1.40
62;610.032;11467.3;-1.40
63;620.032;11467.3;-1.40
64;630.032;11467.3;-1.40
65;640.032;11457.3;-1.49
66;650.032;11457.3;-1.49
67;660.032;11457.3;-1.49
68;670.032;11457.3;-1.49
69;680.032;11447.3;-1.58
70;690.032;11447.3;-1.58
71;700.032;11447.3;-1.58
72;710.032;11447.3;-1.58
73;720.032;11447.3;-1.58
74;730.032;11447.3;-1.58
75;740.032;11437.3;-1.67
76;750.032;11437.3;-1.67
77;760.032;11437.3;-1.67
78;770.032;11437.3;-1.67
79;780.032;11427.3;-1.75
80;790.032;11427.3;-1.75
81;800.032;11427.3;-1.75
82;810.032;11427.3;-1.75
83;820.032;11427.3;-1.75
84;830.032;11417.3;-1.84
85;840.032;11417.3;-1.84
86;850.032;11417.3;-1.84
87;860.032;11417.3;-1.84
88;870.032;11417.3;-1.84
89;880.032;11407.3;-1.93
90;890.032;11407.3;-1.93
91;900.032;11407.3;-1.93
92;910.032;11407.3;-1.93
93;920.032;11407.3;-1.93
94;930.032;11397.3;-2.02
95;940.032;11397.3;-2.02
96;950.032;11397.3;-2.02
97;960.032;11397.3;-2.02
