sep=;
"Name:";"JW1 PE HPV DOM HL LED LOW (STD ASSY-LED) RH#1 2025-09-01"
"Number:";""
"Report:";"JO WON JIN"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(LMT #01 GO H-1300)"
"Voltage:";"13.2136 V";"Date:";"2025-09-01 ¿ÀÈÄ 6:45:09"
"Current:";"0.00000 A";"File:";"JW1 PE HPV DOM HL LED LOW (STD ASSY-LED) RH#1 2025-09-01"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"B50L";"-";"350";"159.7617";"-3.43";"0.57";"OK";"159.7617";"-3.43";"0.57";"159.7617";"-3.43";"0.57"
"BR";"-";"1750";"202.0515";"2.5";"1";"OK";"202.0515";"2.5";"1";"202.0515";"2.5";"1"
"75R";"10100";"-";"22294.6500";"1.15";"-0.57";"OK";"22294.6500";"1.15";"-0.57";"22294.6500";"1.15";"-0.57"
"75L";"-";"10600";"3057.2660";"-3.43";"-0.57";"OK";"3057.2660";"-3.43";"-0.57";"3057.2660";"-3.43";"-0.57"
"50L";"-";"18500";"13156.8400";"-3.43";"-0.86";"OK";"13156.8400";"-3.43";"-0.86";"13156.8400";"-3.43";"-0.86"
"50R";"10100";"-";"27563.3800";"1.72";"-0.86";"OK";"27563.3800";"1.72";"-0.86";"27563.3800";"1.72";"-0.86"
"50V";"5100";"-";"21414.8600";"0";"-0.86";"OK";"21414.8600";"0";"-0.86";"21414.8600";"0";"-0.86"
"25L";"1700";"-";"7539.1900";"-9";"-1.72";"OK";"7539.1900";"-9";"-1.72";"7539.1900";"-9";"-1.72"
"25R";"1700";"-";"11377.2700";"9";"-1.72";"OK";"11377.2700";"9";"-1.72";"11377.2700";"9";"-1.72"
"1";"-";"625";"83.2800";"-8";"4";"OK";"83.2800";"-8";"4";"83.2800";"-8";"4"
"2";"-";"625";"86.8792";"0";"4";"OK";"86.8792";"0";"4";"86.8792";"0";"4"
"3";"-";"625";"150.1640";"8";"4";"OK";"150.1640";"8";"4";"150.1640";"8";"4"
"4";"-";"625";"127.3694";"-4";"2";"OK";"127.3694";"-4";"2";"127.3694";"-4";"2"
"5";"-";"625";"126.7696";"0";"2";"OK";"126.7696";"0";"2";"126.7696";"0";"2"
"6";"-";"625";"158.6619";"4";"2";"OK";"158.6619";"4";"2";"158.6619";"4";"2"
"7";"65";"625";"570.5630";"-8";"0";"OK";"570.5630";"-8";"0";"570.5630";"-8";"0"
"8";"125";"625";"236.6432";"-4";"0";"OK";"236.6432";"-4";"0";"236.6432";"-4";"0"
"ZONE III";"-";"625";"(77.1615) 269.9352";"(-8) -1.3";"(4) 0";"OK";"77.1615";"-8";"4";"269.9352";"-1.3";"0"
"ZONE IV";"2500";"-";"(13316.8000) 27733.3400";"(-3.55) 1.55";"(-0.86) -1.12";"OK";"13316.8000";"-3.55";"-0.86";"27733.3400";"1.55";"-1.12"
"ZONE I";"-";"2*50R";"(4674.0780) 25622.5200";"(-9) 0.6";"(-5) -1.72";"OK";"4674.0780";"-9";"-5";"25622.5200";"0.6";"-1.72"
