sep=;
"Name:";"CE FL DOM HL LED DRL (OPT ASSY-LED) RH #1 1min COLOR 2025-03-27"
"Number:";""
"Report:";"GO YUN SOO"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"James Kim"
"Voltage:";"13.5147 V";"Date:";"2025-03-27 ¿ÀÀü 6:32:15"
"Current:";"0.00007 A";"File:";"CE FL DOM HL LED DRL (OPT ASSY-LED) RH #1 1min COLOR 2025-03-27"

"No.";"Functions";"H[¡Æ]";"V[¡Æ]";"x";"y";"Tc";"N.O.K.";"EMin [lx]";"Hmin [¡Æ]";"Vmin [¡Æ]";"EMax [lx]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1";"10U-5L";"-5";"10";"0.3212";"0.3233";"6080";"OK";"0.885";"";"";"0.885";"";""
"2";"10U-V";"0";"10";"0.3208";"0.3226";"6100";"OK";"0.947";"";"";"0.947";"";""
"3";"10U-5R";"5";"10";"0.3201";"0.3217";"6144";"OK";"0.886";"";"";"0.886";"";""
"4";"5U-20L";"-20";"5";"0.3205";"0.3223";"6121";"OK";"0.371";"";"";"0.371";"";""
"5";"5U-10L";"-10";"5";"0.3222";"0.3244";"6022";"OK";"0.898";"";"";"0.898";"";""
"6";"5U-V";"0";"5";"0.3219";"0.3237";"6038";"OK";"1.189";"";"";"1.189";"";""
"7";"5U-10R";"10";"5";"0.3195";"0.3204";"6183";"OK";"0.931";"";"";"0.931";"";""
"8";"5U-20R";"20";"5";"0.3142";"0.3139";"6544";"OK";"0.349";"";"";"0.349";"";""
"9";"H-20L";"-20";"0";"0.3203";"0.3218";"6135";"OK";"0.366";"";"";"0.366";"";""
"10";"H-10L";"-10";"0";"0.3219";"0.3237";"6039";"OK";"0.885";"";"";"0.885";"";""
"11";"H-5L";"-5";"0";"0.3220";"0.3236";"6035";"OK";"1.106";"";"";"1.106";"";""
"12";"HV";"0";"0";"0.3216";"0.3230";"6056";"OK";"1.180";"";"";"1.180";"";""
"13";"H-5R";"5";"0";"0.3207";"0.3218";"6110";"OK";"1.087";"";"";"1.087";"";""
"14";"H-10R";"10";"0";"0.3193";"0.3199";"6200";"OK";"0.914";"";"";"0.914";"";""
"15";"H-20R";"20";"0";"0.3140";"0.3134";"6559";"OK";"0.349";"";"";"0.349";"";""
"16";"5D-20L";"-20";"-5";"0.3193";"0.3203";"6197";"OK";"0.303";"";"";"0.303";"";""
"17";"5D-10L";"-10";"-5";"0.3204";"0.3214";"6129";"OK";"0.707";"";"";"0.707";"";""
"18";"5D-V";"0";"-5";"0.3200";"0.3207";"6155";"OK";"0.946";"";"";"0.946";"";""
"19";"5D-10R";"10";"-5";"0.3182";"0.3182";"6271";"OK";"0.752";"";"";"0.752";"";""
"20";"5D-20R";"20";"-5";"0.3138";"0.3131";"6571";"OK";"0.309";"";"";"0.309";"";""
