sep=;
"Name:";"CE FL DOM HL LED DRL (OPT ASSY-LED) RH #1 2025-03-27"
"Number:";""
"Report:";"GO YUN SOO"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"James Kim"
"Voltage:";"13.5147 V";"Date:";"2025-03-27 ¿ÀÀü 7:13:04"
"Current:";"0.00009 A";"File:";"CE FL DOM HL LED DRL (OPT ASSY-LED) RH #1 2025-03-27"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1min H-V";"-";"-";"725.052";"0";"0";"OK";"725.052";"0";"0";"725.052";"0";"0"
"30min H-V";"-";"-";"684.570";"0";"0";"OK";"684.570";"0";"0";"684.570";"0";"0"
"10U-5L";"80";"1200";"538.476";"-5";"10";"OK";"538.476";"-5";"10";"538.476";"-5";"10"
"10U-V";"80";"1200";"570.138";"0";"10";"OK";"570.138";"0";"10";"570.138";"0";"10"
"10U-5R";"80";"1200";"542.234";"5";"10";"OK";"542.234";"5";"10";"542.234";"5";"10"
"5U-20L";"40";"1200";"254.780";"-20";"5";"OK";"254.780";"-20";"5";"254.780";"-20";"5"
"5U-10L";"80";"1200";"545.018";"-10";"5";"OK";"545.018";"-10";"5";"545.018";"-10";"5"
"5U-V";"280";"1200";"694.690";"0";"5";"OK";"694.690";"0";"5";"694.690";"0";"5"
"5U-10R";"80";"1200";"571.078";"10";"5";"OK";"571.078";"10";"5";"571.078";"10";"5"
"5U-20R";"40";"1200";"245.708";"20";"5";"OK";"245.708";"20";"5";"245.708";"20";"5"
"H-20L";"100";"1200";"250.660";"-20";"0";"OK";"250.660";"-20";"0";"250.660";"-20";"0"
"H-10L";"280";"1200";"532.692";"-10";"0";"OK";"532.692";"-10";"0";"532.692";"-10";"0"
"H-5L";"360";"1200";"646.980";"-5";"0";"OK";"646.980";"-5";"0";"646.980";"-5";"0"
"HV";"400";"1200";"684.209";"0";"0";"OK";"684.209";"0";"0";"684.209";"0";"0"
"H-5R";"360";"1200";"639.751";"5";"0";"OK";"639.751";"5";"0";"639.751";"5";"0"
"H-10R";"280";"1200";"557.885";"10";"0";"OK";"557.885";"10";"0";"557.885";"10";"0"
"H-20R";"100";"1200";"244.371";"20";"0";"OK";"244.371";"20";"0";"244.371";"20";"0"
"5D-20L";"40";"1200";"211.985";"-20";"-5";"OK";"211.985";"-20";"-5";"211.985";"-20";"-5"
"5D-10L";"80";"1200";"431.959";"-10";"-5";"OK";"431.959";"-10";"-5";"431.959";"-10";"-5"
"5D-V";"280";"1200";"555.861";"0";"-5";"OK";"555.861";"0";"-5";"555.861";"0";"-5"
"5D-10R";"80";"1200";"464.235";"10";"-5";"OK";"464.235";"10";"-5";"464.235";"10";"-5"
"5D-20R";"40";"1200";"219.503";"20";"-5";"OK";"219.503";"20";"-5";"219.503";"20";"-5"
"MIN/MAX";"1";"1200";"(212.301) 705.095";"(-20) -0.5";"(10) 3";"OK";"212.301";"-20";"10";"705.095";"-0.5";"3"
