sep=;
"Name:";"CE FL DOM HL LED DRL (OPT ASSY-LED) RH #1 COLOR 2025-03-27"
"Number:";""
"Report:";"GO YUN SOO"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"James Kim"
"Voltage:";"13.5146 V";"Date:";"2025-03-27 ¿ÀÀü 7:16:25"
"Current:";"0.00009 A";"File:";"CE FL DOM HL LED DRL (OPT ASSY-LED) RH #1 COLOR 2025-03-27"

"No.";"Functions";"H[¡Æ]";"V[¡Æ]";"x";"y";"Tc";"N.O.K.";"EMin [lx]";"Hmin [¡Æ]";"Vmin [¡Æ]";"EMax [lx]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1";"10U-5L";"-5";"10";"0.3204";"0.3212";"6130";"OK";"0.810";"";"";"0.810";"";""
"2";"10U-V";"0";"10";"0.3201";"0.3206";"6152";"OK";"0.867";"";"";"0.867";"";""
"3";"10U-5R";"5";"10";"0.3194";"0.3198";"6196";"OK";"0.815";"";"";"0.815";"";""
"4";"5U-20L";"-20";"5";"0.3197";"0.3205";"6172";"OK";"0.333";"";"";"0.333";"";""
"5";"5U-10L";"-10";"5";"0.3215";"0.3225";"6066";"OK";"0.820";"";"";"0.820";"";""
"6";"5U-V";"0";"5";"0.3211";"0.3217";"6091";"OK";"1.094";"";"";"1.094";"";""
"7";"5U-10R";"10";"5";"0.3188";"0.3188";"6232";"OK";"0.859";"";"";"0.859";"";""
"8";"5U-20R";"20";"5";"0.3135";"0.3121";"6604";"OK";"0.320";"";"";"0.320";"";""
"9";"H-20L";"-20";"0";"0.3196";"0.3200";"6183";"OK";"0.332";"";"";"0.332";"";""
"10";"H-10L";"-10";"0";"0.3211";"0.3218";"6092";"OK";"0.812";"";"";"0.812";"";""
"11";"H-5L";"-5";"0";"0.3211";"0.3217";"6088";"OK";"1.021";"";"";"1.021";"";""
"12";"HV";"0";"0";"0.3208";"0.3211";"6111";"OK";"1.091";"";"";"1.091";"";""
"13";"H-5R";"5";"0";"0.3199";"0.3199";"6166";"OK";"1.008";"";"";"1.008";"";""
"14";"H-10R";"10";"0";"0.3186";"0.3182";"6250";"OK";"0.849";"";"";"0.849";"";""
"15";"H-20R";"20";"0";"0.3132";"0.3118";"6621";"OK";"0.322";"";"";"0.322";"";""
"16";"5D-20L";"-20";"-5";"0.3184";"0.3185";"6256";"OK";"0.278";"";"";"0.278";"";""
"17";"5D-10L";"-10";"-5";"0.3196";"0.3197";"6183";"OK";"0.651";"";"";"0.651";"";""
"18";"5D-V";"0";"-5";"0.3191";"0.3188";"6217";"OK";"0.876";"";"";"0.876";"";""
"19";"5D-10R";"10";"-5";"0.3174";"0.3166";"6329";"OK";"0.698";"";"";"0.698";"";""
"20";"5D-20R";"20";"-5";"0.3130";"0.3114";"6641";"OK";"0.286";"";"";"0.286";"";""
