sep=;
"Name:";"CE FL DOM HL LED PSTN (OPT ASSY-LED) RH #1 1min COLOR 2025-03-27"
"Number:";""
"Report:";"GO YUN SOO"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"James Kim"
"Voltage:";"13.5147 V";"Date:";"2025-03-27 ¿ÀÀü 4:32:38"
"Current:";"0.00015 A";"File:";"CE FL DOM HL LED PSTN (OPT ASSY-LED) RH #1 1min COLOR 2025-03-27"

"No.";"Functions";"H[¡Æ]";"V[¡Æ]";"x";"y";"Tc";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1";"10U-5L";"-5";"10";"0.3210";"0.3253";"6080";"OK";"42.0";"";"";"42.0";"";""
"2";"10U-5R";"5";"10";"0.3200";"0.3239";"6140";"OK";"42.2";"";"";"42.2";"";""
"3";"5U-20L";"-20";"5";"0.3200";"0.3246";"6140";"OK";"20.3";"";"";"20.3";"";""
"4";"5U-10L";"-10";"5";"0.3220";"0.3265";"6025";"OK";"42.8";"";"";"42.8";"";""
"5";"5U-V";"0";"5";"0.3219";"0.3258";"6032";"OK";"54.2";"";"";"54.2";"";""
"6";"5U-10R";"10";"5";"0.3194";"0.3226";"6179";"OK";"44.5";"";"";"44.5";"";""
"7";"5U-20R";"20";"5";"0.3136";"0.3162";"6558";"OK";"19.2";"";"";"19.2";"";""
"8";"H-10L";"-10";"0";"0.3216";"0.3258";"6045";"OK";"41.9";"";"";"41.9";"";""
"9";"H-5L";"-5";"0";"0.3219";"0.3257";"6033";"OK";"50.6";"";"";"50.6";"";""
"10";"HV";"0";"0";"0.3216";"0.3252";"6051";"OK";"53.5";"";"";"53.5";"";""
"11";"H-5R";"5";"0";"0.3206";"0.3240";"6105";"OK";"49.9";"";"";"49.9";"";""
"12";"H-10R";"10";"0";"0.3191";"0.3221";"6197";"OK";"43.5";"";"";"43.5";"";""
"13";"5D-20L";"-20";"-5";"0.3183";"0.3230";"6238";"OK";"16.9";"";"";"16.9";"";""
"14";"5D-10L";"-10";"-5";"0.3202";"0.3237";"6133";"OK";"34.2";"";"";"34.2";"";""
"15";"5D-V";"0";"-5";"0.3198";"0.3229";"6154";"OK";"43.7";"";"";"43.7";"";""
"16";"5D-10R";"10";"-5";"0.3181";"0.3206";"6264";"OK";"36.4";"";"";"36.4";"";""
"17";"5D-20R";"20";"-5";"0.3131";"0.3158";"6591";"OK";"17.3";"";"";"17.3";"";""
"18";"10D-5L";"-5";"-10";"0.3178";"0.3208";"6281";"OK";"26.7";"";"";"26.7";"";""
"19";"10D-5R";"5";"-10";"0.3160";"0.3182";"6397";"OK";"26.5";"";"";"26.5";"";""
