sep=;
"Name:";"CE FL DOM HL LED PSTN (OPT ASSY-LED) RH #1 2025-03-27"
"Number:";""
"Report:";"GO YUN SOO"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"James Kim"
"Voltage:";"13.5145 V";"Date:";"2025-03-27 ¿ÀÀü 5:29:16"
"Current:";"0.00002 A";"File:";"CE FL DOM HL LED PSTN (OPT ASSY-LED) RH #1 2025-03-27"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1min H-V";"-";"-";"53.309";"0";"0";"OK";"53.309";"0";"0";"53.309";"0";"0"
"30min H-V";"-";"-";"53.143";"0";"0";"OK";"53.143";"0";"0";"53.143";"0";"0"
"10U-5L";"0.8";"140";"41.801";"-5";"10";"OK";"41.801";"-5";"10";"41.801";"-5";"10"
"10U-5R";"0.8";"140";"41.963";"5";"10";"OK";"41.963";"5";"10";"41.963";"5";"10"
"5U-20L";"0.4";"140";"20.197";"-20";"5";"OK";"20.197";"-20";"5";"20.197";"-20";"5"
"5U-10L";"0.8";"140";"42.502";"-10";"5";"OK";"42.502";"-10";"5";"42.502";"-10";"5"
"5U-V";"2.8";"140";"53.952";"0";"5";"OK";"53.952";"0";"5";"53.952";"0";"5"
"5U-10R";"0.8";"140";"44.255";"10";"5";"OK";"44.255";"10";"5";"44.255";"10";"5"
"5U-20R";"0.4";"140";"19.218";"20";"5";"OK";"19.218";"20";"5";"19.218";"20";"5"
"H-10L";"1.4";"140";"41.772";"-10";"0";"OK";"41.772";"-10";"0";"41.772";"-10";"0"
"H-5L";"3.6";"140";"50.323";"-5";"0";"OK";"50.323";"-5";"0";"50.323";"-5";"0"
"HV";"4";"140";"53.146";"0";"0";"OK";"53.146";"0";"0";"53.146";"0";"0"
"H-5R";"3.6";"140";"49.640";"5";"0";"OK";"49.640";"5";"0";"49.640";"5";"0"
"H-10R";"1.4";"140";"43.359";"10";"0";"OK";"43.359";"10";"0";"43.359";"10";"0"
"5D-20L";"0.4";"140";"16.782";"-20";"-5";"OK";"16.782";"-20";"-5";"16.782";"-20";"-5"
"5D-10L";"0.8";"140";"33.849";"-10";"-5";"OK";"33.849";"-10";"-5";"33.849";"-10";"-5"
"5D-V";"2.8";"140";"43.406";"0";"-5";"OK";"43.406";"0";"-5";"43.406";"0";"-5"
"5D-10R";"0.8";"140";"36.159";"10";"-5";"OK";"36.159";"10";"-5";"36.159";"10";"-5"
"5D-20R";"0.4";"140";"17.230";"20";"-5";"OK";"17.230";"20";"-5";"17.230";"20";"-5"
"10D-5L";"0.8";"140";"26.523";"-5";"-10";"OK";"26.523";"-5";"-10";"26.523";"-5";"-10"
"10D-5R";"0.8";"140";"26.335";"5";"-10";"OK";"26.335";"5";"-10";"26.335";"5";"-10"
"MIN/MAX";"0.05";"140";"(0.087) 54.978";"(-45) -0.6";"(-15) 3.2";"OK";"0.087";"-45";"-15";"54.978";"-0.6";"3.2"
