sep=;
"Name:";"CE FL DOM HL LED PSTN (OPT ASSY-LED) RH #1 COLOR 2025-03-27"
"Number:";""
"Report:";"GO YUN SOO"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"James Kim"
"Voltage:";"13.5145 V";"Date:";"2025-03-27 ¿ÀÀü 5:32:26"
"Current:";"0.00006 A";"File:";"CE FL DOM HL LED PSTN (OPT ASSY-LED) RH #1 COLOR 2025-03-27"

"No.";"Functions";"H[¡Æ]";"V[¡Æ]";"x";"y";"Tc";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1";"10U-5L";"-5";"10";"0.3210";"0.3252";"6080";"OK";"41.9";"";"";"41.9";"";""
"2";"10U-5R";"5";"10";"0.3200";"0.3238";"6143";"OK";"42.2";"";"";"42.2";"";""
"3";"5U-20L";"-20";"5";"0.3199";"0.3247";"6143";"OK";"20.3";"";"";"20.3";"";""
"4";"5U-10L";"-10";"5";"0.3220";"0.3264";"6025";"OK";"42.7";"";"";"42.7";"";""
"5";"5U-V";"0";"5";"0.3218";"0.3257";"6035";"OK";"54.1";"";"";"54.1";"";""
"6";"5U-10R";"10";"5";"0.3194";"0.3226";"6181";"OK";"44.4";"";"";"44.4";"";""
"7";"5U-20R";"20";"5";"0.3135";"0.3164";"6562";"OK";"19.2";"";"";"19.2";"";""
"8";"H-10L";"-10";"0";"0.3216";"0.3258";"6045";"OK";"41.8";"";"";"41.8";"";""
"9";"H-5L";"-5";"0";"0.3219";"0.3256";"6034";"OK";"50.5";"";"";"50.5";"";""
"10";"HV";"0";"0";"0.3215";"0.3251";"6053";"OK";"53.3";"";"";"53.3";"";""
"11";"H-5R";"5";"0";"0.3206";"0.3239";"6106";"OK";"49.8";"";"";"49.8";"";""
"12";"H-10R";"10";"0";"0.3191";"0.3220";"6198";"OK";"43.4";"";"";"43.4";"";""
"13";"5D-20L";"-20";"-5";"0.3183";"0.3230";"6240";"OK";"16.9";"";"";"16.9";"";""
"14";"5D-10L";"-10";"-5";"0.3201";"0.3237";"6136";"OK";"34.1";"";"";"34.1";"";""
"15";"5D-V";"0";"-5";"0.3198";"0.3229";"6156";"OK";"43.5";"";"";"43.5";"";""
"16";"5D-10R";"10";"-5";"0.3181";"0.3205";"6266";"OK";"36.2";"";"";"36.2";"";""
"17";"5D-20R";"20";"-5";"0.3131";"0.3158";"6592";"OK";"17.2";"";"";"17.2";"";""
"18";"10D-5L";"-5";"-10";"0.3177";"0.3207";"6286";"OK";"26.6";"";"";"26.6";"";""
"19";"10D-5R";"5";"-10";"0.3159";"0.3182";"6403";"OK";"26.4";"";"";"26.4";"";""
