sep=;
"Name:";"CE FL DOM HL LED T-SIG (OPT ASSY-LED) RH #1 1min COLOR 2025-03-27"
"Number:";""
"Report:";"GO YUN SOO"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"James Kim"
"Voltage:";"13.5144 V";"Date:";"2025-03-27 ¿ÀÀü 2:07:27"
"Current:";"0.00003 A";"File:";"CE FL DOM HL LED T-SIG (OPT ASSY-LED) RH #1 1min COLOR 2025-03-27"

"No.";"Functions";"H[¡Æ]";"V[¡Æ]";"x";"y";"Tc";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1";"10U - 5L";"-5";"10";"0.5742";"0.4185";"1694";"OK";"371.4";"";"";"371.4";"";""
"2";"10U - 5R";"5";"10";"0.5743";"0.4184";"1692";"OK";"464.1";"";"";"464.1";"";""
"3";"5U - 20L";"-20";"5";"0.5735";"0.4186";"1698";"OK";"129.4";"";"";"129.4";"";""
"4";"5U - 10L";"-10";"5";"0.5743";"0.4182";"1691";"OK";"333.4";"";"";"333.4";"";""
"5";"5U - V";"0";"5";"0.5746";"0.4181";"1690";"OK";"512.1";"";"";"512.1";"";""
"6";"5U - 10R";"10";"5";"0.5745";"0.4182";"1690";"OK";"539.8";"";"";"539.8";"";""
"7";"5U - 20R";"20";"5";"0.5733";"0.4188";"1701";"OK";"211.5";"";"";"211.5";"";""
"8";"H - 10L";"-10";"0";"0.5744";"0.4180";"1690";"OK";"323.9";"";"";"323.9";"";""
"9";"H - 5L";"-5";"0";"0.5745";"0.4180";"1689";"OK";"429.4";"";"";"429.4";"";""
"10";"HV";"0";"0";"0.5746";"0.4180";"1688";"OK";"497.7";"";"";"497.7";"";""
"11";"H - 5R";"5";"0";"0.5746";"0.4179";"1688";"OK";"521.0";"";"";"521.0";"";""
"12";"H - 10R";"10";"0";"0.5745";"0.4180";"1689";"OK";"514.6";"";"";"514.6";"";""
"13";"5D - 20L";"-20";"-5";"0.5737";"0.4183";"1696";"OK";"108.5";"";"";"108.5";"";""
"14";"5D - 10L";"-10";"-5";"0.5742";"0.4180";"1691";"OK";"264.4";"";"";"264.4";"";""
"15";"5D - V";"0";"-5";"0.5744";"0.4179";"1689";"OK";"399.6";"";"";"399.6";"";""
"16";"5D - 10R";"10";"-5";"0.5743";"0.4180";"1690";"OK";"408.3";"";"";"408.3";"";""
"17";"5D - 20R";"20";"-5";"0.5733";"0.4185";"1699";"OK";"181.3";"";"";"181.3";"";""
"18";"10D - 5L";"-5";"-10";"0.5740";"0.4181";"1693";"OK";"222.2";"";"";"222.2";"";""
"19";"10D - 5R";"5";"-10";"0.5737";"0.4183";"1696";"OK";"253.3";"";"";"253.3";"";""
