sep=;
"Name:";"CE FL DOM HL LED T-SIG (OPT ASSY-LED) RH #1 2025-03-27"
"Number:";""
"Report:";"GO YUN SOO"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"James Kim"
"Voltage:";"13.5145 V";"Date:";"2025-03-27 ¿ÀÀü 3:05:23"
"Current:";"0.00015 A";"File:";"CE FL DOM HL LED T-SIG (OPT ASSY-LED) RH #1 2025-03-27"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1min H-V";"-";"-";"478.729";"0";"0";"OK";"478.729";"0";"0";"478.729";"0";"0"
"30min H-V";"-";"-";"442.441";"0";"0";"OK";"442.441";"0";"0";"442.441";"0";"0"
"10U - 5L";"35";"1000";"325.008";"-5";"10";"OK";"325.008";"-5";"10";"325.008";"-5";"10"
"10U - 5R";"35";"1000";"408.212";"5";"10";"OK";"408.212";"5";"10";"408.212";"5";"10"
"5U - 20L";"17.5";"1000";"112.444";"-20";"5";"OK";"112.444";"-20";"5";"112.444";"-20";"5"
"5U - 10L";"35";"1000";"295.081";"-10";"5";"OK";"295.081";"-10";"5";"295.081";"-10";"5"
"5U - V";"122.5";"1000";"452.850";"0";"5";"OK";"452.850";"0";"5";"452.850";"0";"5"
"5U - 10R";"35";"1000";"474.934";"10";"5";"OK";"474.934";"10";"5";"474.934";"10";"5"
"5U - 20R";"17.5";"1000";"189.395";"20";"5";"OK";"189.395";"20";"5";"189.395";"20";"5"
"H - 10L";"61.25";"1000";"288.286";"-10";"0";"OK";"288.286";"-10";"0";"288.286";"-10";"0"
"H - 5L";"157.5";"1000";"381.538";"-5";"0";"OK";"381.538";"-5";"0";"381.538";"-5";"0"
"HV";"175";"1000";"442.043";"0";"0";"OK";"442.043";"0";"0";"442.043";"0";"0"
"H - 5R";"157.5";"1000";"464.597";"5";"0";"OK";"464.597";"5";"0";"464.597";"5";"0"
"H - 10R";"61.25";"1000";"455.886";"10";"0";"OK";"455.886";"10";"0";"455.886";"10";"0"
"5D - 20L";"17.5";"1000";"96.396";"-20";"-5";"OK";"96.396";"-20";"-5";"96.396";"-20";"-5"
"5D - 10L";"35";"1000";"235.949";"-10";"-5";"OK";"235.949";"-10";"-5";"235.949";"-10";"-5"
"5D - V";"122.5";"1000";"355.731";"0";"-5";"OK";"355.731";"0";"-5";"355.731";"0";"-5"
"5D - 10R";"35";"1000";"362.743";"10";"-5";"OK";"362.743";"10";"-5";"362.743";"10";"-5"
"5D - 20R";"17.5";"1000";"163.516";"20";"-5";"OK";"163.516";"20";"-5";"163.516";"20";"-5"
"10D - 5L";"35";"1000";"197.528";"-5";"-10";"OK";"197.528";"-5";"-10";"197.528";"-5";"-10"
"10D - 5R";"35";"1000";"224.672";"5";"-10";"OK";"224.672";"5";"-10";"224.672";"5";"-10"
"MIN/MAX";"0.3";"1000";"(0.493) 477.405";"(-45) 5";"(-15) 3.4";"OK";"0.493";"-45";"-15";"477.405";"5";"3.4"
