sep=;
"Name:";"CE FL DOM HL LED T-SIG (OPT ASSY-LED) RH #1 COLOR 2025-03-27"
"Number:";""
"Report:";"GO YUN SOO"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"James Kim"
"Voltage:";"13.5145 V";"Date:";"2025-03-27 ¿ÀÀü 3:08:38"
"Current:";"0.00019 A";"File:";"CE FL DOM HL LED T-SIG (OPT ASSY-LED) RH #1 COLOR 2025-03-27"

"No.";"Functions";"H[¡Æ]";"V[¡Æ]";"x";"y";"Tc";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1";"10U - 5L";"-5";"10";"0.5745";"0.4171";"1685";"OK";"320.1";"";"";"320.1";"";""
"2";"10U - 5R";"5";"10";"0.5747";"0.4170";"1683";"OK";"402.3";"";"";"402.3";"";""
"3";"5U - 20L";"-20";"5";"0.5737";"0.4173";"1690";"OK";"111.1";"";"";"111.1";"";""
"4";"5U - 10L";"-10";"5";"0.5746";"0.4169";"1683";"OK";"291.9";"";"";"291.9";"";""
"5";"5U - V";"0";"5";"0.5748";"0.4169";"1682";"OK";"447.9";"";"";"447.9";"";""
"6";"5U - 10R";"10";"5";"0.5747";"0.4170";"1683";"OK";"469.7";"";"";"469.7";"";""
"7";"5U - 20R";"20";"5";"0.5734";"0.4176";"1694";"OK";"187.3";"";"";"187.3";"";""
"8";"H - 10L";"-10";"0";"0.5745";"0.4169";"1683";"OK";"286.2";"";"";"286.2";"";""
"9";"H - 5L";"-5";"0";"0.5747";"0.4169";"1682";"OK";"378.5";"";"";"378.5";"";""
"10";"HV";"0";"0";"0.5748";"0.4168";"1681";"OK";"438.5";"";"";"438.5";"";""
"11";"H - 5R";"5";"0";"0.5748";"0.4169";"1682";"OK";"461.1";"";"";"461.1";"";""
"12";"H - 10R";"10";"0";"0.5747";"0.4170";"1683";"OK";"452.5";"";"";"452.5";"";""
"13";"5D - 20L";"-20";"-5";"0.5736";"0.4173";"1691";"OK";"95.7";"";"";"95.7";"";""
"14";"5D - 10L";"-10";"-5";"0.5742";"0.4171";"1686";"OK";"234.8";"";"";"234.8";"";""
"15";"5D - V";"0";"-5";"0.5745";"0.4170";"1684";"OK";"353.8";"";"";"353.8";"";""
"16";"5D - 10R";"10";"-5";"0.5744";"0.4171";"1685";"OK";"361.3";"";"";"361.3";"";""
"17";"5D - 20R";"20";"-5";"0.5733";"0.4176";"1694";"OK";"162.1";"";"";"162.1";"";""
"18";"10D - 5L";"-5";"-10";"0.5739";"0.4172";"1688";"OK";"197.1";"";"";"197.1";"";""
"19";"10D - 5R";"5";"-10";"0.5737";"0.4174";"1691";"OK";"224.9";"";"";"224.9";"";""
