sep=;
"Name:";"CE FL DOM HL LED DRL (STD ASSY-LED) LH #1 2025-03-21"
"Number:";""
"Report:";"GO YUN SOO"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL CORP.(LAB #3 LMT GO-H1660)"
"Voltage:";"13.5145 V";"Date:";"2025-03-21 ¿ÀÀü 5:45:09"
"Current:";"0.00011 A";"File:";"CE FL DOM HL LED DRL (STD ASSY-LED) LH #1 2025-03-21"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1min H-V";"-";"-";"709.871";"0";"0";"OK";"709.871";"0";"0";"709.871";"0";"0"
"30min H-V";"-";"-";"686.016";"0";"0";"OK";"686.016";"0";"0";"686.016";"0";"0"
"10U-5L";"80";"1200";"560.343";"-5";"10";"OK";"560.343";"-5";"10";"560.343";"-5";"10"
"10U-V";"80";"1200";"583.764";"0";"10";"OK";"583.764";"0";"10";"583.764";"0";"10"
"10U-5R";"80";"1200";"545.524";"5";"10";"OK";"545.524";"5";"10";"545.524";"5";"10"
"5U-20L";"40";"1200";"261.575";"-20";"5";"OK";"261.575";"-20";"5";"261.575";"-20";"5"
"5U-10L";"80";"1200";"588.065";"-10";"5";"OK";"588.065";"-10";"5";"588.065";"-10";"5"
"5U-V";"280";"1200";"704.088";"0";"5";"OK";"704.088";"0";"5";"704.088";"0";"5"
"5U-10R";"80";"1200";"554.704";"10";"5";"OK";"554.704";"10";"5";"554.704";"10";"5"
"5U-20R";"40";"1200";"267.467";"20";"5";"OK";"267.467";"20";"5";"267.467";"20";"5"
"H-20L";"100";"1200";"259.262";"-20";"0";"OK";"259.262";"-20";"0";"259.262";"-20";"0"
"H-10L";"280";"1200";"568.981";"-10";"0";"OK";"568.981";"-10";"0";"568.981";"-10";"0"
"H-5L";"360";"1200";"643.004";"-5";"0";"OK";"643.004";"-5";"0";"643.004";"-5";"0"
"HV";"400";"1200";"685.654";"0";"0";"OK";"685.654";"0";"0";"685.654";"0";"0"
"H-5R";"360";"1200";"648.787";"5";"0";"OK";"648.787";"5";"0";"648.787";"5";"0"
"H-10R";"280";"1200";"537.644";"10";"0";"OK";"537.644";"10";"0";"537.644";"10";"0"
"H-20R";"100";"1200";"260.021";"20";"0";"OK";"260.021";"20";"0";"260.021";"20";"0"
"5D-20L";"40";"1200";"229.913";"-20";"-5";"OK";"229.913";"-20";"-5";"229.913";"-20";"-5"
"5D-10L";"80";"1200";"474.320";"-10";"-5";"OK";"474.320";"-10";"-5";"474.320";"-10";"-5"
"5D-V";"280";"1200";"560.126";"0";"-5";"OK";"560.126";"0";"-5";"560.126";"0";"-5"
"5D-10R";"80";"1200";"436.838";"10";"-5";"OK";"436.838";"10";"-5";"436.838";"10";"-5"
"5D-20R";"40";"1200";"217.913";"20";"-5";"OK";"217.913";"20";"-5";"217.913";"20";"-5"
"MIN/MAX";"1";"1200";"(214.089) 711.224";"(20) 0.3";"(10) 3.8";"OK";"214.089";"20";"10";"711.224";"0.3";"3.8"
