sep=;
"Name:";"CE FL DOM HL LED LOW (STD ASSY-LED) LH #1 2025-03-20"
"Number:";""
"Report:";"GO YUN SOO"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL CORP.(LAB #3 LMT GO-H1660)"
"Voltage:";"13.2144 V";"Date:";"2025-03-20 ¿ÀÈÄ 8:22:29"
"Current:";"0.00012 A";"File:";"CE FL DOM HL LED LOW (STD ASSY-LED) LH #1 2025-03-20"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"B50L";"-";"350";"265.115";"-3.43";"0.57";"OK";"265.115";"-3.43";"0.57";"265.115";"-3.43";"0.57"
"BR";"-";"1750";"288.708";"2.5";"1";"OK";"288.708";"2.5";"1";"288.708";"2.5";"1"
"75R";"10100";"-";"13218.770";"1.15";"-0.57";"OK";"13218.770";"1.15";"-0.57";"13218.770";"1.15";"-0.57"
"75L";"-";"10600";"753.059";"-3.43";"-0.57";"OK";"753.059";"-3.43";"-0.57";"753.059";"-3.43";"-0.57"
"50L";"-";"18500";"2057.342";"-3.43";"-0.86";"OK";"2057.342";"-3.43";"-0.86";"2057.342";"-3.43";"-0.86"
"50R";"10100";"-";"27811.100";"1.72";"-0.86";"OK";"27811.100";"1.72";"-0.86";"27811.100";"1.72";"-0.86"
"50V";"5100";"-";"16484.720";"0";"-0.86";"OK";"16484.720";"0";"-0.86";"16484.720";"0";"-0.86"
"25L";"1700";"-";"10543.630";"-9";"-1.72";"OK";"10543.630";"-9";"-1.72";"10543.630";"-9";"-1.72"
"25R";"1700";"-";"16226.810";"9";"-1.72";"OK";"16226.810";"9";"-1.72";"16226.810";"9";"-1.72"
"1";"-";"625";"201.336";"-8";"4";"OK";"201.336";"-8";"4";"201.336";"-8";"4"
"2";"-";"625";"247.621";"0";"4";"OK";"247.621";"0";"4";"247.621";"0";"4"
"3";"-";"625";"192.838";"8";"4";"OK";"192.838";"8";"4";"192.838";"8";"4"
"4";"-";"625";"243.022";"-4";"2";"OK";"243.022";"-4";"2";"243.022";"-4";"2"
"5";"-";"625";"234.025";"0";"2";"OK";"234.025";"0";"2";"234.025";"0";"2"
"6";"-";"625";"219.530";"4";"2";"OK";"219.530";"4";"2";"219.530";"4";"2"
"7";"65";"625";"270.713";"-8";"0";"OK";"270.713";"-8";"0";"270.713";"-8";"0"
"8";"125";"625";"400.472";"-4";"0";"OK";"400.472";"-4";"0";"400.472";"-4";"0"
"ZONE III";"-";"625";"(175.526) 476.286";"(-8) 0";"(2) 0";"OK";"175.526";"-8";"2";"476.286";"0";"0"
"ZONE IV";"2500";"-";"(4715.272) 39368.430";"(-5.15) 1.1";"(-0.86) -1.52";"OK";"4715.272";"-5.15";"-0.86";"39368.430";"1.1";"-1.52"
"ZONE I";"-";"2*50R";"(6822.602) 39004.250";"(9) 1.1";"(-5) -1.72";"OK";"6822.602";"9";"-5";"39004.250";"1.1";"-1.72"
