sep=;
"Name:";"CE FL DOM HL LED PSTN (STD ASSY-LED) LH #1 1min COLOR 2025-03-21"
"Number:";""
"Report:";"GO YUN SOO"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL CORP.(LAB #3 LMT GO-H1660)"
"Voltage:";"13.5149 V";"Date:";"2025-03-21 ¿ÀÀü 2:46:11"
"Current:";"0.00014 A";"File:";"CE FL DOM HL LED PSTN (STD ASSY-LED) LH #1 1min COLOR 2025-03-21"

"No.";"Functions";"H[¡Æ]";"V[¡Æ]";"x";"y";"Tc";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1";"10U-5L";"-5";"10";"0.3224";"0.3291";"5994";"OK";"40.8";"";"";"40.8";"";""
"2";"10U-5R";"5";"10";"0.3230";"0.3301";"5960";"OK";"39.6";"";"";"39.6";"";""
"3";"5U-20L";"-20";"5";"0.3167";"0.3227";"6327";"OK";"19.3";"";"";"19.3";"";""
"4";"5U-10L";"-10";"5";"0.3226";"0.3289";"5983";"OK";"42.7";"";"";"42.7";"";""
"5";"5U-V";"0";"5";"0.3245";"0.3314";"5883";"OK";"51.2";"";"";"51.2";"";""
"6";"5U-10R";"10";"5";"0.3241";"0.3315";"5898";"OK";"40.2";"";"";"40.2";"";""
"7";"5U-20R";"20";"5";"0.3222";"0.3297";"5999";"OK";"19.5";"";"";"19.5";"";""
"8";"H-10L";"-10";"0";"0.3221";"0.3281";"6014";"OK";"41.4";"";"";"41.4";"";""
"9";"H-5L";"-5";"0";"0.3233";"0.3295";"5945";"OK";"46.9";"";"";"46.9";"";""
"10";"HV";"0";"0";"0.3241";"0.3306";"5904";"OK";"49.9";"";"";"49.9";"";""
"11";"H-5R";"5";"0";"0.3242";"0.3310";"5897";"OK";"47.0";"";"";"47.0";"";""
"12";"H-10R";"10";"0";"0.3236";"0.3306";"5927";"OK";"39.0";"";"";"39.0";"";""
"13";"5D-20L";"-20";"-5";"0.3157";"0.3215";"6395";"OK";"17.0";"";"";"17.0";"";""
"14";"5D-10L";"-10";"-5";"0.3208";"0.3265";"6086";"OK";"34.7";"";"";"34.7";"";""
"15";"5D-V";"0";"-5";"0.3224";"0.3286";"5994";"OK";"40.9";"";"";"40.9";"";""
"16";"5D-10R";"10";"-5";"0.3223";"0.3289";"5997";"OK";"31.9";"";"";"31.9";"";""
"17";"5D-20R";"20";"-5";"0.3203";"0.3279";"6106";"OK";"15.9";"";"";"15.9";"";""
"18";"10D-5L";"-5";"-10";"0.3195";"0.3254";"6160";"OK";"26.4";"";"";"26.4";"";""
"19";"10D-5R";"5";"-10";"0.3205";"0.3265";"6100";"OK";"25.3";"";"";"25.3";"";""
