sep=;
"Name:";"CE FL DOM HL LED PSTN (STD ASSY-LED) LH #1 2025-03-21"
"Number:";""
"Report:";"GO YUN SOO"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL CORP.(LAB #3 LMT GO-H1660)"
"Voltage:";"13.5148 V";"Date:";"2025-03-21 ¿ÀÀü 3:43:32"
"Current:";"0.00008 A";"File:";"CE FL DOM HL LED PSTN (STD ASSY-LED) LH #1 2025-03-21"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1min H-V";"-";"-";"49.749";"0";"0";"OK";"49.749";"0";"0";"49.749";"0";"0"
"30min H-V";"-";"-";"49.778";"0";"0";"OK";"49.778";"0";"0";"49.778";"0";"0"
"10U-5L";"0.8";"140";"40.763";"-5";"10";"OK";"40.763";"-5";"10";"40.763";"-5";"10"
"10U-5R";"0.8";"140";"39.668";"5";"10";"OK";"39.668";"5";"10";"39.668";"5";"10"
"5U-20L";"0.4";"140";"19.225";"-20";"5";"OK";"19.225";"-20";"5";"19.225";"-20";"5"
"5U-10L";"0.8";"140";"42.661";"-10";"5";"OK";"42.661";"-10";"5";"42.661";"-10";"5"
"5U-V";"2.8";"140";"51.111";"0";"5";"OK";"51.111";"0";"5";"51.111";"0";"5"
"5U-10R";"0.8";"140";"40.218";"10";"5";"OK";"40.218";"10";"5";"40.218";"10";"5"
"5U-20R";"0.4";"140";"19.507";"20";"5";"OK";"19.507";"20";"5";"19.507";"20";"5"
"H-10L";"1.4";"140";"41.280";"-10";"0";"OK";"41.280";"-10";"0";"41.280";"-10";"0"
"H-5L";"3.6";"140";"46.731";"-5";"0";"OK";"46.731";"-5";"0";"46.731";"-5";"0"
"HV";"4";"140";"49.789";"0";"0";"OK";"49.789";"0";"0";"49.789";"0";"0"
"H-5R";"3.6";"140";"46.955";"5";"0";"OK";"46.955";"5";"0";"46.955";"5";"0"
"H-10R";"1.4";"140";"38.985";"10";"0";"OK";"38.985";"10";"0";"38.985";"10";"0"
"5D-20L";"0.4";"140";"16.868";"-20";"-5";"OK";"16.868";"-20";"-5";"16.868";"-20";"-5"
"5D-10L";"0.8";"140";"34.590";"-10";"-5";"OK";"34.590";"-10";"-5";"34.590";"-10";"-5"
"5D-V";"2.8";"140";"40.763";"0";"-5";"OK";"40.763";"0";"-5";"40.763";"0";"-5"
"5D-10R";"0.8";"140";"31.807";"10";"-5";"OK";"31.807";"10";"-5";"31.807";"10";"-5"
"5D-20R";"0.4";"140";"15.889";"20";"-5";"OK";"15.889";"20";"-5";"15.889";"20";"-5"
"10D-5L";"0.8";"140";"26.306";"-5";"-10";"OK";"26.306";"-5";"-10";"26.306";"-5";"-10"
"10D-5R";"0.8";"140";"25.254";"5";"-10";"OK";"25.254";"5";"-10";"25.254";"5";"-10"
"MIN/MAX";"0.05";"140";"(0.122) 51.662";"(45) 0.1";"(-15) 3.8";"OK";"0.122";"45";"-15";"51.662";"0.1";"3.8"
